"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,771.80","1,740.00","1,777.60","1,737.20","7.67M","2.37%"
"Feb 12, 2019","1,730.80","1,729.80","1,735.60","1,723.00","6.50M","0.34%"
"Feb 11, 2019","1,725.00","1,717.00","1,736.60","1,713.00","7.63M","1.29%"
"Feb 08, 2019","1,703.00","1,695.20","1,716.40","1,693.22","6.15M","0.00%"
"Feb 07, 2019","1,703.00","1,715.60","1,725.80","1,703.00","6.62M","-1.33%"
"Feb 06, 2019","1,726.00","1,736.20","1,741.60","1,708.80","6.41M","-0.52%"
"Feb 05, 2019","1,735.00","1,729.80","1,741.00","1,719.60","6.75M","1.17%"
"Feb 04, 2019","1,715.00","1,700.00","1,717.60","1,690.40","7.65M","-0.31%"
"Feb 01, 2019","1,720.40","1,694.40","1,724.00","1,694.40","7.02M","1.79%"
"Jan 31, 2019","1,690.20","1,691.80","1,703.80","1,681.80","8.85M","1.08%"
"Jan 30, 2019","1,672.20","1,674.80","1,685.80","1,649.00","8.93M","2.60%"
"Jan 29, 2019","1,629.80","1,619.20","1,648.00","1,603.80","7.75M","0.65%"
"Jan 28, 2019","1,619.20","1,629.80","1,646.40","1,608.80","7.51M","0.61%"
"Jan 25, 2019","1,609.40","1,576.00","1,612.40","1,574.80","7.57M","2.57%"
"Jan 24, 2019","1,569.00","1,571.80","1,575.00","1,554.60","6.21M","0.38%"
"Jan 23, 2019","1,563.00","1,570.40","1,581.80","1,555.80","7.65M","-1.05%"
"Jan 22, 2019","1,579.60","1,574.00","1,588.80","1,563.80","7.17M","-1.95%"
"Jan 21, 2019","1,611.00","1,621.20","1,630.20","1,606.00","3.65M","-1.08%"
"Jan 18, 2019","1,628.60","1,615.00","1,638.40","1,607.60","6.12M","1.76%"
"Jan 17, 2019","1,600.40","1,584.40","1,603.60","1,584.00","4.10M","0.21%"
"Jan 16, 2019","1,597.00","1,620.60","1,625.80","1,591.60","4.78M","-0.99%"
"Jan 15, 2019","1,613.00","1,612.40","1,631.80","1,591.80","4.89M","1.07%"
"Jan 14, 2019","1,596.00","1,588.80","1,607.60","1,584.20","4.96M","-0.96%"
"Jan 11, 2019","1,611.40","1,626.00","1,644.40","1,604.00","5.60M","-0.32%"
"Jan 10, 2019","1,616.60","1,610.80","1,621.00","1,597.80","7.81M","-0.69%"
"Jan 09, 2019","1,627.87","1,596.98","1,629.78","1,589.35","12.07M","1.64%"
"Jan 08, 2019","1,601.56","1,590.12","1,620.62","1,589.92","6.64M","-0.32%"
"Jan 07, 2019","1,606.71","1,610.33","1,624.63","1,588.97","8.19M","0.97%"
"Jan 04, 2019","1,591.26","1,530.43","1,591.83","1,530.43","6.55M","4.68%"
"Jan 03, 2019","1,520.13","1,537.11","1,549.31","1,519.75","7.87M","-2.28%"
"Jan 02, 2019","1,555.60","1,527.57","1,562.28","1,503.93","7.90M","-1.21%"
"Dec 31, 2018","1,574.67","1,571.81","1,587.83","1,567.23","2.10M","-3.81%"
"Dec 28, 2018","1,637.00","1,636.00","1,651.40","1,628.80","5.15M","1.59%"
"Dec 27, 2018","1,611.40","1,656.40","1,662.00","1,599.40","6.24M","-1.59%"
"Dec 24, 2018","1,637.40","1,616.80","1,637.40","1,616.80","1.26M","-0.76%"
"Dec 21, 2018","1,650.00","1,629.00","1,653.40","1,626.80","14.05M","1.59%"
