"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","551.20","547.60","552.50","544.68","21.58M","1.10%"
"Feb 12, 2019","545.20","548.50","549.50","544.20","23.14M","0.17%"
"Feb 11, 2019","544.30","547.60","550.60","542.80","24.68M","0.06%"
"Feb 08, 2019","544.00","545.00","549.66","541.70","29.72M","-0.60%"
"Feb 07, 2019","547.30","554.50","558.60","547.10","56.93M","-1.21%"
"Feb 06, 2019","554.00","550.00","556.23","542.00","41.50M","1.28%"
"Feb 05, 2019","547.00","539.00","548.80","536.50","49.15M","5.17%"
"Feb 04, 2019","520.10","522.10","529.70","516.30","27.13M","-0.27%"
"Feb 01, 2019","521.50","517.80","522.30","515.20","23.96M","0.27%"
"Jan 31, 2019","520.10","519.90","524.90","515.00","37.09M","1.70%"
"Jan 30, 2019","511.40","507.50","513.50","506.60","33.13M","1.67%"
"Jan 29, 2019","503.00","499.00","504.40","496.00","24.97M","1.64%"
"Jan 28, 2019","494.90","503.00","505.20","494.10","25.24M","-2.37%"
"Jan 25, 2019","506.90","511.90","514.50","505.90","27.21M","-0.98%"
"Jan 24, 2019","511.90","510.00","512.60","504.20","23.20M","0.67%"
"Jan 23, 2019","508.50","511.50","515.00","506.30","24.80M","-0.80%"
"Jan 22, 2019","512.60","520.30","520.30","509.60","19.92M","-1.82%"
"Jan 21, 2019","522.10","525.30","525.90","519.90","12.47M","-0.23%"
"Jan 18, 2019","523.30","515.00","524.61","511.70","26.02M","2.41%"
"Jan 17, 2019","511.00","513.30","516.90","508.30","17.04M","-0.97%"
"Jan 16, 2019","516.00","520.90","523.40","511.30","26.94M","-1.28%"
"Jan 15, 2019","522.70","524.70","527.70","518.89","21.20M","0.36%"
"Jan 14, 2019","520.80","516.70","523.70","514.20","21.29M","-0.08%"
"Jan 11, 2019","521.20","528.90","534.69","519.60","32.73M","-1.10%"
"Jan 10, 2019","527.00","522.10","527.00","518.70","21.36M","0.78%"
"Jan 09, 2019","522.90","527.80","527.80","520.80","28.22M","0.60%"
"Jan 08, 2019","519.80","521.70","528.80","519.80","25.34M","-0.19%"
"Jan 07, 2019","520.80","524.40","524.80","514.10","27.83M","0.00%"
"Jan 04, 2019","520.80","517.10","524.50","514.90","33.03M","2.38%"
