"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","2,694.0","2,616.0","2,694.0","2,615.0","1.27M","3.10%"
"Feb 12, 2019","2,613.0","2,634.0","2,662.0","2,609.0","649.55K","-0.87%"
"Feb 11, 2019","2,636.0","2,634.0","2,640.0","2,607.0","711.72K","0.61%"
"Feb 08, 2019","2,620.0","2,649.0","2,650.0","2,601.0","671.35K","-0.80%"
"Feb 07, 2019","2,641.0","2,634.0","2,661.0","2,629.0","445.34K","-0.19%"
"Feb 06, 2019","2,646.0","2,668.0","2,689.0","2,646.0","585.29K","-1.05%"
"Feb 05, 2019","2,674.0","2,633.0","2,679.3","2,611.0","561.14K","1.29%"
"Feb 04, 2019","2,640.0","2,637.0","2,656.0","2,624.0","464.80K","0.19%"
"Feb 01, 2019","2,635.0","2,569.0","2,647.0","2,569.0","668.07K","3.01%"
"Jan 31, 2019","2,558.0","2,531.0","2,593.0","2,528.0","826.23K","1.19%"
"Jan 30, 2019","2,528.0","2,528.0","2,555.0","2,513.0","890.00K","0.68%"
"Jan 29, 2019","2,511.0","2,523.0","2,551.0","2,459.0","1.18M","0.12%"
"Jan 28, 2019","2,508.0","2,545.0","2,559.0","2,506.0","1.02M","0.76%"
"Jan 25, 2019","2,489.0","2,543.0","2,550.0","2,489.0","645.21K","-1.78%"
"Jan 24, 2019","2,534.0","2,542.0","2,563.0","2,513.0","727.97K","-0.63%"
"Jan 23, 2019","2,550.0","2,523.0","2,564.0","2,516.0","597.71K","0.28%"
"Jan 22, 2019","2,543.0","2,558.0","2,576.0","2,531.0","534.46K","-0.51%"
"Jan 21, 2019","2,556.0","2,538.0","2,566.0","2,536.0","376.26K","0.39%"
"Jan 18, 2019","2,546.0","2,547.0","2,555.0","2,510.0","535.22K","0.83%"
"Jan 17, 2019","2,525.0","2,515.0","2,534.0","2,504.0","514.80K","0.04%"
"Jan 16, 2019","2,524.0","2,548.0","2,553.0","2,495.0","713.54K","-0.36%"
"Jan 15, 2019","2,533.0","2,528.0","2,543.0","2,489.0","598.55K","0.52%"
"Jan 14, 2019","2,520.0","2,520.0","2,554.0","2,504.0","578.37K","0.44%"
"Jan 11, 2019","2,509.0","2,485.0","2,552.0","2,474.0","517.45K","1.21%"
"Jan 10, 2019","2,479.0","2,448.0","2,480.0","2,448.0","535.31K","0.73%"
"Jan 09, 2019","2,461.0","2,455.0","2,468.0","2,444.0","647.82K","0.86%"
"Jan 08, 2019","2,440.0","2,440.0","2,458.0","2,425.0","596.21K","0.25%"
"Jan 07, 2019","2,434.0","2,443.0","2,472.0","2,421.0","1.31M","-0.33%"
"Jan 04, 2019","2,442.0","2,432.0","2,449.0","2,420.0","1.34M","0.66%"
"Jan 03, 2019","2,426.0","2,460.0","2,460.0","2,418.0","399.01K","-1.62%"
"Jan 02, 2019","2,466.0","2,438.0","2,469.3","2,418.0","664.88K","0.57%"
"Dec 31, 2018","2,452.0","2,457.0","2,461.7","2,429.0","206.97K","0.25%"
