"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,547.0","1,554.8","1,555.8","1,530.0","7.87M","0.01%"
"Feb 12, 2019","1,546.8","1,551.2","1,560.4","1,543.4","8.02M","-0.21%"
"Feb 11, 2019","1,550.0","1,566.4","1,571.0","1,541.6","9.90M","-0.95%"
"Feb 08, 2019","1,564.8","1,549.4","1,576.0","1,543.2","7.49M","1.19%"
"Feb 07, 2019","1,546.4","1,542.4","1,574.4","1,540.8","9.10M","-0.10%"
"Feb 06, 2019","1,548.0","1,509.6","1,553.8","1,476.8","9.94M","1.67%"
"Feb 05, 2019","1,522.6","1,478.8","1,522.6","1,476.6","8.35M","2.88%"
"Feb 04, 2019","1,480.0","1,481.8","1,489.8","1,472.8","4.92M","-0.23%"
"Feb 01, 2019","1,483.4","1,487.0","1,490.0","1,476.2","5.24M","0.42%"
"Jan 31, 2019","1,477.2","1,475.8","1,477.8","1,458.0","10.59M","-0.24%"
"Jan 30, 2019","1,480.8","1,463.2","1,494.3","1,463.0","7.05M","1.97%"
"Jan 29, 2019","1,452.2","1,450.0","1,471.8","1,441.8","7.51M","1.13%"
"Jan 28, 2019","1,436.0","1,440.0","1,449.6","1,429.8","5.39M","-0.31%"
"Jan 25, 2019","1,440.4","1,454.2","1,466.2","1,440.4","9.67M","-1.32%"
"Jan 24, 2019","1,459.6","1,476.0","1,479.8","1,456.2","7.56M","-1.06%"
"Jan 23, 2019","1,475.2","1,492.4","1,504.0","1,475.2","10.54M","-1.05%"
"Jan 22, 2019","1,490.8","1,496.8","1,501.4","1,479.9","4.61M","-0.08%"
"Jan 21, 2019","1,492.0","1,495.2","1,503.6","1,485.8","3.99M","-0.44%"
"Jan 18, 2019","1,498.6","1,490.4","1,504.2","1,480.2","6.40M","1.13%"
"Jan 17, 2019","1,481.8","1,470.0","1,489.0","1,466.9","6.11M","-0.18%"
"Jan 16, 2019","1,484.4","1,506.4","1,506.8","1,476.2","8.12M","-1.60%"
"Jan 15, 2019","1,508.6","1,496.4","1,511.6","1,479.8","7.49M","1.19%"
