"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,656.00","1,670.50","1,687.50","1,656.00","672.16K","-0.90%"
"Feb 12, 2019","1,671.00","1,680.00","1,696.00","1,660.00","574.21K","-0.59%"
"Feb 11, 2019","1,681.00","1,643.50","1,687.00","1,622.00","587.97K","2.91%"
"Feb 08, 2019","1,633.50","1,701.00","1,702.00","1,630.50","1.36M","-4.19%"
"Feb 07, 2019","1,705.00","1,719.00","1,739.50","1,704.50","916.54K","-1.45%"
"Feb 06, 2019","1,730.00","1,700.50","1,744.00","1,664.50","1.08M","1.70%"
"Feb 05, 2019","1,701.00","1,670.50","1,704.00","1,653.50","1.04M","1.83%"
"Feb 04, 2019","1,670.50","1,673.50","1,686.50","1,663.00","412.42K","0.12%"
"Feb 01, 2019","1,668.50","1,636.50","1,683.00","1,636.50","732.16K","2.17%"
"Jan 31, 2019","1,633.00","1,640.50","1,657.50","1,625.00","1.22M","-0.46%"
"Jan 30, 2019","1,640.50","1,710.00","1,710.00","1,632.00","1.48M","-2.61%"
"Jan 29, 2019","1,684.50","1,725.00","1,756.00","1,668.52","2.73M","-6.26%"
"Jan 28, 2019","1,797.00","1,815.00","1,838.50","1,788.50","696.39K","-1.02%"
"Jan 25, 2019","1,815.50","1,816.00","1,855.00","1,802.00","695.87K","-0.47%"
"Jan 24, 2019","1,824.00","1,836.00","1,839.50","1,818.50","577.65K","-0.55%"
"Jan 23, 2019","1,834.00","1,831.00","1,854.00","1,824.00","390.27K","-0.46%"
"Jan 22, 2019","1,842.50","1,883.00","1,893.14","1,842.50","406.34K","-1.05%"
"Jan 21, 2019","1,862.00","1,834.50","1,862.00","1,828.50","825.13K","1.50%"
"Jan 18, 2019","1,834.50","1,784.50","1,846.00","1,779.00","1.31M","3.53%"
"Jan 17, 2019","1,772.00","1,809.50","1,816.60","1,760.50","912.21K","-2.21%"
"Jan 16, 2019","1,812.00","1,852.50","1,857.50","1,807.50","1.20M","-1.84%"
"Jan 15, 2019","1,846.00","1,838.50","1,865.00","1,812.00","716.63K","0.05%"
"Jan 14, 2019","1,845.00","1,864.50","1,883.50","1,838.50","678.49K","-1.26%"
"Jan 11, 2019","1,868.50","1,885.00","1,899.00","1,865.50","482.31K","-0.48%"
"Jan 10, 2019","1,877.50","1,872.00","1,888.50","1,869.00","728.25K","-0.37%"
"Jan 09, 2019","1,884.50","1,920.00","1,920.00","1,876.50","849.48K","-1.13%"
"Jan 08, 2019","1,906.00","1,890.00","1,924.50","1,880.50","513.21K","0.63%"
"Jan 07, 2019","1,894.00","1,870.00","1,901.00","1,860.50","582.94K","-0.18%"
"Jan 04, 2019","1,897.50","1,843.50","1,900.50","1,834.50","520.12K","4.46%"
"Jan 03, 2019","1,816.50","1,839.50","1,850.00","1,812.50","423.91K","-2.18%"
"Jan 02, 2019","1,857.00","1,833.50","1,863.00","1,794.00","638.69K","0.43%"
"Dec 31, 2018","1,849.00","1,827.50","1,850.32","1,789.01","174.42K","1.12%"
"Dec 28, 2018","1,828.50","1,810.00","1,835.00","1,797.50","328.29K","2.32%"
"Dec 27, 2018","1,787.00","1,843.00","1,844.50","1,771.50","467.57K","-0.72%"
"Dec 24, 2018","1,800.00","1,806.50","1,830.50","1,798.50","226.09K","-1.29%"
"Dec 21, 2018","1,823.50","1,816.00","1,839.50","1,804.50","1.14M","0.39%"
"Dec 20, 2018","1,816.50","1,791.00","1,838.50","1,774.90","673.99K","-0.27%"
"Dec 19, 2018","1,821.50","1,779.00","1,830.50","1,776.50","697.19K","2.07%"
"Dec 18, 2018","1,784.50","1,802.50","1,809.00","1,781.50","619.09K","-1.63%"
"Dec 17, 2018","1,814.00","1,827.00","1,835.00","1,797.50","690.03K","-0.96%"
"Dec 14, 2018","1,831.50","1,816.00","1,847.00","1,799.50","526.75K","-0.30%"
"Dec 13, 2018","1,837.00","1,854.00","1,861.00","1,822.00","478.66K","-1.05%"
"Dec 12, 2018","1,856.50","1,816.00","1,859.50","1,793.00","740.47K","2.09%"
"Dec 11, 2018","1,818.50","1,829.00","1,832.00","1,794.50","770.23K","0.00%"
"Dec 10, 2018","1,818.50","1,840.00","1,854.50","1,818.50","743.44K","-1.33%"
"Dec 07, 2018","1,843.00","1,841.50","1,883.50","1,826.00","772.81K","1.38%"
"Dec 06, 2018","1,818.00","1,867.50","1,871.58","1,810.00","1.65M","-3.86%"
"Dec 05, 2018","1,891.00","1,929.00","1,931.50","1,868.00","817.40K","-4.45%"
"Dec 04, 2018","1,979.00","1,984.50","1,998.00","1,975.00","615.39K","-0.60%"
"Dec 03, 2018","1,991.00","1,931.50","1,991.00","1,929.50","1.04M","4.71%"
"Nov 30, 2018","1,901.50","1,950.00","1,954.50","1,901.50","1.03M","-2.24%"
"Nov 29, 2018","1,945.00","1,950.00","1,986.00","1,939.00","847.35K","0.67%"
"Nov 28, 2018","1,932.00","1,945.00","1,960.00","1,929.50","534.59K","-0.54%"
"Nov 27, 2018","1,942.50","1,928.50","1,947.00","1,920.00","887.43K","0.57%"
"Nov 26, 2018","1,931.50","1,903.50","1,931.50","1,899.50","897.11K","2.77%"
"Nov 23, 2018","1,879.50","1,830.00","1,883.00","1,830.00","457.45K","2.34%"
"Nov 22, 2018","1,836.50","1,812.00","1,845.00","1,809.10","584.56K","0.66%"
"Nov 21, 2018","1,824.50","1,788.00","1,825.00","1,776.50","706.65K","1.11%"
"Nov 20, 2018","1,804.50","1,804.50","1,824.00","1,781.00","867.42K","-1.34%"
"Nov 19, 2018","1,829.00","1,849.00","1,874.00","1,824.50","653.72K","-1.14%"
"Nov 16, 2018","1,850.00","1,867.50","1,876.00","1,826.00","862.87K","-0.16%"
"Nov 15, 2018","1,853.00","1,911.00","1,940.00","1,836.00","1.60M","-2.81%"
"Nov 14, 2018","1,906.50","1,914.00","1,935.50","1,896.59","821.96K","-0.60%"
"Nov 13, 2018","1,918.00","1,888.50","1,925.00","1,878.50","985.32K","2.18%"
"Nov 12, 2018","1,877.00","1,936.50","1,942.00","1,874.50","1.06M","-2.04%"
"Nov 09, 2018","1,916.00","1,906.50","1,931.50","1,903.50","739.18K","-0.05%"
"Nov 08, 2018","1,917.00","1,911.00","1,920.50","1,896.50","682.09K","0.89%"
"Nov 07, 2018","1,900.00","1,880.00","1,902.50","1,861.00","746.40K","2.48%"
"Nov 06, 2018","1,854.00","1,846.00","1,890.50","1,841.50","1.07M","0.16%"
"Nov 05, 2018","1,851.00","1,854.50","1,887.50","1,843.00","748.72K","-1.93%"
"Nov 02, 2018","1,887.50","1,882.50","1,924.00","1,879.50","848.84K","1.78%"
"Nov 01, 2018","1,854.50","1,856.50","1,896.50","1,837.50","983.55K","-0.72%"
"Oct 31, 2018","1,868.00","1,856.00","1,887.50","1,832.50","1.07M","3.18%"
"Oct 30, 2018","1,810.50","1,797.00","1,818.00","1,763.00","682.59K","1.29%"
"Oct 29, 2018","1,787.50","1,782.00","1,832.00","1,776.00","975.96K","0.87%"
"Oct 26, 2018","1,772.00","1,782.00","1,796.50","1,732.00","1.33M","-1.99%"
"Oct 25, 2018","1,808.00","1,741.50","1,808.00","1,729.00","1.05M","2.61%"
"Oct 24, 2018","1,762.00","1,754.00","1,782.50","1,745.50","946.49K","1.06%"
"Oct 23, 2018","1,743.50","1,794.00","1,797.56","1,738.50","1.38M","-4.15%"
"Oct 22, 2018","1,819.00","1,818.00","1,853.50","1,805.00","750.81K","1.08%"
"Oct 19, 2018","1,799.50","1,831.50","1,837.00","1,798.00","677.63K","-1.77%"
"Oct 18, 2018","1,832.00","1,858.50","1,876.50","1,823.50","1.04M","-1.08%"
"Oct 17, 2018","1,852.00","1,867.00","1,907.50","1,843.00","1.97M","1.45%"
"Oct 16, 2018","1,825.50","1,776.00","1,827.00","1,755.00","1.53M","2.79%"
"Oct 15, 2018","1,776.00","1,805.00","1,821.50","1,745.00","1.36M","-1.69%"
"Oct 12, 2018","1,806.50","1,867.00","1,881.68","1,802.00","1.57M","-2.38%"
