"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","658.00","654.40","660.40","651.40","6.48M","0.83%"
"Feb 12, 2019","652.60","665.00","666.00","652.00","5.35M","-1.66%"
"Feb 11, 2019","663.60","661.00","665.40","657.20","2.64M","1.31%"
"Feb 08, 2019","655.00","665.40","665.80","655.00","3.22M","-1.36%"
"Feb 07, 2019","664.00","660.00","667.60","659.10","4.21M","-0.54%"
"Feb 06, 2019","667.60","659.00","667.80","659.00","3.59M","0.63%"
"Feb 05, 2019","663.40","659.80","663.40","654.80","4.25M","0.73%"
"Feb 04, 2019","658.60","649.60","658.60","643.60","5.16M","0.83%"
"Feb 01, 2019","653.20","643.80","655.80","643.80","4.59M","1.43%"
"Jan 31, 2019","644.00","648.80","649.00","639.50","6.46M","-0.80%"
"Jan 30, 2019","649.20","641.20","650.40","636.40","4.08M","1.22%"
"Jan 29, 2019","641.40","628.00","645.00","624.00","8.55M","2.95%"
"Jan 28, 2019","623.00","631.40","636.80","620.00","3.28M","-1.42%"
"Jan 25, 2019","632.00","635.00","640.80","629.00","4.63M","-0.16%"
"Jan 24, 2019","633.00","632.80","643.80","627.00","5.73M","0.32%"
"Jan 23, 2019","631.00","619.20","635.00","616.40","4.41M","1.91%"
"Jan 22, 2019","619.20","613.00","626.00","608.70","4.51M","-0.39%"
"Jan 21, 2019","621.60","616.20","629.80","615.80","2.65M","0.52%"
"Jan 18, 2019","618.40","609.00","622.20","606.20","4.55M","0.42%"
"Jan 17, 2019","615.80","611.40","618.00","603.20","4.08M","0.85%"
"Jan 16, 2019","610.60","599.00","616.50","597.40","7.08M","2.59%"
"Jan 15, 2019","595.20","610.00","612.00","589.60","6.18M","-1.52%"
"Jan 14, 2019","604.40","608.00","616.40","599.00","4.89M","-0.92%"
"Jan 11, 2019","610.00","596.00","615.80","594.40","7.10M","2.56%"
"Jan 10, 2019","594.80","598.60","607.80","585.20","7.40M","-0.97%"
"Jan 09, 2019","600.60","595.20","604.30","593.27","7.16M","0.60%"
"Jan 08, 2019","597.00","600.00","603.60","588.20","4.57M","0.07%"
"Jan 07, 2019","596.60","598.60","605.40","592.80","3.03M","0.81%"
