"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","291.80","290.20","295.00","289.20","4.47M","0.72%"
"Feb 12, 2019","289.70","289.60","292.00","288.80","4.72M","-0.28%"
"Feb 11, 2019","290.50","285.00","290.50","283.30","3.73M","1.93%"
"Feb 08, 2019","285.00","289.00","289.90","283.10","4.88M","-1.32%"
"Feb 07, 2019","288.80","293.80","294.40","286.70","7.42M","-2.07%"
"Feb 06, 2019","294.90","295.80","298.50","292.60","6.53M","-0.34%"
"Feb 05, 2019","295.90","288.90","298.70","288.67","9.61M","1.89%"
"Feb 04, 2019","290.40","291.10","292.20","288.30","3.57M","-0.17%"
"Feb 01, 2019","290.90","288.90","292.60","286.90","5.79M","0.73%"
"Jan 31, 2019","288.80","291.80","294.00","288.80","9.10M","-1.13%"
"Jan 30, 2019","292.10","291.70","295.00","286.60","6.40M","-0.10%"
"Jan 29, 2019","292.40","291.60","296.10","289.60","5.10M","0.72%"
"Jan 28, 2019","290.30","294.90","297.60","290.30","7.17M","0.10%"
"Jan 25, 2019","290.00","291.70","293.90","288.70","4.84M","-0.34%"
"Jan 24, 2019","291.00","288.80","293.60","287.64","4.32M","0.97%"
"Jan 23, 2019","288.20","285.30","290.90","285.20","5.76M","0.70%"
"Jan 22, 2019","286.20","286.20","292.30","285.44","5.10M","-0.07%"
"Jan 21, 2019","286.40","289.90","290.00","283.10","4.54M","-1.07%"
"Jan 18, 2019","289.50","288.00","291.50","287.64","7.05M","1.33%"
"Jan 17, 2019","285.70","285.00","286.60","280.50","4.51M","-0.45%"
"Jan 16, 2019","287.00","277.30","287.00","276.50","8.22M","4.02%"
"Jan 15, 2019","275.90","279.00","285.00","273.30","6.07M","-0.36%"
"Jan 14, 2019","276.90","274.00","278.10","272.68","5.21M","0.29%"
"Jan 11, 2019","276.10","274.70","280.50","273.60","8.92M","0.58%"
"Jan 10, 2019","274.50","277.70","285.10","272.50","10.87M","-1.15%"
"Jan 09, 2019","277.70","278.00","281.90","276.81","9.04M","0.91%"
"Jan 08, 2019","275.20","260.70","277.30","260.70","12.52M","5.56%"
"Jan 07, 2019","260.70","254.00","261.80","254.00","6.63M","3.00%"
"Jan 04, 2019","253.10","253.40","255.60","251.00","6.05M","0.76%"
"Jan 03, 2019","251.20","250.30","260.80","249.75","9.61M","1.29%"
"Jan 02, 2019","248.00","247.10","248.60","243.40","5.32M","0.32%"
"Dec 31, 2018","247.20","246.80","248.90","245.07","1.17M","0.04%"
"Dec 28, 2018","247.10","242.10","247.90","240.20","4.47M","1.94%"
"Dec 27, 2018","242.40","249.40","249.50","240.00","5.10M","-1.62%"
"Dec 24, 2018","246.40","246.90","250.40","244.00","1.84M","-1.36%"
"Dec 21, 2018","249.80","248.40","250.80","245.80","10.82M","0.69%"
"Dec 20, 2018","248.10","248.90","250.90","246.20","6.99M","-1.74%"
"Dec 19, 2018","252.50","252.50","257.61","251.50","6.23M","-0.47%"
"Dec 18, 2018","253.70","252.10","257.40","251.60","7.46M","0.96%"
"Dec 17, 2018","251.30","259.00","259.00","249.50","12.61M","-4.59%"
"Dec 14, 2018","263.40","264.20","266.24","258.30","9.97M","-0.98%"
"Dec 13, 2018","266.00","277.90","280.20","265.00","11.29M","-3.80%"
"Dec 12, 2018","276.50","274.00","278.10","270.30","6.47M","0.36%"
"Dec 11, 2018","275.50","275.50","279.40","269.50","5.70M","-0.11%"
"Dec 10, 2018","275.80","281.60","283.40","274.10","7.88M","-2.27%"
"Dec 07, 2018","282.20","283.40","286.90","280.50","7.56M","-0.28%"
"Dec 06, 2018","283.00","286.00","287.10","281.20","7.66M","-1.53%"
"Dec 05, 2018","287.40","281.40","293.20","280.40","6.27M","-0.21%"
"Dec 04, 2018","288.00","290.90","294.27","285.60","8.08M","-1.17%"
"Dec 03, 2018","291.40","294.70","296.70","288.40","7.46M","-0.44%"
"Nov 30, 2018","292.70","300.80","302.90","291.42","28.64M","-3.30%"
"Nov 29, 2018","302.70","308.30","309.70","301.00","10.13M","-1.37%"
"Nov 28, 2018","306.90","306.00","310.30","297.80","7.43M","-0.87%"
"Nov 27, 2018","309.60","303.90","312.00","302.40","11.11M","1.51%"
"Nov 26, 2018","305.00","307.50","312.20","303.40","9.88M","-0.16%"
"Nov 23, 2018","305.50","301.10","309.50","301.10","6.50M","0.73%"
"Nov 22, 2018","303.30","301.10","306.10","299.18","5.54M","1.03%"
"Nov 21, 2018","300.20","297.20","304.80","296.60","9.04M","0.91%"
"Nov 20, 2018","297.50","289.90","298.30","289.10","9.78M","1.12%"
"Nov 19, 2018","294.20","291.40","295.80","291.00","6.59M","1.03%"
"Nov 16, 2018","291.20","290.10","296.90","289.03","9.64M","0.55%"
"Nov 15, 2018","289.60","299.90","300.20","283.30","11.92M","-4.77%"
"Nov 14, 2018","304.10","302.80","308.90","301.80","8.64M","0.70%"
"Nov 13, 2018","302.00","307.10","308.60","299.70","9.99M","-1.72%"
"Nov 12, 2018","307.30","312.50","312.50","304.70","8.51M","-1.73%"
"Nov 09, 2018","312.70","311.50","314.40","306.12","11.90M","0.13%"
"Nov 08, 2018","312.30","296.80","312.30","294.80","10.56M","3.79%"
"Nov 07, 2018","300.90","310.00","315.00","288.00","17.73M","-0.53%"
"Nov 06, 2018","302.50","297.40","302.50","295.70","9.03M","1.65%"
"Nov 05, 2018","297.60","295.70","303.30","295.60","7.48M","-1.59%"
"Nov 02, 2018","302.40","302.40","305.60","300.50","5.98M","0.67%"
"Nov 01, 2018","300.40","295.20","304.50","294.80","7.22M","1.49%"
"Oct 31, 2018","296.00","298.90","298.90","291.70","9.44M","-1.27%"
"Oct 30, 2018","299.80","296.30","301.10","295.02","7.39M","1.56%"
"Oct 29, 2018","295.20","287.80","298.00","286.83","8.66M","2.64%"
"Oct 26, 2018","287.60","283.50","287.60","283.45","5.97M","1.02%"
"Oct 25, 2018","284.70","284.40","286.50","282.00","4.30M","-0.32%"
"Oct 24, 2018","285.60","285.20","288.30","283.40","3.90M","0.49%"
"Oct 23, 2018","284.20","279.70","285.60","278.60","6.21M","0.89%"
"Oct 22, 2018","281.70","284.60","286.50","280.80","7.30M","-1.02%"
"Oct 19, 2018","284.60","285.30","288.00","283.30","5.67M","-0.18%"
"Oct 18, 2018","285.10","284.70","287.60","283.00","6.17M","0.32%"
"Oct 17, 2018","284.20","286.30","289.50","283.50","9.68M","-0.66%"
"Oct 16, 2018","286.10","293.90","295.10","283.70","15.55M","-2.29%"
"Oct 15, 2018","292.80","297.70","298.70","292.40","10.27M","-1.91%"
"Oct 12, 2018","298.50","292.60","299.60","291.50","7.92M","2.37%"
"Oct 11, 2018","291.60","293.40","293.80","288.80","7.21M","-1.42%"
"Oct 10, 2018","295.80","287.80","299.30","286.20","10.44M","2.96%"
"Oct 09, 2018","287.30","285.90","287.80","284.60","6.36M","0.49%"
"Oct 08, 2018","285.90","283.00","289.10","282.40","6.75M","0.78%"
"Oct 05, 2018","283.70","283.80","284.30","281.80","9.08M","0.32%"
"Oct 04, 2018","282.80","286.60","287.30","282.80","8.48M","-1.43%"
"Oct 03, 2018","286.90","284.00","287.50","282.50","5.50M","1.31%"
"Oct 02, 2018","283.20","282.50","284.30","282.10","5.62M","-0.25%"
"Oct 01, 2018","283.90","284.70","286.30","282.70","5.90M","-1.70%"
"Sep 28, 2018","288.80","287.60","289.90","286.90","7.87M","0.10%"
"Sep 27, 2018","288.50","286.20","288.60","285.60","7.27M","0.49%"
"Sep 26, 2018","287.10","287.00","287.80","285.30","5.01M","0.38%"
"Sep 25, 2018","286.00","285.50","290.40","283.90","6.93M","0.56%"
"Sep 24, 2018","284.40","285.30","293.09","283.30","4.73M","-0.63%"
"Sep 21, 2018","286.20","286.90","287.90","285.40","9.55M","0.18%"
"Sep 20, 2018","285.70","278.70","287.10","278.70","8.94M","2.29%"
"Sep 19, 2018","279.30","280.20","282.60","278.70","7.25M","-0.43%"
"Sep 18, 2018","280.50","281.50","282.50","278.50","9.00M","-1.51%"
"Sep 17, 2018","284.80","283.40","287.00","283.40","8.95M","0.07%"
"Sep 14, 2018","284.60","287.00","288.60","284.30","6.17M","-0.91%"
"Sep 13, 2018","287.20","291.70","292.60","283.60","6.56M","-2.08%"
"Sep 12, 2018","293.30","288.40","295.00","287.80","6.44M","1.52%"
"Sep 11, 2018","288.90","291.20","292.90","287.45","7.45M","-1.20%"
"Sep 10, 2018","292.40","293.30","294.20","290.20","8.07M","-0.34%"
"Sep 07, 2018","293.40","297.30","298.00","293.40","5.62M","-1.31%"
"Sep 06, 2018","297.30","299.80","301.00","296.50","4.42M","-0.90%"
"Sep 05, 2018","300.00","298.40","301.60","297.80","4.07M","0.54%"
"Sep 04, 2018","298.40","304.00","306.30","298.40","6.85M","-1.94%"
"Sep 03, 2018","304.30","301.60","306.60","301.60","3.63M","0.90%"
"Aug 31, 2018","301.60","302.20","305.00","300.20","6.14M","0.03%"
"Aug 30, 2018","301.50","302.60","302.94","300.19","4.24M","-0.79%"
"Aug 29, 2018","303.90","307.10","307.10","301.10","4.59M","-0.56%"
"Aug 28, 2018","305.60","307.70","307.70","305.00","3.52M","0.49%"
"Aug 24, 2018","304.10","305.40","306.70","303.90","4.24M","-0.39%"
"Aug 23, 2018","305.30","302.00","308.50","300.90","6.15M","1.13%"
"Aug 22, 2018","301.90","299.80","302.00","298.30","3.74M","0.53%"
"Aug 21, 2018","300.30","296.70","300.50","295.70","3.70M","0.67%"
"Aug 20, 2018","298.30","298.40","299.90","296.50","3.14M","-0.23%"
"Aug 17, 2018","299.00","301.10","301.70","296.80","3.21M","-0.80%"
"Aug 16, 2018","301.40","297.00","302.50","293.30","6.24M","2.13%"
"Aug 15, 2018","295.10","299.20","300.90","293.70","5.18M","-0.87%"
"Aug 14, 2018","297.70","299.30","299.70","296.20","4.04M","-0.20%"
"Aug 13, 2018","298.30","301.50","302.00","296.50","4.12M","-1.42%"
"Aug 10, 2018","302.60","305.30","305.40","302.40","3.37M","-1.08%"
"Aug 09, 2018","305.90","302.80","305.90","301.45","5.82M","1.06%"
"Aug 08, 2018","302.70","299.40","303.40","298.50","4.72M","1.27%"
"Aug 07, 2018","298.90","298.30","299.70","297.30","4.01M","0.44%"
"Aug 06, 2018","297.60","295.60","297.70","294.90","3.57M","0.71%"
"Aug 03, 2018","295.50","293.50","295.80","291.00","3.64M","1.09%"
"Aug 02, 2018","292.30","298.30","298.30","291.00","8.71M","-1.98%"
"Aug 01, 2018","298.20","305.50","307.40","297.00","9.33M","-3.18%"
"Jul 31, 2018","308.00","311.50","311.50","307.50","7.67M","-0.90%"
"Jul 30, 2018","310.80","308.00","311.70","307.30","5.58M","0.10%"
"Jul 27, 2018","310.50","309.90","312.20","308.90","6.60M","0.23%"
"Jul 26, 2018","309.80","308.40","310.50","306.42","3.82M","0.68%"
"Jul 25, 2018","307.70","309.40","310.50","305.61","5.17M","-0.42%"
"Jul 24, 2018","309.00","311.10","311.10","306.80","7.23M","0.06%"
"Jul 23, 2018","308.80","310.80","312.10","308.30","7.13M","-0.77%"
"Jul 20, 2018","311.20","311.80","314.10","309.90","4.01M","-0.58%"
"Jul 19, 2018","313.00","311.50","314.90","311.50","5.54M","0.61%"
"Jul 18, 2018","311.10","313.50","314.50","311.10","7.28M","-0.61%"
"Jul 17, 2018","313.00","310.30","313.30","309.70","5.12M","0.87%"
"Jul 16, 2018","310.30","314.60","316.10","308.80","4.94M","-1.34%"
"Jul 13, 2018","314.50","315.00","316.60","314.20","7.67M","0.42%"
"Jul 12, 2018","313.20","309.50","313.40","308.60","7.71M","0.87%"
"Jul 11, 2018","310.50","310.00","310.90","308.40","6.85M","-0.13%"
"Jul 10, 2018","310.90","312.30","313.30","308.60","10.45M","-0.45%"
"Jul 09, 2018","312.30","307.90","314.40","307.60","9.37M","1.63%"
"Jul 06, 2018","307.30","309.30","310.60","305.80","5.90M","-0.55%"
"Jul 05, 2018","309.00","305.50","310.20","305.40","7.40M","1.15%"
"Jul 04, 2018","305.50","299.70","306.50","299.70","7.57M","1.87%"
"Jul 03, 2018","299.90","298.90","303.03","298.90","9.82M","0.47%"
