"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","236.25","239.30","240.05","234.25","11.92M","-1.40%"
"Feb 12, 2019","239.60","244.05","244.15","239.15","5.88M","-1.68%"
"Feb 11, 2019","243.70","242.90","244.00","241.00","5.19M","0.81%"
"Feb 08, 2019","241.75","242.50","242.55","240.20","4.90M","-0.06%"
"Feb 07, 2019","241.90","244.50","245.30","241.55","6.65M","-1.57%"
"Feb 06, 2019","245.75","245.20","246.45","243.00","7.47M","0.35%"
"Feb 05, 2019","244.90","242.85","245.15","238.05","11.20M","2.32%"
"Feb 04, 2019","239.35","238.00","240.20","237.10","9.12M","1.92%"
"Feb 01, 2019","234.85","235.20","236.05","233.35","7.58M","0.26%"
"Jan 31, 2019","234.25","235.80","238.05","234.20","9.17M","-0.87%"
"Jan 30, 2019","236.30","234.20","237.00","232.10","5.31M","0.98%"
"Jan 29, 2019","234.00","235.00","235.15","232.20","6.93M","0.21%"
"Jan 28, 2019","233.50","233.50","235.05","232.20","9.18M","-0.79%"
"Jan 25, 2019","235.35","232.05","235.35","229.80","10.12M","2.33%"
"Jan 24, 2019","230.00","232.75","233.83","230.00","7.03M","-1.37%"
"Jan 23, 2019","233.20","229.35","234.40","228.20","11.08M","1.79%"
"Jan 22, 2019","229.10","229.20","234.80","227.20","11.02M","0.26%"
"Jan 21, 2019","228.50","227.30","230.05","227.15","8.02M","-0.93%"
"Jan 18, 2019","230.65","225.00","233.80","223.35","17.28M","3.97%"
"Jan 17, 2019","221.85","220.25","221.85","218.35","4.96M","0.52%"
"Jan 16, 2019","220.70","221.00","222.35","219.65","5.97M","0.39%"
"Jan 15, 2019","219.85","220.50","222.55","217.80","8.09M","-0.52%"
"Jan 14, 2019","221.00","219.95","221.60","218.35","6.45M","0.23%"
"Jan 11, 2019","220.50","219.90","221.20","217.70","8.50M","0.41%"
"Jan 10, 2019","219.60","215.75","221.15","215.30","7.34M","1.43%"
"Jan 09, 2019","216.50","212.05","216.50","211.50","14.76M","1.83%"
"Jan 08, 2019","212.60","210.00","216.70","209.20","16.99M","-3.21%"
"Jan 07, 2019","219.65","215.70","220.65","215.30","12.64M","1.78%"
"Jan 04, 2019","215.80","214.60","216.15","213.80","9.02M","-0.35%"
"Jan 03, 2019","216.55","210.30","216.80","210.30","6.18M","2.24%"
"Jan 02, 2019","211.80","211.90","213.00","209.80","6.10M","-0.68%"
"Dec 31, 2018","213.25","213.30","218.45","211.50","2.43M","-0.68%"
"Dec 28, 2018","214.70","214.75","216.80","213.55","5.47M","0.05%"
"Dec 27, 2018","214.60","220.10","220.80","213.30","7.19M","-1.31%"
"Dec 24, 2018","217.45","218.75","221.60","217.40","1.73M","-1.27%"
"Dec 21, 2018","220.25","222.90","223.55","219.50","19.63M","-0.63%"
"Dec 20, 2018","221.65","219.95","223.30","218.05","6.72M","-0.45%"
"Dec 19, 2018","222.65","220.35","224.05","220.35","8.17M","0.86%"
"Dec 18, 2018","220.75","221.15","223.15","219.25","7.58M","-0.11%"
"Dec 17, 2018","221.00","226.10","226.40","220.80","26.97M","-2.15%"
"Dec 14, 2018","225.85","226.60","228.35","223.35","7.60M","-0.94%"
"Dec 13, 2018","228.00","225.90","229.20","225.10","7.39M","0.88%"
"Dec 12, 2018","226.00","227.55","228.05","224.25","11.19M","-0.15%"
"Dec 11, 2018","226.35","223.10","231.80","217.60","16.23M","1.28%"
"Dec 10, 2018","223.50","227.55","228.00","223.35","11.32M","-2.08%"
"Dec 07, 2018","228.25","231.65","234.65","228.10","9.96M","-0.41%"
"Dec 06, 2018","229.20","235.05","236.35","227.90","10.12M","-2.92%"
"Dec 05, 2018","236.10","236.55","238.75","234.60","6.61M","-0.65%"
"Dec 04, 2018","237.65","237.65","241.20","235.40","13.88M","0.40%"
"Dec 03, 2018","236.70","239.25","239.95","234.80","13.12M","-0.38%"
"Nov 30, 2018","237.60","244.05","244.85","237.60","12.68M","-2.42%"
"Nov 29, 2018","243.50","249.55","249.55","243.50","8.87M","-1.99%"
"Nov 28, 2018","248.45","249.00","250.15","246.65","7.38M","0.18%"
"Nov 27, 2018","248.00","248.25","250.10","246.85","6.08M","0.36%"
"Nov 26, 2018","247.10","250.40","251.20","246.55","5.45M","-0.36%"
"Nov 23, 2018","248.00","246.40","249.40","246.40","3.67M","-0.06%"
