"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","242.50","241.40","243.70","239.40","14.48M","0.92%"
"Feb 12, 2019","240.30","239.60","241.00","237.60","10.79M","1.05%"
"Feb 11, 2019","237.80","238.70","240.74","234.20","14.75M","-0.54%"
"Feb 08, 2019","239.10","239.10","241.70","236.30","12.37M","-0.37%"
"Feb 07, 2019","240.00","248.30","249.50","239.80","14.54M","-3.92%"
"Feb 06, 2019","249.80","244.60","249.90","243.80","10.98M","1.13%"
"Feb 05, 2019","247.00","244.40","247.50","243.40","13.75M","1.44%"
"Feb 04, 2019","243.50","243.40","245.70","241.70","11.52M","-0.16%"
"Feb 01, 2019","243.90","241.30","243.90","239.85","14.64M","1.25%"
"Jan 31, 2019","240.90","240.90","243.80","239.80","16.40M","-0.95%"
"Jan 30, 2019","243.20","238.30","243.40","235.60","14.70M","2.14%"
"Jan 29, 2019","238.10","240.70","241.50","237.50","14.69M","-0.17%"
"Jan 28, 2019","238.50","241.80","243.80","238.10","9.45M","-1.97%"
"Jan 25, 2019","243.30","245.00","247.00","241.60","16.84M","0.95%"
"Jan 24, 2019","241.00","239.50","241.50","238.00","9.45M","0.79%"
"Jan 23, 2019","239.10","238.40","240.20","237.20","9.43M","-0.21%"
"Jan 22, 2019","239.60","238.10","241.50","236.80","11.12M","-0.91%"
"Jan 21, 2019","241.80","245.30","246.10","240.20","14.13M","-1.51%"
"Jan 18, 2019","245.50","239.70","247.40","238.50","16.40M","3.59%"
"Jan 17, 2019","237.00","231.30","239.80","229.00","18.11M","1.37%"
"Jan 16, 2019","233.80","231.70","235.70","230.60","16.70M","1.70%"
"Jan 15, 2019","229.90","234.60","236.60","227.20","10.12M","-1.12%"
"Jan 14, 2019","232.50","225.30","233.00","224.80","21.62M","3.01%"
"Jan 11, 2019","225.70","224.20","228.28","222.30","11.67M","0.71%"
"Jan 10, 2019","224.10","220.40","225.30","217.80","14.93M","1.45%"
"Jan 09, 2019","220.90","227.20","227.20","220.80","23.09M","-2.17%"
"Jan 08, 2019","225.80","224.70","228.10","223.60","11.36M","0.80%"
"Jan 07, 2019","224.00","222.40","224.40","221.90","11.36M","1.27%"
"Jan 04, 2019","221.20","216.70","221.90","215.00","11.42M","3.80%"
"Jan 03, 2019","213.10","214.90","219.30","212.70","9.84M","-1.62%"
"Jan 02, 2019","216.60","214.00","217.30","209.30","12.05M","-0.05%"
"Dec 31, 2018","216.70","215.00","216.90","212.90","5.56M","1.21%"
"Dec 28, 2018","214.10","207.10","214.10","206.50","8.73M","3.88%"
"Dec 27, 2018","206.10","209.70","211.50","204.40","11.79M","0.05%"
"Dec 24, 2018","206.00","206.10","208.60","204.50","2.42M","-1.29%"
"Dec 21, 2018","208.70","208.80","209.50","205.70","21.94M","0.48%"
"Dec 20, 2018","207.70","206.50","211.00","205.80","12.74M","-1.05%"
"Dec 19, 2018","209.90","209.10","212.00","208.70","10.89M","0.29%"
"Dec 18, 2018","209.30","209.00","212.50","207.70","13.29M","0.53%"
"Dec 17, 2018","208.20","211.80","212.50","208.00","11.07M","-1.61%"
"Dec 14, 2018","211.60","208.80","212.10","206.80","11.84M","0.33%"
"Dec 13, 2018","210.90","210.00","214.80","208.70","15.23M","1.15%"
"Dec 12, 2018","208.50","202.20","209.60","200.10","19.65M","2.71%"
"Dec 11, 2018","203.00","202.10","206.40","200.50","14.59M","-0.29%"
"Dec 10, 2018","203.60","208.40","211.50","202.80","18.74M","-3.05%"
"Dec 07, 2018","210.00","215.00","216.50","210.00","15.63M","-0.94%"
"Dec 06, 2018","212.00","219.50","219.73","208.50","19.71M","-4.50%"
"Dec 05, 2018","222.00","214.10","224.50","212.10","23.48M","2.40%"
"Dec 04, 2018","216.80","221.50","226.20","216.60","14.54M","-2.03%"
"Dec 03, 2018","221.30","222.10","224.20","220.70","11.18M","1.42%"
"Nov 30, 2018","218.20","221.40","221.90","216.40","18.45M","-1.45%"
"Nov 29, 2018","221.40","221.30","223.30","220.00","9.47M","0.59%"
"Nov 28, 2018","220.10","221.80","223.20","219.20","13.12M","-0.68%"
"Nov 27, 2018","221.60","225.00","225.00","219.70","15.54M","-1.64%"
"Nov 26, 2018","225.30","224.00","228.10","223.40","26.62M","1.90%"
"Nov 23, 2018","221.10","220.00","224.60","219.56","13.00M","0.05%"
"Nov 22, 2018","221.00","214.60","225.20","211.50","32.31M","2.08%"
"Nov 21, 2018","216.50","212.00","217.10","211.50","17.46M","2.70%"
"Nov 20, 2018","210.80","216.40","217.10","208.56","21.36M","-2.95%"
"Nov 19, 2018","217.20","217.50","220.00","215.30","37.71M","0.14%"
"Nov 16, 2018","216.90","226.50","229.40","213.80","43.48M","-3.26%"
"Nov 15, 2018","224.20","248.40","249.00","222.80","46.51M","-9.63%"
"Nov 14, 2018","248.10","248.40","252.40","246.70","20.36M","-0.80%"
"Nov 13, 2018","250.10","246.40","251.00","244.70","18.05M","2.21%"
