"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","275.80","277.70","279.10","270.00","7.60M","1.47%"
"Feb 12, 2019","271.80","274.20","275.00","269.10","4.21M","-1.13%"
"Feb 11, 2019","274.90","273.70","277.90","270.20","3.69M","1.33%"
"Feb 08, 2019","271.30","273.50","283.13","271.30","6.07M","-1.74%"
"Feb 07, 2019","276.10","279.30","280.20","273.70","3.73M","-1.39%"
"Feb 06, 2019","280.00","280.50","283.90","272.40","6.51M","-2.20%"
"Feb 05, 2019","286.30","282.00","289.00","278.80","4.67M","1.71%"
"Feb 04, 2019","281.50","281.00","284.92","276.72","4.80M","1.70%"
"Feb 01, 2019","276.80","268.30","276.80","266.60","5.91M","3.25%"
"Jan 31, 2019","268.10","267.00","276.80","266.00","7.60M","-0.33%"
"Jan 30, 2019","269.00","259.60","269.70","252.00","8.22M","3.14%"
"Jan 29, 2019","260.80","254.30","285.00","246.60","14.62M","-13.27%"
"Jan 28, 2019","300.70","304.10","308.25","300.37","4.48M","-1.18%"
"Jan 25, 2019","304.30","307.00","308.50","295.70","6.88M","0.10%"
"Jan 24, 2019","304.00","296.90","304.00","293.40","5.20M","2.67%"
"Jan 23, 2019","296.10","296.10","301.00","294.40","3.81M","-0.37%"
"Jan 22, 2019","297.20","294.70","303.70","292.70","4.20M","1.02%"
"Jan 21, 2019","294.20","298.40","299.76","291.10","2.16M","-1.47%"
"Jan 18, 2019","298.60","291.50","299.55","287.60","3.32M","1.63%"
"Jan 17, 2019","293.80","287.40","294.60","285.60","3.71M","2.26%"
"Jan 16, 2019","287.30","276.20","288.40","275.20","3.38M","4.70%"
"Jan 15, 2019","274.40","276.80","282.90","274.20","5.86M","-0.94%"
"Jan 14, 2019","277.00","281.00","284.70","276.30","3.44M","-1.81%"
"Jan 11, 2019","282.10","283.00","285.20","277.50","3.37M","-0.35%"
"Jan 10, 2019","283.10","284.70","289.30","281.00","12.97M","-0.98%"
"Jan 09, 2019","285.90","285.90","291.60","284.10","2.98M","-0.24%"
"Jan 08, 2019","286.60","288.00","291.60","284.10","2.86M","-0.38%"
"Jan 07, 2019","287.70","289.70","291.30","279.70","3.77M","0.28%"
"Jan 04, 2019","286.90","281.40","287.90","278.10","4.31M","2.03%"
"Jan 03, 2019","281.20","271.00","287.80","271.00","5.15M","3.15%"
"Jan 02, 2019","272.60","271.00","274.40","266.20","3.80M","0.18%"
"Dec 31, 2018","272.10","278.70","282.90","271.40","1.37M","-2.58%"
"Dec 28, 2018","279.30","274.30","279.70","271.60","2.75M","2.80%"
"Dec 27, 2018","271.70","284.50","284.80","270.90","3.37M","-2.65%"
"Dec 24, 2018","279.10","277.20","282.20","276.80","648.35K","-0.50%"
"Dec 21, 2018","280.50","277.10","284.50","276.30","20.16M","1.52%"
"Dec 20, 2018","276.30","275.60","281.90","272.90","15.53M","-1.32%"
"Dec 19, 2018","280.00","284.60","284.60","274.60","11.26M","-2.37%"
"Dec 18, 2018","286.80","283.90","296.40","280.32","8.86M","0.67%"
"Dec 17, 2018","284.90","297.30","300.50","284.70","12.16M","-3.85%"
"Dec 14, 2018","296.30","297.30","298.10","288.20","5.82M","-1.85%"
"Dec 13, 2018","301.90","310.40","313.80","301.90","4.67M","-2.86%"
"Dec 12, 2018","310.80","302.60","311.60","298.50","7.36M","3.26%"
"Dec 11, 2018","301.00","296.10","303.30","289.40","6.41M","1.42%"
"Dec 10, 2018","296.80","300.40","302.22","290.00","8.03M","-2.30%"
"Dec 07, 2018","303.80","306.40","319.30","303.80","5.98M","-0.30%"
"Dec 06, 2018","304.70","306.90","318.90","302.37","10.59M","-3.39%"
"Dec 05, 2018","315.40","304.10","319.00","301.00","6.28M","3.11%"
"Dec 04, 2018","305.90","313.20","314.50","304.40","7.16M","-3.01%"
"Dec 03, 2018","315.40","323.70","324.20","314.50","3.88M","-1.38%"
"Nov 30, 2018","319.80","324.40","325.50","316.40","8.25M","-1.20%"
"Nov 29, 2018","323.70","327.70","330.10","323.70","4.47M","-0.40%"
"Nov 28, 2018","325.00","333.60","333.60","323.80","6.25M","-2.29%"
"Nov 27, 2018","332.60","335.10","338.60","328.20","6.14M","-0.09%"
"Nov 26, 2018","332.90","342.60","347.50","332.70","5.44M","-2.09%"
"Nov 23, 2018","340.00","327.00","340.50","327.00","5.94M","3.82%"
"Nov 22, 2018","327.50","321.10","327.60","314.70","6.06M","3.34%"
"Nov 21, 2018","316.90","308.40","321.80","305.20","10.28M","0.99%"
"Nov 20, 2018","313.80","306.00","315.00","297.00","11.62M","1.65%"
"Nov 19, 2018","308.70","317.60","322.30","308.70","10.13M","-2.31%"
"Nov 16, 2018","316.00","321.30","328.30","312.00","6.79M","-2.89%"
"Nov 15, 2018","325.40","350.10","355.55","318.00","12.44M","-6.49%"
"Nov 14, 2018","348.00","338.70","355.40","338.69","10.58M","2.35%"
"Nov 13, 2018","340.00","345.60","352.30","335.60","7.12M","-1.82%"
"Nov 12, 2018","346.30","351.20","352.70","341.30","3.88M","0.14%"
"Nov 09, 2018","345.80","349.60","353.60","343.90","5.47M","-1.40%"
"Nov 08, 2018","350.70","348.70","353.80","345.20","4.26M","0.78%"
"Nov 07, 2018","348.00","351.30","362.60","345.00","6.94M","-1.42%"
"Nov 06, 2018","353.00","351.90","359.60","348.10","4.11M","-0.87%"
"Nov 05, 2018","356.10","365.00","367.00","355.60","3.29M","-3.15%"
"Nov 02, 2018","367.70","362.20","370.00","360.90","4.25M","2.71%"
"Nov 01, 2018","358.00","355.30","365.97","354.00","4.05M","-0.28%"
"Oct 31, 2018","359.00","361.60","366.50","357.30","6.28M","0.22%"
"Oct 30, 2018","358.20","359.80","360.80","356.30","3.43M","-0.75%"
"Oct 29, 2018","360.90","348.60","366.00","348.60","5.69M","3.50%"
"Oct 26, 2018","348.70","353.80","359.30","345.90","4.56M","-4.10%"
"Oct 25, 2018","363.60","359.70","371.38","359.60","4.19M","0.17%"
"Oct 24, 2018","363.00","355.60","364.60","351.40","3.65M","2.46%"
"Oct 23, 2018","354.30","351.70","358.20","349.70","4.67M","-1.28%"
"Oct 22, 2018","358.90","345.40","358.90","344.00","6.09M","4.21%"
"Oct 19, 2018","344.40","350.00","350.10","342.30","3.21M","-1.57%"
"Oct 18, 2018","349.90","348.70","362.10","348.10","4.10M","0.81%"
"Oct 17, 2018","347.10","350.50","352.50","343.10","3.91M","-0.91%"
"Oct 16, 2018","350.30","342.40","351.08","341.90","4.34M","2.67%"
"Oct 15, 2018","341.20","337.10","344.72","333.75","3.70M","0.18%"
"Oct 12, 2018","340.60","342.60","346.12","338.20","5.21M","-0.18%"
"Oct 11, 2018","341.20","341.10","348.26","335.50","8.97M","-1.19%"
"Oct 10, 2018","345.30","350.70","353.50","337.80","8.94M","-2.18%"
"Oct 09, 2018","353.00","324.70","353.50","321.80","8.18M","4.31%"
"Oct 08, 2018","338.40","342.60","346.20","335.50","5.59M","-1.91%"
"Oct 05, 2018","345.00","338.90","350.30","335.30","8.20M","-2.62%"
"Oct 04, 2018","354.30","363.00","366.50","351.80","6.38M","-1.99%"
"Oct 03, 2018","361.50","357.20","377.00","345.90","8.21M","0.81%"
"Oct 02, 2018","358.60","374.00","380.63","350.60","20.97M","-8.38%"
"Oct 01, 2018","391.40","475.30","491.10","381.00","14.50M","-17.96%"
"Sep 28, 2018","477.10","474.40","479.80","467.20","4.12M","0.65%"
"Sep 27, 2018","474.00","479.90","481.00","465.40","3.84M","-1.35%"
"Sep 26, 2018","480.50","478.30","483.00","471.90","2.37M","0.65%"
"Sep 25, 2018","477.40","483.10","484.90","475.70","2.23M","-1.18%"
"Sep 24, 2018","483.10","476.00","483.60","474.50","2.00M","1.30%"
"Sep 21, 2018","476.90","476.00","478.50","473.10","5.88M","0.91%"
"Sep 20, 2018","472.60","474.30","482.70","470.80","3.99M","-0.32%"
"Sep 19, 2018","474.10","487.90","488.10","474.10","3.28M","-2.37%"
"Sep 18, 2018","485.60","489.60","490.40","485.40","2.84M","-0.70%"
"Sep 17, 2018","489.00","485.90","492.50","483.10","2.18M","0.72%"
"Sep 14, 2018","485.50","485.30","486.23","481.65","1.97M","0.64%"
"Sep 13, 2018","482.40","477.50","484.40","476.10","1.91M","1.05%"
"Sep 12, 2018","477.40","469.90","480.20","467.80","2.63M","1.49%"
"Sep 11, 2018","470.40","467.30","474.10","465.40","1.80M","0.26%"
"Sep 10, 2018","469.20","468.80","473.60","465.30","2.77M","0.34%"
"Sep 07, 2018","467.60","468.40","468.40","459.30","2.42M","0.30%"
"Sep 06, 2018","466.20","467.10","474.10","463.10","4.58M","-0.17%"
"Sep 05, 2018","467.00","457.20","475.50","457.20","3.41M","1.88%"
"Sep 04, 2018","458.40","461.70","472.26","452.60","3.55M","-0.67%"
"Sep 03, 2018","461.50","449.10","463.60","446.00","3.32M","3.01%"
"Aug 31, 2018","448.00","453.40","454.60","446.10","3.81M","-0.71%"
"Aug 30, 2018","451.20","463.00","464.20","451.20","3.72M","-2.82%"
"Aug 29, 2018","464.30","479.60","485.60","463.40","3.89M","-3.19%"
"Aug 28, 2018","479.60","469.20","483.00","468.90","3.06M","3.16%"
"Aug 24, 2018","464.90","466.40","467.00","462.60","1.93M","-0.19%"
"Aug 23, 2018","465.80","466.10","467.20","462.73","2.25M","0.37%"
"Aug 22, 2018","464.10","467.20","469.10","461.00","4.76M","-0.90%"
"Aug 21, 2018","468.30","468.70","472.50","465.60","1.36M","-0.09%"
"Aug 20, 2018","468.70","463.70","469.50","463.70","1.80M","0.93%"
"Aug 17, 2018","464.40","460.00","464.80","457.70","1.98M","0.58%"
"Aug 16, 2018","461.70","453.40","465.40","453.30","2.25M","1.56%"
"Aug 15, 2018","454.60","459.00","461.10","451.90","2.08M","-0.07%"
"Aug 14, 2018","454.90","462.40","468.10","450.60","2.26M","-1.60%"
"Aug 13, 2018","462.30","463.60","467.40","457.10","1.98M","-0.73%"
"Aug 10, 2018","465.70","458.50","467.50","458.50","2.63M","1.35%"
"Aug 09, 2018","459.50","457.30","460.50","455.50","2.96M","0.48%"
"Aug 08, 2018","457.30","455.30","461.10","455.30","2.66M","0.51%"
"Aug 07, 2018","455.00","455.50","459.10","454.70","2.65M","-0.78%"
"Aug 06, 2018","458.60","462.50","465.30","455.40","2.65M","-0.84%"
"Aug 03, 2018","462.50","461.40","466.00","456.89","2.77M","0.24%"
"Aug 02, 2018","461.40","462.90","467.10","458.40","3.04M","-0.41%"
"Aug 01, 2018","463.30","469.40","470.20","459.90","2.99M","-1.19%"
"Jul 31, 2018","468.90","468.80","477.20","468.30","8.66M","0.30%"
"Jul 30, 2018","467.50","467.10","469.00","464.20","2.02M","-0.32%"
"Jul 27, 2018","469.00","469.60","486.70","467.40","2.58M","0.32%"
"Jul 26, 2018","467.50","459.70","485.10","459.70","3.70M","-1.25%"
"Jul 25, 2018","473.40","472.60","476.80","467.70","2.90M","0.62%"
"Jul 24, 2018","470.50","467.80","481.10","466.80","3.38M","0.94%"
"Jul 23, 2018","466.10","461.70","466.40","457.40","3.42M","0.24%"
"Jul 20, 2018","465.00","469.00","470.40","462.40","2.71M","-0.77%"
"Jul 19, 2018","468.60","467.90","477.90","465.30","4.05M","0.24%"
"Jul 18, 2018","467.50","491.90","491.90","456.60","8.82M","-4.49%"
"Jul 17, 2018","489.50","474.00","499.10","474.00","7.52M","1.81%"
"Jul 16, 2018","480.80","487.80","489.20","477.90","2.46M","-1.29%"
"Jul 13, 2018","487.10","487.90","491.87","486.10","2.36M","0.33%"
"Jul 12, 2018","485.50","480.80","486.10","479.10","3.09M","0.89%"
"Jul 11, 2018","481.20","485.30","486.10","475.87","4.81M","-1.31%"
"Jul 10, 2018","487.60","488.40","488.40","481.50","3.58M","0.18%"
"Jul 09, 2018","486.70","492.20","496.40","485.00","3.55M","-0.88%"
"Jul 06, 2018","491.00","500.00","506.80","488.80","2.81M","-1.41%"
"Jul 05, 2018","498.00","500.80","506.00","498.00","2.88M","0.00%"
"Jul 04, 2018","498.00","492.00","503.40","492.00","1.82M","0.81%"
"Jul 03, 2018","494.00","498.70","501.00","492.70","4.47M","-0.82%"
"Jul 02, 2018","498.10","502.20","503.80","494.70","4.53M","-1.44%"
"Jun 29, 2018","505.40","507.60","509.60","496.90","5.26M","-0.12%"
"Jun 28, 2018","506.00","499.50","506.60","496.90","3.33M","0.28%"
"Jun 27, 2018","504.60","503.00","510.94","500.80","4.98M","0.68%"
"Jun 26, 2018","501.20","497.90","511.80","494.40","4.26M","1.87%"
"Jun 25, 2018","492.00","501.00","502.40","489.10","3.75M","-2.34%"
"Jun 22, 2018","503.80","496.30","504.40","493.50","3.08M","1.88%"
"Jun 21, 2018","494.50","501.00","501.20","493.80","3.01M","-0.84%"
"Jun 20, 2018","498.70","513.00","515.80","498.70","8.52M","-2.67%"
"Jun 19, 2018","512.40","502.20","512.40","500.20","5.79M","1.55%"
"Jun 18, 2018","504.60","504.60","506.00","497.90","3.90M","0.44%"
"Jun 15, 2018","502.40","503.00","504.40","498.40","7.35M","-0.55%"
"Jun 14, 2018","505.20","488.70","505.20","486.90","9.57M","2.64%"
"Jun 13, 2018","492.20","497.50","502.24","490.00","6.13M","-1.09%"
"Jun 12, 2018","497.60","489.40","497.60","488.80","4.90M","1.86%"
"Jun 11, 2018","488.50","483.90","489.80","482.00","3.18M","1.29%"
"Jun 08, 2018","482.30","489.80","495.73","480.40","3.82M","-1.99%"
"Jun 07, 2018","492.10","495.30","497.70","491.30","4.78M","1.11%"
"Jun 06, 2018","486.70","494.10","494.20","484.60","4.07M","-1.10%"
"Jun 05, 2018","492.10","498.10","500.40","492.10","3.95M","-1.46%"
"Jun 04, 2018","499.40","496.00","503.00","491.90","5.97M","0.64%"
"Jun 01, 2018","496.20","504.60","511.40","493.60","6.97M","-2.51%"
"May 31, 2018","509.00","516.60","520.91","506.00","13.01M","-1.39%"
"May 30, 2018","516.20","519.20","519.20","512.00","6.34M","-0.12%"
"May 29, 2018","516.80","529.00","529.00","514.60","6.74M","-2.56%"
"May 25, 2018","530.40","536.20","536.20","517.00","6.30M","-2.75%"
"May 24, 2018","545.40","546.00","550.80","541.60","4.20M","-0.11%"
"May 23, 2018","546.00","552.40","554.80","544.20","5.08M","-1.27%"
"May 22, 2018","553.00","553.40","560.20","549.00","5.81M","-0.54%"
"May 21, 2018","556.00","549.40","561.60","547.60","5.37M","1.91%"
"May 18, 2018","545.60","553.00","554.60","538.40","6.35M","-1.69%"
"May 17, 2018","555.00","581.40","585.00","551.40","8.98M","-7.16%"
"May 16, 2018","597.80","610.20","611.20","596.00","5.07M","-1.84%"
"May 15, 2018","609.00","614.60","622.85","605.20","7.41M","-0.78%"
"May 14, 2018","613.80","632.60","632.60","610.20","5.09M","-2.73%"
"May 11, 2018","631.00","614.00","631.40","610.40","5.47M","3.21%"
"May 10, 2018","611.40","606.00","612.40","603.40","3.35M","1.26%"
"May 09, 2018","603.80","599.60","607.80","597.00","4.98M","0.87%"
"May 08, 2018","598.60","598.40","600.20","582.80","4.00M","-0.03%"
"May 04, 2018","598.80","596.00","603.00","594.80","6.47M","0.91%"
"May 03, 2018","593.40","588.60","593.80","585.40","2.96M","0.82%"
