"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","2,704.00","2,699.00","2,726.07","2,692.00","199.76K","0.41%"
"Feb 12, 2019","2,693.00","2,697.00","2,717.00","2,670.00","271.70K","1.32%"
"Feb 11, 2019","2,658.00","2,627.00","2,664.00","2,609.00","167.74K","2.59%"
"Feb 08, 2019","2,591.00","2,634.00","2,660.00","2,591.00","180.48K","-2.19%"
"Feb 07, 2019","2,649.00","2,684.00","2,700.00","2,649.00","182.75K","-2.14%"
"Feb 06, 2019","2,707.00","2,709.00","2,712.00","2,678.00","222.78K","-0.18%"
"Feb 05, 2019","2,712.00","2,659.00","2,719.00","2,652.00","285.39K","1.95%"
"Feb 04, 2019","2,660.00","2,660.00","2,671.00","2,622.00","268.08K","0.38%"
"Feb 01, 2019","2,650.00","2,596.00","2,658.00","2,596.00","158.15K","1.49%"
"Jan 31, 2019","2,611.00","2,655.00","2,661.00","2,584.00","544.25K","-1.36%"
"Jan 30, 2019","2,647.00","2,629.00","2,685.00","2,627.00","462.86K","0.91%"
"Jan 29, 2019","2,623.00","2,607.00","2,640.00","2,571.00","228.92K","1.08%"
"Jan 28, 2019","2,595.00","2,578.00","2,628.00","2,578.00","288.36K","0.31%"
"Jan 25, 2019","2,587.00","2,588.00","2,654.00","2,578.00","445.68K","-1.07%"
"Jan 24, 2019","2,615.00","2,589.00","2,621.00","2,584.00","279.24K","1.32%"
"Jan 23, 2019","2,581.00","2,600.00","2,606.00","2,579.00","205.42K","-1.04%"
"Jan 22, 2019","2,608.00","2,626.00","2,651.00","2,608.00","225.77K","-1.77%"
"Jan 21, 2019","2,655.00","2,635.00","2,664.00","2,635.00","216.03K","0.49%"
"Jan 18, 2019","2,642.00","2,585.00","2,652.00","2,558.43","474.32K","3.28%"
"Jan 17, 2019","2,558.00","2,545.00","2,578.00","2,528.00","273.55K","-0.51%"
"Jan 16, 2019","2,571.00","2,563.00","2,594.00","2,544.00","359.40K","0.27%"
"Jan 15, 2019","2,564.00","2,602.00","2,633.00","2,548.00","288.37K","-1.31%"
"Jan 14, 2019","2,598.00","2,620.00","2,639.00","2,572.00","214.94K","-1.37%"
