"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","219.20","223.30","224.00","218.00","23.30M","-1.92%"
"Feb 12, 2019","223.50","227.30","227.30","222.10","16.04M","-0.67%"
"Feb 11, 2019","225.00","225.00","225.90","222.90","14.79M","0.36%"
"Feb 08, 2019","224.20","227.10","228.30","223.50","14.20M","-1.58%"
"Feb 07, 2019","227.80","229.70","231.60","227.38","17.75M","-0.83%"
"Feb 06, 2019","229.70","226.10","231.14","225.40","24.19M","1.77%"
"Feb 05, 2019","225.70","221.50","229.50","220.70","17.01M","1.90%"
"Feb 04, 2019","221.50","221.20","223.00","221.00","16.66M","-0.23%"
"Feb 01, 2019","222.00","223.80","224.10","220.23","18.37M","-0.49%"
"Jan 31, 2019","223.10","222.70","224.10","221.30","21.32M","-0.04%"
"Jan 30, 2019","223.20","221.20","223.90","219.40","16.81M","1.04%"
"Jan 29, 2019","220.90","223.00","223.60","220.50","23.14M","-0.05%"
"Jan 28, 2019","221.00","224.70","224.90","218.70","22.43M","-1.73%"
"Jan 25, 2019","224.90","222.50","227.30","221.60","15.26M","0.94%"
"Jan 24, 2019","222.80","222.50","224.70","220.61","14.44M","-0.36%"
"Jan 23, 2019","223.60","221.20","225.30","219.10","18.33M","1.45%"
"Jan 22, 2019","220.40","220.40","223.91","218.60","16.97M","-0.14%"
"Jan 21, 2019","220.70","223.70","224.20","218.20","21.14M","-1.69%"
"Jan 18, 2019","224.50","220.90","225.40","220.00","32.51M","2.46%"
"Jan 17, 2019","219.10","219.30","220.29","216.20","14.94M","-0.59%"
"Jan 16, 2019","220.40","218.10","221.40","217.50","23.23M","1.05%"
"Jan 15, 2019","218.10","219.00","219.50","215.20","26.70M","0.05%"
"Jan 14, 2019","218.00","217.00","219.30","215.50","28.50M","0.00%"
"Jan 11, 2019","218.00","216.40","219.20","214.20","25.58M","0.74%"
"Jan 10, 2019","216.40","213.80","218.80","211.90","36.36M","2.17%"
"Jan 09, 2019","211.80","213.00","214.90","209.00","31.60M","1.78%"
"Jan 08, 2019","208.10","202.00","211.30","201.00","35.31M","2.77%"
