"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","4,901.00","4,769.00","4,951.00","4,769.00","785.69K","2.90%"
"Feb 12, 2019","4,763.00","4,864.00","4,877.00","4,745.00","842.07K","-1.94%"
"Feb 11, 2019","4,857.00","4,870.00","4,900.00","4,827.00","399.88K","0.29%"
"Feb 08, 2019","4,843.00","4,848.00","4,884.00","4,843.00","456.58K","-0.10%"
"Feb 07, 2019","4,848.00","4,855.00","4,895.00","4,840.00","579.58K","-1.58%"
"Feb 06, 2019","4,926.00","4,941.00","4,954.00","4,924.00","347.60K","-0.28%"
"Feb 05, 2019","4,940.00","4,899.00","4,958.00","4,899.00","413.38K","0.75%"
"Feb 04, 2019","4,903.00","4,878.00","4,925.00","4,878.00","361.29K","0.25%"
"Feb 01, 2019","4,891.00","4,904.00","4,939.00","4,867.00","475.91K","0.08%"
"Jan 31, 2019","4,887.00","4,931.00","4,971.00","4,887.00","638.32K","-1.23%"
"Jan 30, 2019","4,948.00","4,910.00","4,961.00","4,904.66","1.36M","0.59%"
"Jan 29, 2019","4,919.00","4,904.00","4,988.00","4,891.00","539.81K","0.49%"
"Jan 28, 2019","4,895.00","4,871.00","4,925.00","4,869.00","389.91K","0.31%"
"Jan 25, 2019","4,880.00","4,964.00","4,971.00","4,880.00","483.12K","-1.43%"
"Jan 24, 2019","4,951.00","4,923.00","4,975.00","4,911.00","360.76K","0.96%"
"Jan 23, 2019","4,904.00","4,880.00","4,974.00","4,866.00","519.17K","-0.12%"
"Jan 22, 2019","4,910.00","4,849.00","4,949.00","4,842.40","426.04K","1.13%"
"Jan 21, 2019","4,855.00","4,803.00","4,899.00","4,788.00","410.19K","0.73%"
"Jan 18, 2019","4,820.00","4,746.00","4,834.00","4,729.00","716.42K","1.67%"
"Jan 17, 2019","4,741.00","4,694.00","4,795.00","4,498.00","1.02M","-0.67%"
"Jan 16, 2019","4,773.00","4,824.00","4,862.00","4,762.00","587.48K","-1.28%"
"Jan 15, 2019","4,835.00","4,881.00","4,897.00","4,806.00","462.08K","-1.06%"
"Jan 14, 2019","4,887.00","4,935.00","4,975.00","4,871.00","383.16K","-1.43%"
"Jan 11, 2019","4,958.00","4,999.00","4,999.00","4,930.00","488.17K","-0.14%"
"Jan 10, 2019","4,965.00","4,933.00","5,002.00","4,928.50","616.47K","0.10%"
"Jan 09, 2019","4,960.00","4,883.00","4,988.00","4,883.00","717.83K","2.12%"
"Jan 08, 2019","4,857.00","4,784.00","4,893.00","4,784.00","527.29K","1.61%"
"Jan 07, 2019","4,780.00","4,750.00","4,793.00","4,680.00","476.02K","2.14%"
"Jan 04, 2019","4,680.00","4,676.00","4,703.00","4,637.00","506.12K","2.07%"
"Jan 03, 2019","4,585.00","4,592.00","4,654.00","4,571.00","343.25K","-0.35%"
"Jan 02, 2019","4,601.00","4,591.00","4,620.00","4,516.00","270.44K","0.48%"
"Dec 31, 2018","4,579.00","4,560.00","4,606.00","4,534.00","226.61K","0.59%"
"Dec 28, 2018","4,552.00","4,483.00","4,556.00","4,466.00","281.72K","1.72%"
"Dec 27, 2018","4,475.00","4,550.00","4,583.00","4,443.00","415.08K","-1.00%"
"Dec 24, 2018","4,520.00","4,431.00","4,523.00","4,431.00","96.76K","1.32%"
"Dec 21, 2018","4,461.00","4,472.00","4,491.00","4,420.00","897.54K","-0.18%"
"Dec 20, 2018","4,469.00","4,429.00","4,509.00","4,405.00","392.32K","0.09%"
"Dec 19, 2018","4,465.00","4,452.00","4,512.00","4,426.11","400.77K","0.40%"
"Dec 18, 2018","4,447.00","4,462.00","4,497.00","4,440.00","363.55K","-0.09%"
"Dec 17, 2018","4,451.00","4,487.00","4,494.80","4,413.00","349.91K","-1.04%"
"Dec 14, 2018","4,498.00","4,504.00","4,519.00","4,454.00","272.69K","-0.68%"
"Dec 13, 2018","4,529.00","4,524.00","4,591.00","4,489.00","329.67K","0.11%"
"Dec 12, 2018","4,524.00","4,450.00","4,562.00","4,421.00","568.85K","1.66%"
"Dec 11, 2018","4,450.00","4,387.00","4,465.00","4,346.00","1.49M","1.69%"
"Dec 10, 2018","4,376.00","4,510.00","4,527.00","4,376.00","566.23K","-3.19%"
"Dec 07, 2018","4,520.00","4,529.00","4,606.28","4,487.00","691.66K","0.60%"
"Dec 06, 2018","4,493.00","4,600.00","4,600.00","4,466.00","481.48K","-2.81%"
"Dec 05, 2018","4,623.00","4,535.00","4,657.00","4,493.00","461.94K","1.72%"
"Dec 04, 2018","4,545.00","4,598.00","4,622.50","4,522.58","643.91K","-1.22%"
"Dec 03, 2018","4,601.00","4,632.00","4,657.00","4,547.75","699.99K","0.07%"
"Nov 30, 2018","4,598.00","4,680.00","4,680.00","4,567.00","593.69K","-1.46%"
"Nov 29, 2018","4,666.00","4,725.00","4,757.00","4,610.00","437.21K","-0.79%"
"Nov 28, 2018","4,703.00","4,722.00","4,722.00","4,653.00","320.56K","0.11%"
"Nov 27, 2018","4,698.00","4,692.00","4,727.00","4,653.00","348.93K","0.13%"
"Nov 26, 2018","4,692.00","4,669.00","4,732.00","4,649.00","334.36K","0.90%"
"Nov 23, 2018","4,650.00","4,609.00","4,661.00","4,596.00","167.45K","0.54%"
"Nov 22, 2018","4,625.00","4,609.00","4,659.00","4,587.00","226.83K","0.26%"
"Nov 21, 2018","4,613.00","4,572.00","4,622.00","4,522.00","306.50K","1.65%"
"Nov 20, 2018","4,538.00","4,532.00","4,567.00","4,518.00","288.11K","-0.46%"
"Nov 19, 2018","4,559.00","4,537.00","4,586.00","4,532.00","258.29K","0.57%"
"Nov 16, 2018","4,533.00","4,543.00","4,592.00","4,495.00","407.35K","-0.07%"
"Nov 15, 2018","4,536.00","4,654.00","4,660.85","4,511.00","896.21K","-2.47%"
"Nov 14, 2018","4,651.00","4,587.00","4,708.00","4,561.00","559.17K","1.73%"
"Nov 13, 2018","4,572.00","4,494.00","4,588.00","4,494.00","365.09K","1.83%"
"Nov 12, 2018","4,490.00","4,619.00","4,619.00","4,440.00","780.01K","-2.24%"
"Nov 09, 2018","4,593.00","4,587.00","4,650.00","4,571.00","403.28K","0.11%"
"Nov 08, 2018","4,588.00","4,629.00","4,639.00","4,545.00","390.30K","-1.06%"
"Nov 07, 2018","4,637.00","4,612.00","4,651.00","4,551.00","357.15K","1.07%"
"Nov 06, 2018","4,588.00","4,646.00","4,685.00","4,584.00","403.08K","-0.99%"
"Nov 05, 2018","4,634.00","4,666.00","4,712.00","4,634.00","513.01K","-1.05%"
"Nov 02, 2018","4,683.00","4,620.00","4,705.00","4,565.00","919.29K","1.78%"
"Nov 01, 2018","4,601.00","4,380.00","4,601.00","4,380.00","926.14K","4.57%"
"Oct 31, 2018","4,400.00","4,375.00","4,406.00","4,336.00","842.15K","1.34%"
"Oct 30, 2018","4,342.00","4,343.00","4,362.00","4,314.06","480.66K","-0.09%"
"Oct 29, 2018","4,346.00","4,373.00","4,376.00","4,325.00","934.50K","-0.41%"
"Oct 26, 2018","4,364.00","4,344.00","4,434.00","4,318.00","898.13K","-0.25%"
"Oct 25, 2018","4,375.00","4,321.00","4,375.00","4,282.00","891.15K","0.76%"
"Oct 24, 2018","4,342.00","4,427.00","4,427.00","4,342.00","520.02K","-1.23%"
"Oct 23, 2018","4,396.00","4,363.00","4,404.00","4,314.00","759.96K","-1.52%"
"Oct 22, 2018","4,464.00","4,531.00","4,552.00","4,464.00","631.67K","-1.57%"
"Oct 19, 2018","4,535.00","4,566.00","4,596.00","4,510.00","331.65K","-0.53%"
"Oct 18, 2018","4,559.00","4,561.00","4,604.00","4,532.00","410.42K","-0.18%"
"Oct 17, 2018","4,567.00","4,629.00","4,629.00","4,499.00","410.14K","-1.30%"
"Oct 16, 2018","4,627.00","4,588.00","4,639.00","4,563.00","444.27K","0.83%"
"Oct 15, 2018","4,589.00","4,574.00","4,591.00","4,540.00","580.70K","0.11%"
"Oct 12, 2018","4,584.00","4,572.00","4,649.00","4,540.00","598.27K","0.64%"
"Oct 11, 2018","4,555.00","4,615.00","4,647.00","4,555.00","2.86M","-1.66%"
"Oct 10, 2018","4,632.00","4,568.00","4,655.00","4,526.00","1.29M","1.53%"
"Oct 09, 2018","4,562.00","4,547.00","4,572.50","4,518.00","352.35K","-0.18%"
"Oct 08, 2018","4,570.00","4,563.00","4,623.90","4,541.00","614.46K","0.18%"
"Oct 05, 2018","4,562.00","4,600.00","4,618.72","4,557.00","301.58K","-0.65%"
"Oct 04, 2018","4,592.00","4,620.00","4,661.00","4,577.00","632.28K","-0.80%"
"Oct 03, 2018","4,629.00","4,647.00","4,656.00","4,619.00","1.43M","-0.41%"
"Oct 02, 2018","4,648.00","4,695.00","4,695.00","4,637.00","330.01K","-0.64%"
"Oct 01, 2018","4,678.00","4,731.00","4,733.00","4,665.00","385.74K","-0.83%"
"Sep 28, 2018","4,717.00","4,703.00","4,743.00","4,690.00","517.29K","0.38%"
"Sep 27, 2018","4,699.00","4,700.00","4,734.00","4,683.00","434.07K","-0.61%"
"Sep 26, 2018","4,728.00","4,695.00","4,728.00","4,650.00","303.17K","0.72%"
"Sep 25, 2018","4,694.00","4,734.00","4,749.00","4,694.00","460.19K","-0.45%"
"Sep 24, 2018","4,715.00","4,697.00","4,732.00","4,635.20","347.59K","0.32%"
"Sep 21, 2018","4,700.00","4,693.00","4,753.00","4,682.00","719.88K","0.11%"
"Sep 20, 2018","4,695.00","4,674.00","4,715.54","4,653.00","409.35K","-0.11%"
"Sep 19, 2018","4,700.00","4,715.00","4,734.00","4,680.00","392.66K","-0.44%"
"Sep 18, 2018","4,721.00","4,662.00","4,721.00","4,657.00","392.49K","0.66%"
"Sep 17, 2018","4,690.00","4,672.00","4,702.65","4,650.00","414.76K","0.11%"
"Sep 14, 2018","4,685.00","4,720.00","4,728.00","4,633.00","506.96K","0.99%"
"Sep 13, 2018","4,639.00","4,620.00","4,644.00","4,604.00","520.36K","-0.02%"
