"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","517.40","517.80","520.40","514.00","8.24M","0.47%"
"Feb 12, 2019","515.00","521.40","524.80","514.80","5.48M","-1.08%"
"Feb 11, 2019","520.60","523.80","525.80","517.60","4.66M","0.08%"
"Feb 08, 2019","520.20","519.40","523.40","517.00","4.18M","0.35%"
"Feb 07, 2019","518.40","519.80","525.60","518.20","4.67M","-0.84%"
"Feb 06, 2019","522.80","522.20","523.00","515.73","4.04M","0.19%"
"Feb 05, 2019","521.80","513.40","523.20","512.60","6.50M","1.76%"
"Feb 04, 2019","512.80","515.20","519.60","510.80","6.11M","-0.70%"
"Feb 01, 2019","516.40","515.00","516.40","511.80","7.47M","0.90%"
"Jan 31, 2019","511.80","515.60","519.00","511.00","7.08M","-0.43%"
"Jan 30, 2019","514.00","512.60","521.40","512.00","7.14M","0.23%"
"Jan 29, 2019","512.80","507.60","515.40","505.00","6.91M","1.67%"
"Jan 28, 2019","504.40","509.80","511.20","504.40","4.64M","-1.29%"
"Jan 25, 2019","511.00","515.00","518.20","510.00","4.65M","-0.39%"
"Jan 24, 2019","513.00","510.40","515.60","505.60","7.31M","0.79%"
"Jan 23, 2019","509.00","510.00","516.60","507.20","9.33M","-0.51%"
"Jan 22, 2019","511.60","514.80","516.80","507.14","6.25M","-0.66%"
"Jan 21, 2019","515.00","509.60","516.40","509.60","3.47M","0.98%"
"Jan 18, 2019","510.00","499.60","511.40","498.00","5.18M","2.47%"
"Jan 17, 2019","497.70","502.60","504.60","495.70","5.44M","-1.52%"
"Jan 16, 2019","505.40","507.00","507.80","500.60","6.40M","-0.08%"
"Jan 15, 2019","505.80","503.80","507.60","499.16","9.04M","1.85%"
"Jan 14, 2019","496.60","495.40","500.40","493.50","6.36M","-0.08%"
"Jan 11, 2019","497.00","494.00","498.70","489.40","7.32M","1.14%"
"Jan 10, 2019","491.40","486.00","494.00","482.70","5.67M","0.94%"
"Jan 09, 2019","486.80","478.60","491.89","475.10","8.90M","2.53%"
"Jan 08, 2019","474.80","466.70","476.60","466.00","9.08M","1.89%"
"Jan 07, 2019","466.00","476.10","477.90","461.60","6.26M","-1.48%"
"Jan 04, 2019","473.00","467.10","475.10","464.80","7.39M","1.72%"
"Jan 03, 2019","465.00","462.60","470.40","460.90","7.77M","0.02%"
"Jan 02, 2019","464.90","456.00","467.50","453.40","10.95M","1.24%"
"Dec 31, 2018","459.20","464.40","465.10","458.40","2.44M","-0.67%"
"Dec 28, 2018","462.30","458.00","462.90","453.90","4.62M","1.60%"
"Dec 27, 2018","455.00","459.90","459.90","452.30","8.56M","0.78%"
"Dec 24, 2018","451.50","449.10","454.80","449.10","1.55M","-0.64%"
"Dec 21, 2018","454.40","453.20","458.30","449.70","19.24M","-0.24%"
"Dec 20, 2018","455.50","454.00","458.30","449.00","6.80M","0.00%"
"Dec 19, 2018","455.50","458.40","458.60","452.30","7.78M","-0.52%"
"Dec 18, 2018","457.90","462.80","463.10","454.10","6.79M","0.66%"
"Dec 17, 2018","454.90","458.50","461.00","453.40","7.24M","-0.26%"
"Dec 14, 2018","456.10","455.30","461.50","452.70","9.44M","-0.46%"
"Dec 13, 2018","458.20","460.40","461.90","451.20","10.16M","0.02%"
"Dec 12, 2018","458.10","455.20","460.76","452.60","9.11M","0.77%"
"Dec 11, 2018","454.60","461.60","463.90","453.70","12.81M","0.13%"
"Dec 10, 2018","454.00","450.00","459.90","448.80","14.75M","0.98%"
"Dec 07, 2018","449.60","448.60","460.80","447.98","9.28M","0.92%"
"Dec 06, 2018","445.50","452.50","454.80","441.50","11.00M","-3.19%"
"Dec 05, 2018","460.20","469.00","474.40","456.80","9.26M","-2.77%"
"Dec 04, 2018","473.30","493.20","494.70","470.90","12.32M","-5.53%"
"Dec 03, 2018","501.00","493.70","502.20","493.20","17.07M","1.97%"
"Nov 30, 2018","491.30","490.80","496.00","488.20","12.69M","0.20%"
"Nov 29, 2018","490.30","492.50","495.10","490.10","10.88M","0.06%"
"Nov 28, 2018","490.00","503.60","504.90","486.10","11.57M","-2.58%"
"Nov 27, 2018","503.00","513.20","515.40","502.20","6.90M","-1.83%"
"Nov 26, 2018","512.40","509.80","514.40","505.08","4.92M","1.26%"
"Nov 23, 2018","506.00","507.20","508.00","502.60","5.80M","-0.24%"
