"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","158.02","158.46","159.06","156.94","16.67M","-0.03%"
"Feb 12, 2019","158.06","157.84","158.58","157.28","17.46M","0.78%"
"Feb 11, 2019","156.84","157.48","158.16","155.54","23.45M","0.58%"
"Feb 08, 2019","155.94","156.94","158.23","154.94","33.55M","-0.31%"
"Feb 07, 2019","156.42","160.44","161.36","156.37","43.99M","-3.19%"
"Feb 06, 2019","161.58","159.82","161.84","158.58","42.25M","0.66%"
"Feb 05, 2019","160.52","158.34","161.76","158.20","35.45M","1.34%"
"Feb 04, 2019","158.40","158.50","159.60","157.56","35.08M","-0.14%"
"Feb 01, 2019","158.62","159.06","159.54","155.70","47.92M","0.28%"
"Jan 31, 2019","158.18","160.70","161.80","156.66","48.67M","-2.26%"
"Jan 30, 2019","161.84","160.50","162.46","159.20","51.84M","0.33%"
"Jan 29, 2019","161.30","160.00","162.54","159.32","32.42M","0.76%"
"Jan 28, 2019","160.08","163.10","163.10","159.10","25.89M","-2.45%"
"Jan 25, 2019","164.10","163.50","164.64","163.00","27.81M","0.89%"
"Jan 24, 2019","162.66","163.56","164.56","161.50","23.56M","-0.12%"
"Jan 23, 2019","162.86","162.44","163.87","160.82","16.11M","-0.25%"
"Jan 22, 2019","163.26","163.08","164.10","161.94","23.27M","-1.03%"
"Jan 21, 2019","164.96","165.86","166.00","163.18","18.93M","-0.54%"
"Jan 18, 2019","165.86","161.78","166.18","160.62","40.53M","3.42%"
"Jan 17, 2019","160.38","159.76","161.14","157.80","24.62M","-0.63%"
"Jan 16, 2019","161.40","160.32","161.86","158.58","51.88M","1.45%"
"Jan 15, 2019","159.10","161.00","162.36","157.40","31.23M","-0.01%"
"Jan 14, 2019","159.12","156.08","159.30","155.64","39.03M","1.21%"
"Jan 11, 2019","157.22","158.52","158.86","155.54","29.40M","-1.33%"
"Jan 10, 2019","159.34","156.52","159.64","155.44","24.09M","1.61%"
"Jan 09, 2019","156.82","159.00","159.00","156.18","29.13M","-0.32%"
"Jan 08, 2019","157.32","156.10","159.24","155.76","23.47M","1.22%"
"Jan 07, 2019","155.42","155.16","157.10","152.78","30.89M","0.21%"
"Jan 04, 2019","155.10","153.04","156.58","150.94","34.15M","3.22%"
"Jan 03, 2019","150.26","149.42","154.22","148.60","43.60M","-0.28%"
"Jan 02, 2019","150.68","148.44","151.20","145.44","29.40M","0.11%"
"Dec 31, 2018","150.52","148.10","150.52","147.76","11.07M","0.25%"
"Dec 28, 2018","150.14","145.26","150.40","145.26","22.95M","2.78%"
"Dec 27, 2018","146.08","148.72","149.62","144.99","28.52M","-0.19%"
"Dec 24, 2018","146.36","148.06","149.42","146.30","20.98M","-1.77%"
"Dec 21, 2018","149.00","148.08","149.00","146.16","101.76M","0.78%"
"Dec 20, 2018","147.84","148.80","152.20","147.74","67.48M","-2.39%"
"Dec 19, 2018","151.46","152.20","153.60","151.02","33.46M","-0.49%"
"Dec 18, 2018","152.20","152.06","155.10","151.94","36.59M","-0.42%"
"Dec 17, 2018","152.84","156.40","158.38","152.02","60.73M","-3.53%"
"Dec 14, 2018","158.44","156.88","159.00","155.40","42.80M","-0.36%"
"Dec 13, 2018","159.02","160.04","163.32","158.27","50.33M","0.01%"
"Dec 12, 2018","159.00","152.88","159.48","149.57","77.79M","3.22%"
"Dec 11, 2018","154.04","152.20","155.32","151.15","49.15M","0.44%"
"Dec 10, 2018","153.36","153.40","155.38","152.22","58.37M","-0.65%"
"Dec 07, 2018","154.36","154.22","157.64","153.32","49.56M","0.68%"
"Dec 06, 2018","153.32","157.02","157.18","152.38","61.08M","-3.24%"
"Dec 05, 2018","158.46","155.08","161.34","153.44","61.53M","-0.41%"
"Dec 04, 2018","159.12","164.10","165.52","158.88","53.90M","-2.62%"
"Dec 03, 2018","163.40","165.04","167.54","162.78","34.23M","0.32%"
"Nov 30, 2018","162.88","167.56","167.56","161.53","51.30M","-2.61%"
"Nov 29, 2018","167.24","167.40","169.00","166.38","45.38M","0.26%"
"Nov 28, 2018","166.80","168.48","170.08","166.16","45.71M","-0.93%"
"Nov 27, 2018","168.36","167.02","169.65","165.12","31.48M","-0.20%"
"Nov 26, 2018","168.70","166.46","169.30","163.40","32.28M","2.53%"
"Nov 23, 2018","164.54","165.40","167.58","163.06","27.63M","-0.59%"
"Nov 22, 2018","165.52","166.74","167.58","164.40","30.59M","-0.67%"
"Nov 21, 2018","166.64","163.04","166.92","162.02","36.81M","3.16%"
"Nov 20, 2018","161.54","164.80","165.92","160.68","34.45M","-2.73%"
