"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","3,807.00","3,783.00","3,859.00","3,781.00","456.64K","0.85%"
"Feb 12, 2019","3,775.00","3,855.00","3,871.00","3,775.00","319.57K","-1.74%"
"Feb 11, 2019","3,842.00","3,812.00","3,859.00","3,796.42","417.17K","1.19%"
"Feb 08, 2019","3,797.00","3,762.00","3,818.00","3,762.00","303.60K","1.04%"
"Feb 07, 2019","3,758.00","3,832.00","3,848.00","3,758.00","372.12K","-1.88%"
"Feb 06, 2019","3,830.00","3,807.00","3,876.00","3,790.00","332.38K","0.52%"
"Feb 05, 2019","3,810.00","3,819.00","3,822.00","3,776.00","300.87K","0.24%"
"Feb 04, 2019","3,801.00","3,820.00","3,820.00","3,775.00","578.64K","-0.11%"
"Feb 01, 2019","3,805.00","3,752.00","3,812.00","3,751.00","264.66K","1.39%"
"Jan 31, 2019","3,753.00","3,783.00","3,825.00","3,745.00","506.55K","-1.11%"
"Jan 30, 2019","3,795.00","3,789.00","3,821.00","3,737.00","468.80K","0.77%"
"Jan 29, 2019","3,766.00","3,739.00","3,824.00","3,715.00","796.87K","0.43%"
"Jan 28, 2019","3,750.00","3,750.00","3,809.00","3,729.00","499.50K","-0.77%"
"Jan 25, 2019","3,779.00","3,800.00","3,843.07","3,779.00","387.24K","-0.45%"
"Jan 24, 2019","3,796.00","3,794.00","3,821.00","3,762.00","421.46K","0.16%"
"Jan 23, 2019","3,790.00","3,760.00","3,844.58","3,745.60","432.65K","0.11%"
"Jan 22, 2019","3,786.00","3,809.00","3,845.00","3,766.00","426.92K","-0.76%"
"Jan 21, 2019","3,815.00","3,822.00","3,830.00","3,755.00","398.79K","-0.68%"
"Jan 18, 2019","3,841.00","3,800.00","3,863.00","3,791.00","562.43K","1.61%"
"Jan 17, 2019","3,780.00","3,750.00","3,790.00","3,722.00","450.10K","-0.53%"
"Jan 16, 2019","3,800.00","3,751.00","3,841.00","3,748.00","689.96K","2.01%"
"Jan 15, 2019","3,725.00","3,770.00","3,777.00","3,694.42","488.95K","-0.67%"
"Jan 14, 2019","3,750.00","3,770.00","3,857.00","3,712.00","963.95K","0.00%"
"Jan 11, 2019","3,750.00","3,755.00","3,811.00","3,737.00","625.27K","0.40%"
"Jan 10, 2019","3,735.00","3,706.00","3,754.00","3,686.00","495.35K","-0.03%"
"Jan 09, 2019","3,736.00","3,619.00","3,773.00","3,619.00","623.92K","3.46%"
"Jan 08, 2019","3,611.00","3,553.00","3,656.00","3,549.00","497.70K","1.86%"
"Jan 07, 2019","3,545.00","3,589.00","3,622.40","3,514.00","636.23K","-0.23%"
"Jan 04, 2019","3,553.00","3,514.00","3,590.00","3,506.00","387.53K","2.19%"
"Jan 03, 2019","3,477.00","3,423.00","3,525.00","3,423.00","388.79K","0.40%"
"Jan 02, 2019","3,463.00","3,441.00","3,489.00","3,382.00","294.09K","-0.46%"
"Dec 31, 2018","3,479.00","3,438.00","3,480.00","3,427.00","159.28K","1.78%"
"Dec 28, 2018","3,418.00","3,358.00","3,420.00","3,340.00","249.90K","1.88%"
"Dec 27, 2018","3,355.00","3,421.00","3,430.00","3,342.00","304.01K","-0.09%"
"Dec 24, 2018","3,358.00","3,365.00","3,391.00","3,335.00","301.75K","-1.26%"
"Dec 21, 2018","3,401.00","3,415.00","3,469.00","3,387.00","978.96K","-0.47%"
"Dec 20, 2018","3,417.00","3,353.00","3,436.00","3,324.00","363.60K","0.41%"
"Dec 19, 2018","3,403.00","3,357.00","3,459.00","3,332.00","436.59K","1.83%"
