"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","229.45","227.70","230.15","226.20","17.83M","0.72%"
"Feb 12, 2019","227.80","230.05","232.90","227.30","15.31M","-0.72%"
"Feb 11, 2019","229.45","229.05","231.75","228.15","14.64M","0.66%"
"Feb 08, 2019","227.95","228.30","230.35","226.51","13.81M","-0.39%"
"Feb 07, 2019","228.85","233.45","233.80","227.20","18.87M","-1.55%"
"Feb 06, 2019","232.45","233.85","237.97","230.80","21.15M","-0.64%"
"Feb 05, 2019","233.95","230.65","234.10","230.36","15.26M","1.39%"
"Feb 04, 2019","230.75","230.95","233.10","229.75","25.86M","0.33%"
"Feb 01, 2019","230.00","230.35","233.01","228.20","26.03M","-1.03%"
"Jan 31, 2019","232.40","224.90","238.00","221.00","57.75M","-0.68%"
"Jan 30, 2019","234.00","235.00","236.35","231.25","21.47M","-0.13%"
"Jan 29, 2019","234.30","236.15","239.35","234.30","19.32M","-0.72%"
"Jan 28, 2019","236.00","235.35","240.35","234.05","16.64M","-0.17%"
"Jan 25, 2019","236.40","236.40","237.40","233.40","21.48M","0.06%"
"Jan 24, 2019","236.25","237.95","238.85","234.75","16.91M","-0.69%"
"Jan 23, 2019","237.90","236.85","240.40","233.30","16.84M","-0.04%"
"Jan 22, 2019","238.00","238.05","241.40","236.45","18.54M","0.00%"
"Jan 21, 2019","238.00","238.10","240.75","235.45","14.52M","-0.38%"
"Jan 18, 2019","238.90","232.15","239.70","231.05","26.46M","3.04%"
"Jan 17, 2019","231.85","226.90","232.25","225.28","48.01M","1.78%"
"Jan 16, 2019","227.80","231.00","232.20","227.80","18.33M","-0.93%"
"Jan 15, 2019","229.95","231.65","232.25","229.10","17.78M","0.59%"
"Jan 14, 2019","228.60","232.85","233.15","228.05","50.70M","-1.91%"
"Jan 11, 2019","233.05","233.75","236.35","232.50","46.25M","-0.21%"
"Jan 10, 2019","233.55","232.70","234.70","231.85","17.64M","0.45%"
"Jan 09, 2019","232.50","232.30","234.85","230.55","25.15M","0.65%"
"Jan 08, 2019","231.00","237.75","238.90","229.40","26.56M","-2.92%"
"Jan 07, 2019","237.95","239.95","242.00","237.07","15.51M","0.25%"
"Jan 04, 2019","237.35","241.00","241.90","236.45","19.48M","-1.15%"
"Jan 03, 2019","240.10","240.10","242.60","237.55","13.98M","0.04%"
"Jan 02, 2019","240.00","237.00","242.20","233.25","20.28M","0.80%"
"Dec 31, 2018","238.10","240.05","240.25","237.10","6.09M","-0.10%"
"Dec 28, 2018","238.35","232.70","240.20","231.65","15.53M","2.08%"
"Dec 27, 2018","233.50","238.00","242.67","229.30","23.41M","-4.07%"
"Dec 24, 2018","243.40","245.00","247.95","241.75","7.20M","-2.25%"
"Dec 21, 2018","249.00","249.05","250.06","243.30","52.27M","-0.42%"
"Dec 20, 2018","250.05","246.60","253.75","245.70","28.44M","0.64%"
"Dec 19, 2018","248.45","243.00","249.80","242.80","21.57M","1.82%"
"Dec 18, 2018","244.00","258.95","260.40","243.55","34.28M","-2.42%"
"Dec 17, 2018","250.05","250.25","251.85","248.80","14.39M","-0.60%"
"Dec 14, 2018","251.55","247.90","252.95","244.85","20.49M","0.04%"
"Dec 13, 2018","251.45","253.00","254.95","249.75","13.17M","-0.18%"
"Dec 12, 2018","251.90","253.40","254.75","251.80","19.87M","-0.14%"
"Dec 11, 2018","252.25","249.00","255.00","248.85","21.08M","1.47%"
"Dec 10, 2018","248.60","252.25","254.05","248.25","22.76M","-1.54%"
"Dec 07, 2018","252.50","254.15","260.25","252.50","28.75M","-0.20%"
"Dec 06, 2018","253.00","259.25","260.40","251.75","24.69M","-2.93%"
"Dec 05, 2018","260.65","260.80","261.85","258.40","21.53M","-0.10%"
"Dec 04, 2018","260.90","261.05","264.75","259.95","38.07M","1.68%"
"Dec 03, 2018","256.60","264.60","264.60","253.90","25.55M","-2.06%"
"Nov 30, 2018","262.00","262.10","264.45","257.60","35.21M","0.02%"
"Nov 29, 2018","261.95","261.75","265.25","261.29","18.03M","0.36%"
"Nov 28, 2018","261.00","265.00","268.00","257.35","30.68M","-0.74%"
"Nov 27, 2018","262.95","260.65","263.73","259.25","28.71M","1.13%"
"Nov 26, 2018","260.00","260.20","264.75","258.25","34.14M","1.46%"
"Nov 23, 2018","256.25","254.25","257.60","252.45","8.98M","0.87%"
"Nov 22, 2018","254.05","258.20","259.45","253.90","13.14M","-1.34%"
"Nov 21, 2018","257.50","255.40","259.45","252.00","28.26M","1.14%"
"Nov 20, 2018","254.60","255.20","257.90","251.30","19.94M","-0.55%"
"Nov 19, 2018","256.00","255.65","259.60","255.14","17.39M","0.39%"
"Nov 16, 2018","255.00","255.45","258.50","252.00","23.72M","0.04%"
"Nov 15, 2018","254.90","258.95","260.85","249.81","25.37M","-1.20%"
"Nov 14, 2018","258.00","252.00","261.85","251.35","37.07M","2.26%"
"Nov 13, 2018","252.30","255.70","256.85","250.55","22.80M","-0.92%"
"Nov 12, 2018","254.65","256.60","257.05","251.85","16.63M","0.20%"
"Nov 09, 2018","254.15","252.55","256.30","252.47","18.36M","-0.33%"
"Nov 08, 2018","255.00","250.65","257.85","248.70","49.48M","2.31%"
"Nov 07, 2018","249.25","250.85","251.20","243.05","34.81M","-0.70%"
"Nov 06, 2018","251.00","263.85","267.10","251.00","41.18M","-4.49%"
"Nov 05, 2018","262.80","263.60","268.60","261.82","34.96M","-0.70%"
"Nov 02, 2018","264.65","264.25","267.20","256.08","41.03M","1.30%"
"Nov 01, 2018","261.25","250.00","267.20","249.45","77.84M","8.61%"
"Oct 31, 2018","240.55","243.05","243.15","232.75","36.81M","-1.27%"
"Oct 30, 2018","243.65","238.45","243.70","235.05","28.02M","2.27%"
"Oct 29, 2018","238.25","229.50","239.50","227.20","26.88M","3.77%"
"Oct 26, 2018","229.60","236.75","238.80","227.25","37.03M","-4.55%"
"Oct 25, 2018","240.55","249.05","250.75","234.40","49.82M","-3.86%"
"Oct 24, 2018","250.20","241.85","251.50","241.05","54.65M","4.05%"
"Oct 23, 2018","240.45","242.25","244.70","239.90","33.96M","-1.23%"
"Oct 22, 2018","243.45","247.25","248.40","243.25","19.46M","-1.24%"
"Oct 19, 2018","246.50","245.35","248.40","244.05","23.28M","0.67%"
"Oct 18, 2018","244.85","243.30","247.75","241.55","24.93M","1.35%"
"Oct 17, 2018","241.60","244.50","244.85","240.80","21.53M","-0.27%"
"Oct 16, 2018","242.25","242.35","245.15","240.25","24.55M","-0.06%"
"Oct 15, 2018","242.40","236.60","242.40","235.73","32.62M","2.76%"
"Oct 12, 2018","235.90","237.55","239.07","231.50","28.56M","-0.46%"
