"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","2,022.00","2,002.00","2,034.00","1,999.00","1.28M","0.65%"
"Feb 12, 2019","2,009.00","1,994.00","2,009.00","1,988.50","1.44M","0.45%"
"Feb 11, 2019","2,000.00","1,981.00","2,007.00","1,978.00","1.38M","1.11%"
"Feb 08, 2019","1,978.00","1,971.00","1,988.08","1,965.00","1.10M","0.38%"
"Feb 07, 2019","1,970.50","1,973.50","2,002.00","1,970.50","840.45K","-0.71%"
"Feb 06, 2019","1,984.50","2,004.00","2,008.00","1,976.21","1.24M","-0.97%"
"Feb 05, 2019","2,004.00","1,973.50","2,005.00","1,951.50","1.57M","1.75%"
"Feb 04, 2019","1,969.50","1,946.50","1,970.00","1,946.50","882.22K","0.77%"
"Feb 01, 2019","1,954.50","1,909.00","1,958.00","1,909.00","1.26M","2.22%"
"Jan 31, 2019","1,912.00","1,925.50","1,939.00","1,905.50","1.87M","-0.86%"
"Jan 30, 2019","1,928.50","1,935.50","1,942.00","1,927.00","2.00M","-0.08%"
"Jan 29, 2019","1,930.00","1,884.50","1,941.50","1,884.50","1.58M","2.44%"
"Jan 28, 2019","1,884.00","1,895.00","1,901.00","1,868.00","1.88M","-1.10%"
"Jan 25, 2019","1,905.00","1,925.00","1,932.50","1,896.50","1.63M","-0.88%"
"Jan 24, 2019","1,922.00","1,957.00","1,959.00","1,920.00","1.47M","-1.44%"
"Jan 23, 2019","1,950.00","1,935.00","1,963.55","1,923.50","4.33M","0.26%"
"Jan 22, 2019","1,945.00","1,953.00","1,969.50","1,943.00","1.42M","-0.64%"
"Jan 21, 2019","1,957.50","1,946.50","1,958.00","1,942.00","1.01M","0.72%"
"Jan 18, 2019","1,943.50","1,925.50","1,947.50","1,911.00","1.63M","1.86%"
"Jan 17, 2019","1,908.00","1,895.00","1,920.00","1,892.50","1.78M","1.79%"
"Jan 16, 2019","1,874.50","1,885.00","1,887.00","1,854.00","1.84M","-0.16%"
"Jan 15, 2019","1,877.50","1,881.00","1,896.50","1,860.00","1.65M","0.03%"
"Jan 14, 2019","1,877.00","1,900.00","1,912.50","1,870.00","1.51M","-1.86%"
"Jan 11, 2019","1,912.50","1,922.50","1,932.50","1,896.00","1.51M","0.00%"
"Jan 10, 2019","1,912.50","1,885.50","1,912.50","1,885.00","1.12M","0.60%"
"Jan 09, 2019","1,901.00","1,907.50","1,920.00","1,898.00","1.28M","0.72%"
"Jan 08, 2019","1,887.50","1,889.50","1,912.50","1,880.00","1.58M","0.43%"
"Jan 07, 2019","1,879.50","1,899.50","1,905.00","1,870.50","1.10M","-0.58%"
"Jan 04, 2019","1,890.50","1,866.00","1,893.50","1,845.00","2.55M","2.16%"
"Jan 03, 2019","1,850.50","1,800.00","1,867.00","1,800.00","2.67M","-1.75%"
"Jan 02, 2019","1,883.50","1,893.50","1,894.50","1,847.50","1.30M","-1.13%"
"Dec 31, 2018","1,905.00","1,885.00","1,906.78","1,880.50","531.06K","1.06%"
"Dec 28, 2018","1,885.00","1,852.00","1,889.00","1,846.00","1.18M","2.28%"
"Dec 27, 2018","1,843.00","1,884.00","1,886.50","1,818.00","1.57M","-1.07%"
"Dec 24, 2018","1,863.00","1,835.50","1,863.50","1,831.00","1.02M","0.43%"
"Dec 21, 2018","1,855.00","1,875.00","1,882.00","1,834.00","4.01M","-0.43%"
"Dec 20, 2018","1,863.00","1,834.00","1,880.50","1,822.50","2.01M","0.13%"
"Dec 19, 2018","1,860.50","1,858.50","1,865.50","1,837.50","1.95M","0.08%"
"Dec 18, 2018","1,859.00","1,871.00","1,878.11","1,857.00","1.15M","-0.83%"
"Dec 17, 2018","1,874.50","1,901.00","1,911.00","1,866.00","1.58M","-1.11%"
"Dec 14, 2018","1,895.50","1,890.00","1,910.50","1,871.50","1.73M","-0.21%"
"Dec 13, 2018","1,899.50","1,913.00","1,918.50","1,892.50","1.55M","-0.11%"
"Dec 12, 2018","1,901.50","1,882.50","1,921.68","1,874.50","2.00M","1.20%"
"Dec 11, 2018","1,879.00","1,866.50","1,887.50","1,858.00","2.18M","1.73%"
"Dec 10, 2018","1,847.00","1,857.50","1,869.00","1,832.72","2.09M","-0.83%"
"Dec 07, 2018","1,862.50","1,840.00","1,892.50","1,840.00","2.46M","1.00%"
"Dec 06, 2018","1,844.00","1,866.00","1,867.00","1,824.50","2.94M","-2.12%"
"Dec 05, 2018","1,884.00","1,922.00","1,928.50","1,884.00","1.63M","-3.29%"
"Dec 04, 2018","1,948.00","1,948.00","1,968.50","1,946.00","3.04M","-0.10%"
"Dec 03, 2018","1,950.00","1,939.00","1,964.25","1,931.23","1.69M","2.28%"
"Nov 30, 2018","1,906.50","1,898.50","1,907.00","1,890.00","3.01M","0.50%"
"Nov 29, 2018","1,897.00","1,900.00","1,920.00","1,892.00","1.45M","0.66%"
"Nov 28, 2018","1,884.50","1,868.00","1,889.33","1,852.50","1.66M","0.91%"
"Nov 27, 2018","1,867.50","1,869.00","1,891.00","1,856.00","1.67M","-0.13%"
"Nov 26, 2018","1,870.00","1,883.00","1,894.00","1,855.00","1.47M","1.11%"
"Nov 23, 2018","1,849.50","1,837.00","1,851.00","1,814.00","1.02M","0.90%"
"Nov 22, 2018","1,833.00","1,828.00","1,844.00","1,805.00","1.52M","0.27%"
"Nov 21, 2018","1,828.00","1,820.50","1,830.00","1,777.00","1.87M","1.61%"
"Nov 20, 2018","1,799.00","1,827.00","1,829.00","1,770.00","2.61M","-2.49%"
"Nov 19, 2018","1,845.00","1,877.50","1,888.50","1,840.00","1.88M","-1.81%"
"Nov 16, 2018","1,879.00","1,848.00","1,892.00","1,843.50","2.22M","1.93%"
"Nov 15, 2018","1,843.50","1,841.50","1,858.00","1,826.00","2.53M","0.68%"
