"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,282.00","1,256.00","1,288.00","1,256.00","2.11M","1.30%"
"Feb 12, 2019","1,265.50","1,281.00","1,284.25","1,252.00","1.56M","-1.67%"
"Feb 11, 2019","1,287.00","1,284.50","1,310.50","1,278.50","1.48M","0.43%"
"Feb 08, 2019","1,281.50","1,296.00","1,306.50","1,279.00","1.77M","-1.54%"
"Feb 07, 2019","1,301.50","1,300.00","1,313.00","1,288.00","1.78M","-1.40%"
"Feb 06, 2019","1,320.00","1,296.00","1,326.00","1,275.00","1.93M","1.66%"
"Feb 05, 2019","1,298.50","1,284.00","1,301.00","1,273.50","2.05M","2.04%"
"Feb 04, 2019","1,272.50","1,272.50","1,276.50","1,229.66","2.23M","0.04%"
"Feb 01, 2019","1,272.00","1,260.00","1,282.50","1,259.50","1.92M","0.63%"
"Jan 31, 2019","1,264.00","1,283.00","1,298.00","1,261.50","2.55M","-2.02%"
"Jan 30, 2019","1,290.00","1,275.50","1,305.50","1,266.00","1.22M","0.98%"
"Jan 29, 2019","1,277.50","1,284.00","1,303.50","1,268.50","1.99M","-1.20%"
"Jan 28, 2019","1,293.00","1,297.50","1,316.50","1,281.50","1.49M","0.04%"
"Jan 25, 2019","1,292.50","1,264.00","1,303.50","1,255.00","2.70M","3.03%"
"Jan 24, 2019","1,254.50","1,272.50","1,288.50","1,234.00","2.28M","-1.99%"
"Jan 23, 2019","1,280.00","1,225.50","1,281.50","1,221.50","3.19M","3.69%"
"Jan 22, 2019","1,234.50","1,150.00","1,249.50","1,147.00","4.87M","6.28%"
"Jan 21, 2019","1,161.50","1,180.50","1,201.50","1,160.70","3.05M","-0.90%"
"Jan 18, 2019","1,172.00","1,116.50","1,180.50","1,109.33","5.29M","0.26%"
"Jan 17, 2019","1,169.00","1,178.00","1,185.00","1,148.50","2.68M","-2.01%"
"Jan 16, 2019","1,193.00","1,176.50","1,210.50","1,167.00","2.08M","1.97%"
"Jan 15, 2019","1,170.00","1,185.50","1,189.50","1,157.50","2.11M","-0.68%"
"Jan 14, 2019","1,178.00","1,167.00","1,186.50","1,160.00","2.03M","1.12%"
"Jan 11, 2019","1,165.00","1,149.50","1,166.50","1,139.00","1.35M","2.01%"
"Jan 10, 2019","1,142.00","1,140.00","1,168.72","1,129.50","1.32M","-0.65%"
"Jan 09, 2019","1,149.50","1,163.50","1,170.00","1,133.00","2.02M","0.17%"
"Jan 08, 2019","1,147.50","1,093.00","1,164.34","1,089.00","2.23M","4.32%"
"Jan 07, 2019","1,100.00","1,112.00","1,123.00","1,091.00","2.25M","-0.63%"
"Jan 04, 2019","1,107.00","1,091.00","1,107.00","1,079.87","1.42M","1.93%"
"Jan 03, 2019","1,086.00","1,098.00","1,122.50","1,085.05","1.13M","-1.45%"
"Jan 02, 2019","1,102.00","1,111.50","1,131.50","1,077.50","1.00M","-0.27%"
"Dec 31, 2018","1,105.00","1,112.00","1,133.00","1,103.00","308.81K","-0.58%"
"Dec 28, 2018","1,111.50","1,080.00","1,112.50","1,072.00","971.88K","3.73%"
"Dec 27, 2018","1,071.50","1,099.50","1,109.50","1,062.50","898.04K","-2.50%"
"Dec 24, 2018","1,099.00","1,095.00","1,110.00","1,078.00","247.50K","0.55%"
"Dec 21, 2018","1,093.00","1,086.00","1,107.50","1,079.00","1.46M","0.23%"
"Dec 20, 2018","1,090.50","1,061.00","1,096.00","1,042.00","1.11M","1.44%"
"Dec 19, 2018","1,075.00","1,078.00","1,107.50","1,074.50","1.38M","-0.28%"
"Dec 18, 2018","1,078.00","1,050.00","1,086.50","1,050.00","1.34M","2.52%"
"Dec 17, 2018","1,051.50","1,092.00","1,094.00","1,037.00","2.68M","-4.58%"
"Dec 14, 2018","1,102.00","1,085.00","1,106.00","1,070.50","1.85M","0.27%"
"Dec 13, 2018","1,099.00","1,095.50","1,109.00","1,083.00","1.97M","2.19%"
