"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","298.40","294.10","300.20","293.55","30.19M","2.30%"
"Feb 12, 2019","291.70","293.30","294.80","289.80","29.80M","0.64%"
"Feb 11, 2019","289.85","293.75","296.93","288.55","32.30M","-0.75%"
"Feb 08, 2019","292.05","294.95","300.40","292.05","32.10M","-1.77%"
"Feb 07, 2019","297.30","303.35","305.30","297.30","25.80M","-2.62%"
"Feb 06, 2019","305.30","305.00","306.70","302.15","32.26M","0.53%"
"Feb 05, 2019","303.70","303.40","307.95","302.93","31.18M","0.65%"
"Feb 04, 2019","301.75","301.45","304.40","299.75","34.61M","-1.45%"
"Feb 01, 2019","306.20","305.10","311.10","302.23","46.19M","-1.05%"
"Jan 31, 2019","309.45","306.30","311.95","305.00","38.56M","1.38%"
"Jan 30, 2019","305.25","301.00","308.40","300.00","42.52M","2.76%"
"Jan 29, 2019","297.05","293.20","300.38","292.15","30.04M","1.92%"
"Jan 28, 2019","291.45","296.50","302.25","288.85","29.82M","-2.03%"
"Jan 25, 2019","297.50","290.45","300.45","290.45","37.43M","3.24%"
"Jan 24, 2019","288.15","286.90","289.95","285.55","23.34M","0.52%"
"Jan 23, 2019","286.65","288.00","291.25","286.05","26.98M","-1.14%"
"Jan 22, 2019","289.95","291.85","294.60","287.45","29.40M","-2.06%"
"Jan 21, 2019","296.05","297.95","299.70","295.45","16.20M","-0.57%"
"Jan 18, 2019","297.75","293.85","302.35","293.23","44.49M","2.58%"
"Jan 17, 2019","290.25","289.00","291.70","287.13","29.31M","0.82%"
"Jan 16, 2019","287.90","294.85","296.25","287.90","37.52M","-1.32%"
"Jan 15, 2019","291.75","294.95","298.60","290.50","27.81M","0.15%"
"Jan 14, 2019","291.30","292.50","295.00","288.55","23.84M","-1.47%"
"Jan 11, 2019","295.65","296.10","299.90","291.63","34.97M","0.17%"
"Jan 10, 2019","295.15","294.80","295.30","287.85","25.10M","0.68%"
"Jan 09, 2019","293.15","294.00","299.70","292.65","41.91M","1.47%"
"Jan 08, 2019","288.90","285.40","292.50","283.70","25.93M","0.54%"
"Jan 07, 2019","287.35","289.10","290.55","284.76","30.21M","1.11%"
"Jan 04, 2019","284.20","275.55","285.50","272.75","43.30M","5.63%"
"Jan 03, 2019","269.05","279.70","281.10","268.40","54.48M","-4.76%"
"Jan 02, 2019","282.50","282.65","284.73","276.20","44.59M","-3.04%"
"Dec 31, 2018","291.35","293.25","294.05","290.35","10.35M","0.47%"
"Dec 28, 2018","290.00","285.50","293.15","284.90","25.14M","2.78%"
