"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","658.90","660.20","662.50","656.40","15.18M","0.81%"
"Feb 12, 2019","653.60","655.20","658.10","651.70","12.32M","0.48%"
"Feb 11, 2019","650.50","650.00","654.60","647.80","14.19M","1.34%"
"Feb 08, 2019","641.90","645.30","648.50","640.70","14.69M","0.06%"
"Feb 07, 2019","641.50","648.10","653.10","641.50","11.95M","-1.40%"
"Feb 06, 2019","650.60","650.60","656.00","647.70","14.86M","-0.44%"
"Feb 05, 2019","653.50","639.50","654.20","637.70","17.92M","2.09%"
"Feb 04, 2019","640.10","638.20","641.30","636.80","12.33M","0.17%"
"Feb 01, 2019","639.00","641.40","644.60","634.20","14.23M","0.02%"
"Jan 31, 2019","638.90","647.80","648.80","636.30","26.36M","-1.99%"
"Jan 30, 2019","651.90","644.00","655.00","642.70","25.20M","1.53%"
"Jan 29, 2019","642.10","639.10","644.90","636.70","22.43M","1.74%"
"Jan 28, 2019","631.10","637.60","639.00","630.20","15.28M","-1.08%"
"Jan 25, 2019","638.00","639.40","640.50","634.80","14.89M","0.77%"
"Jan 24, 2019","633.10","638.70","639.80","631.10","16.70M","-0.92%"
"Jan 23, 2019","639.00","638.90","641.70","633.80","18.20M","-0.36%"
"Jan 22, 2019","641.30","643.30","645.70","639.00","16.07M","-1.34%"
"Jan 21, 2019","650.00","648.00","652.30","646.50","11.51M","-0.28%"
"Jan 18, 2019","651.80","644.00","652.80","642.00","25.36M","2.02%"
"Jan 17, 2019","638.90","642.70","646.50","637.20","13.39M","-1.28%"
"Jan 16, 2019","647.20","645.90","649.50","641.30","17.21M","0.84%"
"Jan 15, 2019","641.80","641.70","645.60","636.90","14.86M","0.38%"
"Jan 14, 2019","639.40","640.30","643.40","636.90","16.32M","-1.27%"
"Jan 11, 2019","647.60","651.50","656.20","645.20","12.44M","-0.58%"
"Jan 10, 2019","651.40","644.60","653.10","644.00","15.94M","0.82%"
"Jan 09, 2019","646.10","652.40","654.20","644.80","27.77M","-0.46%"
"Jan 08, 2019","649.10","644.90","654.10","643.30","14.24M","1.09%"
"Jan 07, 2019","642.10","650.00","650.30","639.30","20.70M","-2.19%"
"Jan 04, 2019","656.50","649.20","658.20","644.80","19.82M","2.35%"
"Jan 03, 2019","641.40","643.50","647.50","639.30","16.17M","-0.80%"
"Jan 02, 2019","646.60","636.40","648.50","630.10","18.59M","-0.05%"
"Dec 31, 2018","646.90","640.90","649.90","638.10","7.20M","-0.51%"
"Dec 28, 2018","650.20","640.80","650.50","639.20","19.92M","1.91%"
"Dec 27, 2018","638.00","652.40","653.18","634.70","19.70M","-1.39%"
"Dec 24, 2018","647.00","645.70","648.10","640.95","5.87M","-1.07%"
"Dec 21, 2018","654.00","650.90","654.30","645.20","64.13M","0.58%"
"Dec 20, 2018","650.20","640.20","654.40","636.80","22.27M","-0.38%"
"Dec 19, 2018","652.70","644.00","654.20","644.00","16.93M","0.60%"
"Dec 18, 2018","648.80","650.40","656.30","645.70","18.19M","0.00%"
"Dec 17, 2018","648.80","653.60","656.10","648.70","15.93M","-0.72%"
"Dec 14, 2018","653.50","650.00","654.90","646.20","13.33M","-0.37%"
"Dec 13, 2018","655.90","659.50","664.20","654.20","14.95M","-0.12%"
"Dec 12, 2018","656.70","652.10","660.50","650.60","22.15M","1.92%"
"Dec 11, 2018","644.30","646.00","652.30","636.50","17.09M","0.89%"
"Dec 10, 2018","638.60","640.60","649.30","638.60","21.53M","-0.81%"
"Dec 07, 2018","643.80","639.40","653.00","635.30","20.66M","1.16%"
"Dec 06, 2018","636.40","654.20","657.90","632.00","32.25M","-3.56%"
"Dec 05, 2018","659.90","666.90","669.50","659.90","18.06M","-2.32%"
"Dec 04, 2018","675.60","682.10","686.00","672.00","19.99M","-0.63%"
"Dec 03, 2018","679.90","677.70","685.60","675.50","22.70M","2.35%"
"Nov 30, 2018","664.30","670.00","670.00","659.80","32.63M","-0.73%"
"Nov 29, 2018","669.20","663.20","672.90","663.20","19.75M","-0.04%"
"Nov 28, 2018","669.50","675.00","678.90","667.10","14.98M","-0.51%"
"Nov 27, 2018","672.90","672.80","678.20","670.50","15.87M","-0.13%"
"Nov 26, 2018","673.80","664.00","675.26","664.00","29.31M","3.03%"
"Nov 23, 2018","654.00","653.50","658.10","651.30","11.14M","0.58%"
"Nov 22, 2018","650.20","657.90","659.00","648.60","13.62M","-1.50%"
"Nov 21, 2018","660.10","649.60","661.30","646.90","26.56M","2.72%"
"Nov 20, 2018","642.60","647.20","648.90","637.40","16.24M","-1.35%"
"Nov 19, 2018","651.40","653.80","659.18","650.88","25.90M","-0.38%"
"Nov 16, 2018","653.90","660.40","666.00","647.60","26.67M","-0.59%"
"Nov 15, 2018","657.80","645.40","657.80","645.10","29.43M","2.11%"
"Nov 14, 2018","644.20","643.70","650.42","635.98","18.29M","-0.05%"
"Nov 13, 2018","644.50","640.60","644.90","632.02","44.85M","1.51%"
"Nov 12, 2018","634.90","644.30","645.90","634.90","17.31M","0.17%"
"Nov 09, 2018","633.80","637.00","637.70","628.10","23.18M","-1.61%"
"Nov 08, 2018","644.20","641.90","647.30","639.00","16.26M","0.96%"
"Nov 07, 2018","638.10","641.50","642.30","636.50","19.86M","0.17%"
"Nov 06, 2018","637.00","644.00","644.10","634.20","18.64M","-0.59%"
"Nov 05, 2018","640.80","643.90","645.00","638.10","14.44M","-0.82%"
"Nov 02, 2018","646.10","649.80","652.70","645.50","30.61M","1.14%"
"Nov 01, 2018","638.80","640.02","646.54","637.50","29.26M","-0.95%"
"Oct 31, 2018","644.90","643.00","649.00","643.00","28.72M","1.27%"
"Oct 30, 2018","636.80","631.50","639.10","631.30","26.92M","0.47%"
"Oct 29, 2018","633.80","633.50","641.70","625.50","48.19M","4.76%"
"Oct 26, 2018","605.00","604.50","605.80","596.40","23.05M","-0.72%"
"Oct 25, 2018","609.40","597.40","610.30","596.53","23.51M","1.43%"
"Oct 24, 2018","600.80","605.50","609.20","600.30","24.80M","-0.97%"
"Oct 23, 2018","606.70","614.20","615.50","606.20","37.41M","-2.79%"
"Oct 22, 2018","624.10","624.80","631.13","621.60","34.55M","0.60%"
"Oct 19, 2018","620.40","624.20","624.90","613.77","29.39M","0.37%"
"Oct 18, 2018","618.10","624.20","627.00","617.20","31.97M","-1.04%"
"Oct 17, 2018","624.60","627.00","627.00","620.70","16.59M","0.10%"
