"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","4,555.50","4,453.50","4,569.00","4,395.00","439.33K","2.18%"
"Feb 12, 2019","4,458.50","4,490.00","4,507.50","4,436.50","255.04K","-0.61%"
"Feb 11, 2019","4,486.00","4,480.00","4,499.50","4,438.00","309.95K","1.50%"
"Feb 08, 2019","4,419.50","4,425.50","4,447.00","4,412.00","246.60K","-0.44%"
"Feb 07, 2019","4,439.00","4,470.50","4,505.00","4,437.50","258.93K","-1.66%"
"Feb 06, 2019","4,514.00","4,510.00","4,564.50","4,491.81","275.94K","-0.12%"
"Feb 05, 2019","4,519.50","4,407.50","4,527.50","4,394.50","402.29K","2.26%"
"Feb 04, 2019","4,419.50","4,420.00","4,427.50","4,377.50","443.56K","1.23%"
"Feb 01, 2019","4,366.00","4,377.50","4,410.00","4,342.00","403.61K","0.59%"
"Jan 31, 2019","4,340.50","4,416.50","4,447.00","4,340.50","1.05M","-1.84%"
"Jan 30, 2019","4,422.00","4,390.50","4,461.50","4,375.00","830.50K","1.22%"
"Jan 29, 2019","4,368.50","4,302.50","4,400.00","4,299.00","748.32K","1.53%"
"Jan 28, 2019","4,302.50","4,250.00","4,346.00","4,244.00","440.15K","1.06%"
"Jan 25, 2019","4,257.50","4,401.50","4,401.50","4,227.00","699.69K","-2.87%"
"Jan 24, 2019","4,383.50","4,357.50","4,443.50","4,343.31","664.43K","0.60%"
"Jan 23, 2019","4,357.50","4,355.00","4,406.00","4,308.00","902.60K","-0.75%"
"Jan 22, 2019","4,390.50","4,434.50","4,487.00","4,388.00","779.89K","-1.08%"
"Jan 21, 2019","4,438.50","4,456.50","4,488.00","4,414.00","296.35K","0.52%"
"Jan 18, 2019","4,415.50","4,361.00","4,418.50","4,346.00","534.08K","1.27%"
"Jan 17, 2019","4,360.00","4,382.50","4,382.50","4,325.00","462.68K","-0.01%"
"Jan 16, 2019","4,360.50","4,395.00","4,403.50","4,330.50","592.31K","-0.42%"
"Jan 15, 2019","4,379.00","4,261.00","4,381.50","4,261.00","592.60K","1.86%"
"Jan 14, 2019","4,299.00","4,456.00","4,456.00","4,266.50","422.38K","-0.71%"
"Jan 11, 2019","4,329.69","4,284.55","4,348.74","4,281.54","458.20K","1.20%"
"Jan 10, 2019","4,278.53","4,282.55","4,299.60","4,202.31","556.81K","-0.58%"
"Jan 09, 2019","4,303.61","4,315.64","4,364.79","4,282.55","722.51K","0.40%"
"Jan 08, 2019","4,286.56","4,183.26","4,311.63","4,183.26","413.26K","2.59%"
"Jan 07, 2019","4,178.24","4,125.09","4,178.24","4,087.98","813.99K","-1.09%"
"Jan 04, 2019","4,224.38","4,168.21","4,242.43","4,127.09","483.65K","2.93%"
"Jan 03, 2019","4,104.02","4,146.15","4,193.28","4,101.02","813.94K","-1.16%"
"Jan 02, 2019","4,152.16","4,193.28","4,231.40","4,109.04","686.95K","-2.29%"
"Dec 31, 2018","4,249.45","4,179.24","4,249.45","4,164.20","146.98K","2.24%"
"Dec 28, 2018","4,156.18","4,058.89","4,176.23","4,058.89","368.30K","2.85%"
"Dec 27, 2018","4,040.84","4,100.01","4,141.13","3,998.72","343.11K","-0.81%"
"Dec 24, 2018","4,073.93","4,001.72","4,075.94","3,995.71","94.63K","0.74%"
"Dec 21, 2018","4,043.85","4,064.91","4,085.97","3,986.68","857.32K","-0.30%"
"Dec 20, 2018","4,055.88","4,119.07","4,145.14","4,038.83","644.68K","-2.91%"
"Dec 19, 2018","4,177.24","4,174.23","4,199.30","4,164.20","457.52K","0.10%"
"Dec 18, 2018","4,173.23","4,213.34","4,239.42","4,150.16","501.24K","-0.41%"
"Dec 17, 2018","4,190.28","4,200.31","4,210.34","4,153.17","383.56K","-0.55%"
"Dec 14, 2018","4,213.34","4,176.23","4,237.41","4,131.10","435.07K","0.50%"
"Dec 13, 2018","4,192.28","4,237.41","4,274.52","4,184.26","378.36K","-0.88%"
"Dec 12, 2018","4,229.39","4,225.38","4,271.51","4,191.28","415.06K","0.38%"
"Dec 11, 2018","4,213.34","4,176.23","4,265.50","4,141.13","415.34K","1.82%"
"Dec 10, 2018","4,138.12","4,153.17","4,210.34","4,118.32","671.40K","-1.32%"
"Dec 07, 2018","4,193.28","4,128.09","4,255.47","4,128.09","588.08K","2.73%"
"Dec 06, 2018","4,081.96","4,162.19","4,194.29","4,059.89","590.41K","-2.47%"
"Dec 05, 2018","4,185.26","4,202.31","4,252.23","4,180.25","282.60K","-1.18%"
"Dec 04, 2018","4,235.41","4,277.53","4,302.60","4,199.30","755.58K","-0.91%"
"Dec 03, 2018","4,274.52","4,292.58","4,322.66","4,248.45","689.14K","1.48%"
"Nov 30, 2018","4,212.34","4,337.71","4,337.71","4,209.33","629.42K","-2.76%"
