"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","57.86","57.94","58.35","57.73","97.91M","-0.17%"
"Feb 12, 2019","57.96","57.67","58.16","57.61","109.91M","0.42%"
"Feb 11, 2019","57.72","57.40","57.97","56.98","102.54M","1.48%"
"Feb 08, 2019","56.88","57.20","57.69","56.85","100.17M","-0.56%"
"Feb 07, 2019","57.20","58.22","58.29","57.20","127.61M","-1.82%"
"Feb 06, 2019","58.26","57.82","58.44","57.63","104.68M","0.38%"
"Feb 05, 2019","58.04","57.85","58.40","57.52","138.64M","0.40%"
"Feb 04, 2019","57.81","58.27","58.32","57.27","122.58M","-0.64%"
"Feb 01, 2019","58.18","58.10","58.37","57.32","116.67M","0.48%"
"Jan 31, 2019","57.90","57.60","58.32","57.48","150.63M","-0.74%"
"Jan 30, 2019","58.33","56.98","58.33","56.56","159.52M","2.62%"
"Jan 29, 2019","56.84","57.29","57.51","56.83","142.96M","-0.28%"
"Jan 28, 2019","57.00","58.57","58.64","56.95","151.16M","-2.68%"
"Jan 25, 2019","58.57","58.57","58.77","58.00","143.00M","1.54%"
"Jan 24, 2019","57.68","57.52","57.89","57.12","122.94M","0.66%"
"Jan 23, 2019","57.30","57.19","57.51","56.98","138.42M","-0.23%"
"Jan 22, 2019","57.43","57.20","57.93","57.15","134.83M","-0.98%"
"Jan 21, 2019","58.00","58.10","58.22","57.65","135.09M","0.00%"
"Jan 18, 2019","58.00","56.58","58.07","56.30","189.24M","3.33%"
"Jan 17, 2019","56.13","55.67","56.43","54.93","111.89M","0.00%"
"Jan 16, 2019","56.13","55.79","56.55","55.79","213.90M","1.06%"
"Jan 15, 2019","55.54","56.05","56.22","55.31","158.51M","0.00%"
"Jan 14, 2019","55.54","54.50","55.66","54.30","179.16M","1.52%"
"Jan 11, 2019","54.71","54.73","55.58","54.24","113.70M","-0.13%"
"Jan 10, 2019","54.78","53.50","54.87","53.22","137.48M","1.80%"
"Jan 09, 2019","53.81","54.10","54.50","53.53","209.07M","0.20%"
"Jan 08, 2019","53.70","53.60","54.27","53.47","105.71M","0.66%"
"Jan 07, 2019","53.35","53.47","53.65","52.02","183.54M","1.04%"
"Jan 04, 2019","52.80","52.02","52.99","51.68","125.19M","3.12%"
"Jan 03, 2019","51.20","50.93","51.68","50.59","118.00M","0.39%"
"Jan 02, 2019","51.00","50.66","51.37","50.17","129.41M","-1.64%"
"Dec 31, 2018","51.85","51.73","51.95","50.90","66.05M","1.25%"
"Dec 28, 2018","51.21","49.72","51.29","49.52","112.34M","2.36%"
"Dec 27, 2018","50.03","51.47","51.64","49.66","137.93M","-1.79%"
"Dec 24, 2018","50.94","50.50","51.15","50.29","41.72M","-1.11%"
"Dec 21, 2018","51.51","51.00","51.89","50.45","290.07M","1.02%"
"Dec 20, 2018","50.99","51.29","51.90","50.90","189.82M","-2.41%"
"Dec 19, 2018","52.25","51.83","52.59","51.79","135.21M","0.56%"
"Dec 18, 2018","51.96","52.25","52.50","51.86","243.19M","0.12%"
"Dec 17, 2018","51.90","52.03","52.78","51.83","181.38M","-1.52%"
"Dec 14, 2018","52.70","52.35","53.10","51.76","193.29M","-0.77%"
"Dec 13, 2018","53.11","53.72","54.33","52.84","158.72M","-0.45%"
"Dec 12, 2018","53.35","51.54","53.52","51.54","227.32M","1.95%"
"Dec 11, 2018","52.33","52.77","53.00","51.74","209.59M","-1.06%"
"Dec 10, 2018","52.89","53.65","54.04","52.54","210.23M","-2.15%"
"Dec 07, 2018","54.05","55.00","55.52","54.05","156.83M","-1.17%"
"Dec 06, 2018","54.69","55.77","56.06","54.35","249.66M","-2.69%"
"Dec 05, 2018","56.20","54.60","57.00","54.26","204.93M","1.43%"
"Dec 04, 2018","55.41","56.13","56.48","55.38","129.62M","-0.97%"
"Dec 03, 2018","55.95","55.59","56.60","55.34","141.15M","1.07%"
"Nov 30, 2018","55.36","56.26","56.50","54.85","244.05M","-1.39%"
"Nov 29, 2018","56.14","57.20","57.20","56.14","181.85M","-0.35%"
"Nov 28, 2018","56.34","57.84","57.84","56.23","106.62M","-0.09%"
"Nov 27, 2018","56.39","57.41","58.27","56.39","216.42M","-1.59%"
"Nov 26, 2018","57.30","57.90","58.72","57.25","166.41M","0.17%"
"Nov 23, 2018","57.20","56.25","57.46","56.13","175.80M","2.14%"
"Nov 22, 2018","56.00","56.06","56.74","54.87","232.04M","-0.41%"
"Nov 21, 2018","56.23","55.83","56.37","55.41","147.79M","1.57%"
"Nov 20, 2018","55.36","55.83","55.90","54.58","173.67M","-0.84%"
"Nov 19, 2018","55.83","54.60","56.16","54.60","184.84M","2.44%"
"Nov 16, 2018","54.50","55.52","56.01","54.08","290.39M","-1.71%"
"Nov 15, 2018","55.45","58.47","58.99","54.50","359.90M","-5.04%"
"Nov 14, 2018","58.39","58.78","59.54","58.16","188.16M","-0.66%"
"Nov 13, 2018","58.78","58.17","58.86","58.10","212.02M","1.48%"
"Nov 12, 2018","57.92","60.16","60.20","57.92","133.33M","-3.39%"
"Nov 09, 2018","59.95","59.75","60.14","59.01","120.25M","0.50%"
"Nov 08, 2018","59.65","58.90","59.98","58.72","130.57M","2.40%"
"Nov 07, 2018","58.25","57.97","58.64","57.96","124.62M","0.94%"
"Nov 06, 2018","57.71","58.87","58.89","57.67","112.41M","-1.47%"
"Nov 05, 2018","58.57","59.56","59.71","58.57","110.35M","-1.55%"
"Nov 02, 2018","59.49","59.80","59.88","59.21","161.06M","1.09%"
"Nov 01, 2018","58.85","56.95","59.32","56.88","225.86M","2.85%"
"Oct 31, 2018","57.22","57.43","57.76","57.12","163.45M","0.70%"
"Oct 30, 2018","56.82","57.07","57.48","56.52","138.88M","-0.63%"
"Oct 29, 2018","57.18","57.00","57.85","56.67","129.33M","0.62%"
"Oct 26, 2018","56.83","57.62","57.73","56.43","138.71M","-1.54%"
"Oct 25, 2018","57.72","56.00","58.03","56.00","189.69M","1.87%"
"Oct 24, 2018","56.66","56.38","57.02","56.01","142.12M","0.48%"
"Oct 23, 2018","56.39","56.00","56.85","55.97","175.74M","-0.07%"
