"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","4,638.00","4,580.00","4,649.00","4,576.00","470.30K","1.29%"
"Feb 12, 2019","4,579.00","4,645.00","4,654.00","4,570.00","559.28K","-1.29%"
"Feb 11, 2019","4,639.00","4,601.00","4,657.00","4,561.00","546.94K","1.38%"
"Feb 08, 2019","4,576.00","4,592.00","4,618.00","4,559.00","500.38K","-0.33%"
"Feb 07, 2019","4,591.00","4,620.00","4,683.00","4,591.00","502.53K","-1.27%"
"Feb 06, 2019","4,650.00","4,629.00","4,652.00","4,598.00","440.94K","-0.06%"
"Feb 05, 2019","4,653.00","4,626.00","4,666.00","4,575.00","509.33K","0.61%"
"Feb 04, 2019","4,625.00","4,566.00","4,629.00","4,564.00","457.25K","0.98%"
"Feb 01, 2019","4,580.00","4,594.00","4,612.00","4,552.00","464.96K","0.02%"
"Jan 31, 2019","4,579.00","4,617.00","4,650.00","4,536.00","783.18K","-0.24%"
"Jan 30, 2019","4,590.00","4,526.00","4,606.00","4,512.00","676.25K","1.32%"
"Jan 29, 2019","4,530.00","4,494.00","4,550.00","4,453.00","718.88K","1.91%"
"Jan 28, 2019","4,445.00","4,418.00","4,463.00","4,409.00","367.92K","0.57%"
"Jan 25, 2019","4,420.00","4,408.00","4,482.00","4,398.00","579.70K","0.16%"
"Jan 24, 2019","4,413.00","4,432.00","4,435.00","4,396.00","413.05K","-0.16%"
"Jan 23, 2019","4,420.00","4,464.00","4,482.00","4,384.00","713.03K","-0.67%"
"Jan 22, 2019","4,450.00","4,475.00","4,504.00","4,440.00","403.59K","-1.26%"
"Jan 21, 2019","4,507.00","4,457.00","4,546.00","4,453.00","454.54K","1.19%"
"Jan 18, 2019","4,454.00","4,431.00","4,455.90","4,395.00","1.29M","1.14%"
"Jan 17, 2019","4,404.00","4,413.00","4,432.00","4,388.00","689.50K","-0.23%"
"Jan 16, 2019","4,414.00","4,494.00","4,494.00","4,400.00","1.38M","-1.23%"
"Jan 15, 2019","4,469.00","4,468.00","4,494.00","4,390.00","1.07M","1.80%"
"Jan 14, 2019","4,390.00","4,331.00","4,413.00","4,306.00","967.92K","1.55%"
"Jan 11, 2019","4,323.00","4,298.00","4,350.00","4,281.00","912.29K","1.24%"
"Jan 10, 2019","4,270.00","4,188.00","4,282.53","4,167.00","407.85K","1.72%"
"Jan 09, 2019","4,198.00","4,191.00","4,232.00","4,179.00","917.42K","0.79%"
"Jan 08, 2019","4,165.00","4,200.00","4,208.00","4,163.00","774.44K","-0.97%"
"Jan 07, 2019","4,206.00","4,270.00","4,279.00","4,182.00","671.87K","-0.47%"
"Jan 04, 2019","4,226.00","4,160.00","4,227.00","4,075.00","577.69K","3.88%"
"Jan 03, 2019","4,068.00","4,083.00","4,121.00","4,059.00","1.08M","-1.36%"
"Jan 02, 2019","4,124.00","4,040.00","4,135.00","4,005.00","771.95K","1.53%"
"Dec 31, 2018","4,062.00","4,077.00","4,082.00","4,030.00","235.16K","-0.05%"
"Dec 28, 2018","4,064.00","4,010.00","4,087.00","4,010.00","404.31K","2.03%"
"Dec 27, 2018","3,983.00","3,967.00","4,012.00","3,943.00","638.14K","1.92%"
