"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","4,959.00","4,954.00","4,981.00","4,930.00","403.84K","0.00%"
"Feb 12, 2019","4,959.00","4,954.00","4,987.00","4,929.00","360.83K","0.16%"
"Feb 11, 2019","4,951.00","4,873.00","4,953.48","4,850.00","427.64K","2.02%"
"Feb 08, 2019","4,853.00","4,878.00","4,899.00","4,853.00","297.39K","-0.51%"
"Feb 07, 2019","4,878.00","4,890.00","4,924.00","4,853.00","479.26K","-0.37%"
"Feb 06, 2019","4,896.00","4,911.00","4,964.00","4,892.00","259.70K","-0.71%"
"Feb 05, 2019","4,931.00","4,828.00","4,931.00","4,821.00","500.30K","2.09%"
"Feb 04, 2019","4,830.00","4,847.00","4,871.00","4,813.00","1.05M","-0.64%"
"Feb 01, 2019","4,861.00","4,855.00","4,890.00","4,815.00","325.27K","0.29%"
"Jan 31, 2019","4,847.00","4,870.00","4,878.00","4,806.00","519.41K","-0.80%"
"Jan 30, 2019","4,886.00","4,847.00","4,901.00","4,806.00","615.74K","0.68%"
"Jan 29, 2019","4,853.00","4,800.00","4,936.00","4,791.00","500.02K","1.51%"
"Jan 28, 2019","4,781.00","4,770.00","4,854.00","4,770.00","358.75K","0.08%"
"Jan 25, 2019","4,777.00","4,836.00","4,858.00","4,777.00","326.15K","-0.85%"
"Jan 24, 2019","4,818.00","4,818.00","4,870.00","4,793.00","302.25K","0.38%"
"Jan 23, 2019","4,800.00","4,721.00","4,838.00","4,715.00","378.32K","1.07%"
"Jan 22, 2019","4,749.00","4,696.00","4,818.00","4,696.00","347.12K","0.49%"
"Jan 21, 2019","4,726.00","4,740.00","4,749.00","4,683.00","272.10K","-0.42%"
"Jan 18, 2019","4,746.00","4,675.00","4,779.00","4,648.00","577.78K","2.20%"
"Jan 17, 2019","4,644.00","4,652.00","4,683.00","4,605.00","652.56K","-0.64%"
"Jan 16, 2019","4,674.00","4,709.00","4,800.00","4,672.00","1.12M","0.30%"
"Jan 15, 2019","4,660.00","4,662.00","4,728.00","4,623.90","506.58K","0.24%"
"Jan 14, 2019","4,649.00","4,650.00","4,708.00","4,592.00","1.09M","-2.27%"
"Jan 11, 2019","4,757.00","4,820.00","4,832.00","4,734.00","506.63K","-0.63%"
"Jan 10, 2019","4,787.00","4,808.00","4,875.00","4,775.00","402.06K","-1.36%"
"Jan 09, 2019","4,853.00","4,872.00","4,909.00","4,803.00","745.28K","0.79%"
"Jan 08, 2019","4,815.00","4,566.00","4,873.00","4,563.00","1.02M","5.25%"
"Jan 07, 2019","4,575.00","4,492.00","4,630.00","4,413.00","1.14M","2.17%"
"Jan 04, 2019","4,478.00","4,413.00","4,485.00","4,370.00","829.32K","2.94%"
"Jan 03, 2019","4,350.00","4,450.00","4,510.00","4,301.00","1.22M","4.14%"
"Jan 02, 2019","4,177.00","3,988.00","4,191.00","3,985.00","689.45K","4.66%"
"Dec 31, 2018","3,991.00","4,053.00","4,113.00","3,975.00","182.29K","-1.41%"
"Dec 28, 2018","4,048.00","4,024.00","4,099.00","4,002.00","449.13K","0.72%"
"Dec 27, 2018","4,019.00","4,075.00","4,102.00","4,014.00","425.93K","0.12%"
"Dec 24, 2018","4,014.00","4,067.00","4,102.00","4,014.00","116.38K","-2.34%"
"Dec 21, 2018","4,110.00","4,083.00","4,153.00","4,069.00","948.59K","-0.10%"
"Dec 20, 2018","4,114.00","4,159.00","4,178.70","4,050.00","1.67M","-3.02%"
"Dec 19, 2018","4,242.00","4,226.00","4,276.00","4,165.00","687.19K","0.76%"
"Dec 18, 2018","4,210.00","4,144.00","4,287.00","4,130.00","1.32M","1.76%"
"Dec 17, 2018","4,137.00","4,000.00","4,247.02","3,970.00","995.52K","-4.63%"
"Dec 14, 2018","4,338.00","4,386.00","4,430.00","4,310.00","760.21K","-1.94%"
"Dec 13, 2018","4,424.00","4,566.00","4,604.00","4,381.00","687.12K","-3.19%"
"Dec 12, 2018","4,570.00","4,605.00","4,611.60","4,489.00","708.71K","-1.08%"
"Dec 11, 2018","4,620.00","4,621.00","4,668.00","4,564.00","464.91K","0.06%"
"Dec 10, 2018","4,617.00","4,647.00","4,672.00","4,583.00","639.24K","-1.28%"
"Dec 07, 2018","4,677.00","4,720.00","4,794.00","4,677.00","520.34K","-0.49%"
"Dec 06, 2018","4,700.00","4,819.00","4,833.00","4,650.00","833.67K","-3.57%"
"Dec 05, 2018","4,874.00","4,785.00","5,012.00","4,764.63","493.61K","1.08%"
"Dec 04, 2018","4,822.00","4,833.00","4,877.00","4,789.00","366.60K","-0.72%"
"Dec 03, 2018","4,857.00","4,971.00","5,008.00","4,802.78","573.39K","-0.90%"
"Nov 30, 2018","4,901.00","5,080.00","5,112.00","4,868.77","844.71K","-3.14%"
"Nov 29, 2018","5,060.00","5,218.00","5,234.00","5,060.00","619.46K","-2.35%"
"Nov 28, 2018","5,182.00","5,166.00","5,200.00","5,152.00","299.69K","0.00%"
"Nov 27, 2018","5,182.00","5,172.00","5,200.00","5,116.00","315.78K","0.62%"
