"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,537.50","1,538.00","1,546.00","1,521.50","4.52M","1.15%"
"Feb 12, 2019","1,520.00","1,527.50","1,536.00","1,513.00","3.42M","0.66%"
"Feb 11, 2019","1,510.00","1,493.50","1,511.50","1,484.00","4.59M","2.17%"
"Feb 08, 2019","1,478.00","1,515.00","1,520.50","1,475.00","4.98M","-2.67%"
"Feb 07, 2019","1,518.50","1,547.00","1,550.50","1,518.50","4.34M","-1.91%"
"Feb 06, 2019","1,548.00","1,530.00","1,552.00","1,523.50","3.45M","0.68%"
"Feb 05, 2019","1,537.50","1,510.50","1,541.00","1,497.50","4.16M","1.55%"
"Feb 04, 2019","1,514.00","1,508.00","1,516.00","1,500.00","3.61M","0.10%"
"Feb 01, 2019","1,512.50","1,488.50","1,515.00","1,480.00","4.05M","1.82%"
"Jan 31, 2019","1,485.50","1,494.00","1,517.00","1,473.50","6.14M","-0.57%"
"Jan 30, 2019","1,494.00","1,486.00","1,506.50","1,469.00","3.69M","0.88%"
"Jan 29, 2019","1,481.00","1,494.00","1,496.50","1,473.00","4.47M","-0.34%"
"Jan 28, 2019","1,486.00","1,499.50","1,509.00","1,479.00","3.28M","-1.26%"
"Jan 25, 2019","1,505.00","1,501.50","1,510.50","1,497.50","3.04M","0.50%"
"Jan 24, 2019","1,497.50","1,489.50","1,502.50","1,479.00","3.73M","0.67%"
"Jan 23, 2019","1,487.50","1,500.00","1,502.50","1,484.00","4.84M","-0.97%"
"Jan 22, 2019","1,502.00","1,494.50","1,507.50","1,484.50","3.37M","-0.07%"
"Jan 21, 2019","1,503.00","1,504.50","1,512.50","1,496.25","2.62M","0.00%"
"Jan 18, 2019","1,503.00","1,461.50","1,517.00","1,461.50","6.58M","3.73%"
"Jan 17, 2019","1,449.00","1,456.50","1,456.50","1,425.00","3.24M","-1.23%"
"Jan 16, 2019","1,467.00","1,449.50","1,474.50","1,449.00","3.88M","1.24%"
"Jan 15, 2019","1,449.00","1,469.00","1,469.50","1,433.00","3.37M","0.59%"
"Jan 14, 2019","1,440.50","1,445.50","1,445.50","1,421.00","4.13M","-0.45%"
"Jan 11, 2019","1,447.00","1,459.50","1,476.50","1,443.50","4.62M","-0.17%"
"Jan 10, 2019","1,449.50","1,425.00","1,452.00","1,410.50","3.26M","1.40%"
"Jan 09, 2019","1,429.50","1,434.50","1,451.00","1,401.00","5.56M","0.28%"
"Jan 08, 2019","1,425.50","1,395.00","1,435.00","1,395.00","4.19M","2.22%"
"Jan 07, 2019","1,394.50","1,390.00","1,409.00","1,357.00","7.22M","0.76%"
"Jan 04, 2019","1,384.00","1,357.00","1,392.50","1,356.25","6.49M","3.28%"
"Jan 03, 2019","1,340.00","1,359.50","1,375.00","1,335.00","8.90M","-2.40%"
"Jan 02, 2019","1,373.00","1,387.50","1,387.50","1,347.00","5.73M","-2.07%"
"Dec 31, 2018","1,402.00","1,401.50","1,415.62","1,387.00","2.21M","0.90%"
"Dec 28, 2018","1,389.50","1,354.00","1,397.50","1,342.50","4.43M","3.39%"
"Dec 27, 2018","1,344.00","1,385.00","1,390.50","1,324.99","4.26M","-1.75%"
"Dec 24, 2018","1,368.00","1,350.00","1,377.00","1,343.50","1.45M","0.59%"
"Dec 21, 2018","1,360.00","1,397.00","1,411.50","1,350.50","13.17M","-2.79%"
"Dec 20, 2018","1,399.00","1,384.50","1,418.00","1,372.50","6.34M","-0.64%"
"Dec 19, 2018","1,408.00","1,386.50","1,416.00","1,382.00","5.06M","1.44%"
"Dec 18, 2018","1,388.00","1,395.50","1,427.00","1,378.50","5.51M","-0.43%"
"Dec 17, 2018","1,394.00","1,419.50","1,419.50","1,390.00","5.03M","-1.52%"
"Dec 14, 2018","1,415.50","1,411.00","1,417.00","1,386.00","4.37M","-0.77%"
"Dec 13, 2018","1,426.50","1,430.50","1,448.50","1,420.50","3.88M","-0.56%"
