"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","1,726.00","1,710.00","1,727.50","1,692.50","4.17M","-0.06%"
"Feb 12, 2019","1,727.00","1,737.00","1,739.00","1,719.00","2.31M","-0.63%"
"Feb 11, 2019","1,738.00","1,730.50","1,739.50","1,715.00","2.06M","0.99%"
"Feb 08, 2019","1,721.00","1,710.50","1,725.00","1,707.72","3.39M","0.88%"
"Feb 07, 2019","1,706.00","1,711.50","1,734.00","1,706.00","3.52M","-0.55%"
"Feb 06, 2019","1,715.50","1,737.50","1,739.00","1,710.00","3.12M","-1.35%"
"Feb 05, 2019","1,739.00","1,715.00","1,739.00","1,707.50","3.53M","1.52%"
"Feb 04, 2019","1,713.00","1,698.50","1,713.00","1,695.00","3.45M","0.68%"
"Feb 01, 2019","1,701.50","1,689.00","1,701.50","1,684.00","2.92M","0.89%"
"Jan 31, 2019","1,686.50","1,670.50","1,696.00","1,665.00","5.14M","0.81%"
"Jan 30, 2019","1,673.00","1,649.00","1,682.50","1,649.00","3.37M","1.58%"
"Jan 29, 2019","1,647.00","1,620.50","1,650.00","1,617.00","4.11M","2.01%"
"Jan 28, 2019","1,614.50","1,613.00","1,621.50","1,606.00","3.17M","-0.34%"
"Jan 25, 2019","1,620.00","1,644.00","1,645.50","1,614.00","3.47M","-1.28%"
"Jan 24, 2019","1,641.00","1,663.00","1,663.00","1,638.00","2.67M","-1.17%"
"Jan 23, 2019","1,660.50","1,675.00","1,675.50","1,654.50","4.30M","-0.95%"
"Jan 22, 2019","1,676.50","1,671.00","1,689.00","1,669.50","2.15M","0.24%"
"Jan 21, 2019","1,672.50","1,667.00","1,681.50","1,666.00","2.64M","0.33%"
"Jan 18, 2019","1,667.00","1,645.00","1,671.50","1,643.00","4.32M","1.25%"
"Jan 17, 2019","1,646.50","1,635.00","1,660.00","1,632.27","4.42M","0.61%"
"Jan 16, 2019","1,636.50","1,631.50","1,645.50","1,615.50","3.90M","0.28%"
"Jan 15, 2019","1,632.00","1,623.50","1,634.50","1,609.50","3.23M","1.02%"
"Jan 14, 2019","1,615.50","1,632.50","1,643.50","1,614.00","2.70M","-1.40%"
"Jan 11, 2019","1,638.50","1,652.00","1,657.00","1,629.50","4.08M","-0.18%"
"Jan 10, 2019","1,641.50","1,630.50","1,641.50","1,620.00","3.71M","0.49%"
"Jan 09, 2019","1,633.50","1,662.50","1,664.78","1,632.00","4.42M","-0.88%"
"Jan 08, 2019","1,648.00","1,632.00","1,661.50","1,630.50","2.52M","1.04%"
"Jan 07, 2019","1,631.00","1,642.00","1,645.00","1,618.00","2.29M","0.00%"
"Jan 04, 2019","1,631.00","1,613.00","1,631.00","1,601.00","2.63M","1.75%"
"Jan 03, 2019","1,603.00","1,605.00","1,617.00","1,594.00","2.90M","-0.87%"
"Jan 02, 2019","1,617.00","1,594.50","1,623.00","1,571.00","2.92M","0.03%"
"Dec 31, 2018","1,616.50","1,620.50","1,624.00","1,615.00","1.19M","-0.28%"
"Dec 28, 2018","1,621.00","1,599.50","1,624.00","1,597.50","2.54M","2.50%"
"Dec 27, 2018","1,581.50","1,607.00","1,607.00","1,569.50","3.48M","-0.85%"
"Dec 24, 2018","1,595.00","1,583.00","1,603.00","1,570.00","948.07K","0.47%"
"Dec 21, 2018","1,587.50","1,608.00","1,611.00","1,567.50","8.66M","-1.52%"
"Dec 20, 2018","1,612.00","1,603.50","1,638.50","1,595.50","4.08M","-0.37%"
"Dec 19, 2018","1,618.00","1,605.00","1,625.50","1,597.50","2.86M","0.62%"
"Dec 18, 2018","1,608.00","1,638.00","1,640.50","1,604.00","4.11M","-1.89%"
"Dec 17, 2018","1,639.00","1,626.50","1,656.50","1,626.50","4.38M","0.61%"
"Dec 14, 2018","1,629.00","1,607.00","1,640.00","1,605.50","3.05M","0.56%"
"Dec 13, 2018","1,620.00","1,640.00","1,641.00","1,607.00","2.53M","-0.25%"
"Dec 12, 2018","1,624.00","1,618.00","1,637.00","1,617.00","3.49M","0.46%"
"Dec 11, 2018","1,616.50","1,606.00","1,622.50","1,601.50","3.28M","1.35%"
"Dec 10, 2018","1,595.00","1,610.00","1,619.50","1,581.50","6.13M","-0.90%"
"Dec 07, 2018","1,609.50","1,593.50","1,625.50","1,593.50","3.92M","1.51%"
"Dec 06, 2018","1,585.50","1,600.00","1,616.00","1,575.00","4.90M","-1.52%"
"Dec 05, 2018","1,610.00","1,630.50","1,642.00","1,605.50","3.72M","-2.16%"
"Dec 04, 2018","1,645.50","1,666.50","1,676.00","1,644.00","3.40M","-1.47%"
"Dec 03, 2018","1,670.00","1,656.00","1,673.00","1,646.00","3.23M","2.30%"
"Nov 30, 2018","1,632.50","1,656.50","1,659.50","1,632.50","5.84M","-1.36%"
"Nov 29, 2018","1,655.00","1,659.50","1,669.00","1,647.50","4.09M","0.00%"
"Nov 28, 2018","1,655.00","1,649.00","1,656.50","1,633.50","3.04M","0.79%"
"Nov 27, 2018","1,642.00","1,642.50","1,655.00","1,633.00","3.75M","-0.03%"
"Nov 26, 2018","1,642.50","1,660.00","1,676.50","1,633.00","3.81M","-0.45%"
"Nov 23, 2018","1,650.00","1,622.00","1,650.00","1,618.50","3.46M","1.85%"
"Nov 22, 2018","1,620.00","1,626.00","1,638.50","1,605.65","3.33M","-0.31%"
"Nov 21, 2018","1,625.00","1,602.50","1,625.50","1,590.50","4.61M","1.63%"
"Nov 20, 2018","1,599.00","1,612.00","1,616.00","1,592.00","3.82M","-1.20%"
"Nov 19, 2018","1,618.50","1,622.50","1,652.00","1,617.50","5.32M","-0.09%"
"Nov 16, 2018","1,620.00","1,629.00","1,649.50","1,607.50","5.00M","-0.49%"
"Nov 15, 2018","1,628.00","1,597.00","1,636.50","1,596.50","7.20M","2.58%"
"Nov 14, 2018","1,587.00","1,571.00","1,596.50","1,558.00","5.28M","1.05%"
"Nov 13, 2018","1,570.50","1,569.00","1,583.00","1,569.00","4.34M","0.29%"
"Nov 12, 2018","1,566.00","1,574.00","1,574.00","1,551.50","4.71M","0.48%"
"Nov 09, 2018","1,558.50","1,528.50","1,560.00","1,528.50","3.62M","1.80%"
"Nov 08, 2018","1,531.00","1,538.00","1,542.00","1,527.00","3.43M","-0.46%"
"Nov 07, 2018","1,538.00","1,526.00","1,539.50","1,515.00","5.28M","1.15%"
"Nov 06, 2018","1,520.50","1,528.50","1,531.50","1,512.00","3.11M","-0.39%"
"Nov 05, 2018","1,526.50","1,525.50","1,541.50","1,524.50","2.41M","-0.23%"
"Nov 02, 2018","1,530.00","1,545.50","1,560.00","1,530.00","4.04M","0.00%"
"Nov 01, 2018","1,530.00","1,535.00","1,546.50","1,525.50","4.79M","-1.29%"
"Oct 31, 2018","1,550.00","1,532.00","1,570.00","1,530.00","5.05M","2.11%"
"Oct 30, 2018","1,518.00","1,527.00","1,528.50","1,508.50","3.79M","-0.69%"
"Oct 29, 2018","1,528.50","1,532.50","1,557.00","1,527.00","4.19M","-0.20%"
"Oct 26, 2018","1,531.50","1,547.00","1,560.50","1,508.50","5.54M","-1.32%"
"Oct 25, 2018","1,552.00","1,520.50","1,552.00","1,511.50","5.28M","1.74%"
"Oct 24, 2018","1,525.50","1,523.00","1,535.50","1,505.62","5.02M","1.29%"
"Oct 23, 2018","1,506.00","1,504.00","1,519.38","1,497.50","5.72M","-0.40%"
"Oct 22, 2018","1,512.00","1,521.50","1,521.50","1,502.50","7.73M","-0.26%"
"Oct 19, 2018","1,516.00","1,518.50","1,520.50","1,508.50","4.12M","0.46%"
"Oct 18, 2018","1,509.00","1,510.50","1,529.25","1,508.50","4.03M","0.27%"
"Oct 17, 2018","1,505.00","1,532.00","1,532.00","1,500.00","4.58M","-1.31%"
"Oct 16, 2018","1,525.00","1,504.00","1,529.00","1,497.00","4.80M","1.67%"
"Oct 15, 2018","1,500.00","1,494.50","1,512.50","1,492.00","3.55M","0.23%"
"Oct 12, 2018","1,496.50","1,497.00","1,513.00","1,490.00","6.03M","0.17%"
"Oct 11, 2018","1,494.00","1,481.00","1,503.00","1,466.50","8.17M","0.17%"
"Oct 10, 2018","1,491.50","1,524.50","1,528.00","1,490.00","8.25M","-2.29%"
"Oct 09, 2018","1,526.50","1,525.00","1,527.50","1,502.50","7.39M","0.10%"
"Oct 08, 2018","1,525.00","1,538.00","1,550.50","1,525.00","3.35M","-0.81%"
"Oct 05, 2018","1,537.50","1,555.00","1,561.50","1,535.08","3.98M","-1.03%"
"Oct 04, 2018","1,553.50","1,611.50","1,618.50","1,541.50","6.34M","-4.28%"
"Oct 03, 2018","1,623.00","1,604.50","1,627.00","1,599.00","4.97M","1.28%"
"Oct 02, 2018","1,602.50","1,610.50","1,612.00","1,598.50","3.73M","-0.99%"
"Oct 01, 2018","1,618.50","1,613.00","1,629.50","1,603.50","4.83M","0.15%"
"Sep 28, 2018","1,616.00","1,591.50","1,616.00","1,586.00","8.13M","1.41%"
"Sep 27, 2018","1,593.50","1,571.50","1,602.00","1,570.00","5.43M","1.40%"
"Sep 26, 2018","1,571.50","1,559.50","1,576.50","1,559.00","5.43M","0.19%"
"Sep 25, 2018","1,568.50","1,557.50","1,572.50","1,547.00","6.51M","0.10%"
"Sep 24, 2018","1,567.00","1,575.00","1,579.00","1,547.00","6.93M","0.93%"
"Sep 21, 2018","1,552.50","1,540.50","1,558.50","1,539.50","14.59M","0.81%"
"Sep 20, 2018","1,540.00","1,509.50","1,541.00","1,501.00","10.30M","2.43%"
"Sep 19, 2018","1,503.50","1,539.50","1,539.50","1,500.50","11.04M","-2.27%"
"Sep 18, 2018","1,538.50","1,564.50","1,568.50","1,537.50","8.00M","-2.07%"
"Sep 17, 2018","1,571.00","1,585.00","1,589.00","1,565.50","6.90M","-1.26%"
"Sep 14, 2018","1,591.00","1,605.00","1,610.50","1,585.00","4.88M","-0.69%"
"Sep 13, 2018","1,602.00","1,629.50","1,630.50","1,597.00","5.37M","-1.90%"
"Sep 12, 2018","1,633.00","1,649.50","1,653.50","1,629.00","5.34M","-1.24%"
"Sep 11, 2018","1,653.50","1,664.00","1,670.84","1,637.50","7.98M","-0.75%"
"Sep 10, 2018","1,666.00","1,652.50","1,673.00","1,649.50","9.23M","0.88%"
"Sep 07, 2018","1,651.50","1,683.50","1,687.50","1,645.00","66.33M","-1.78%"
"Sep 06, 2018","1,681.50","1,687.50","1,702.50","1,679.50","8.07M","-0.47%"
"Sep 05, 2018","1,689.50","1,713.50","1,718.50","1,686.50","6.82M","-2.00%"
"Sep 04, 2018","1,724.00","1,723.00","1,735.00","1,709.50","5.48M","-0.06%"
"Sep 03, 2018","1,725.00","1,709.00","1,725.00","1,707.00","2.54M","0.88%"
"Aug 31, 2018","1,710.00","1,725.00","1,728.50","1,703.50","3.80M","-0.93%"
"Aug 30, 2018","1,726.00","1,727.00","1,728.50","1,720.50","2.63M","-0.38%"
"Aug 29, 2018","1,732.50","1,741.50","1,750.58","1,731.00","2.78M","-0.52%"
"Aug 28, 2018","1,741.50","1,740.00","1,749.00","1,736.50","2.68M","0.66%"
"Aug 24, 2018","1,730.00","1,730.50","1,732.50","1,720.50","1.98M","0.00%"
"Aug 23, 2018","1,730.00","1,725.00","1,734.00","1,716.50","2.70M","0.23%"
"Aug 22, 2018","1,726.00","1,709.50","1,726.50","1,704.00","2.41M","0.91%"
"Aug 21, 2018","1,710.50","1,719.00","1,730.81","1,706.50","1.87M","-0.55%"
"Aug 20, 2018","1,720.00","1,715.50","1,733.66","1,705.00","2.50M","0.35%"
"Aug 17, 2018","1,714.00","1,698.00","1,715.00","1,698.00","2.43M","0.56%"
"Aug 16, 2018","1,704.50","1,690.50","1,707.50","1,683.00","2.49M","1.16%"
"Aug 15, 2018","1,685.00","1,700.00","1,704.50","1,677.50","2.47M","-0.35%"
"Aug 14, 2018","1,691.00","1,697.50","1,698.50","1,685.00","3.42M","-0.15%"
"Aug 13, 2018","1,693.50","1,689.00","1,693.50","1,674.50","3.79M","0.18%"
"Aug 10, 2018","1,690.50","1,693.50","1,703.30","1,686.50","3.75M","-0.76%"
"Aug 09, 2018","1,703.50","1,700.00","1,706.50","1,689.00","2.19M","0.35%"
"Aug 08, 2018","1,697.50","1,685.50","1,699.86","1,681.00","2.19M","1.01%"
"Aug 07, 2018","1,680.50","1,684.50","1,689.57","1,672.50","2.19M","-0.24%"
"Aug 06, 2018","1,684.50","1,677.50","1,684.50","1,672.50","3.30M","0.48%"
"Aug 03, 2018","1,676.50","1,658.00","1,680.40","1,652.00","1.73M","1.30%"
"Aug 02, 2018","1,655.00","1,643.50","1,656.50","1,638.00","3.50M","-0.12%"
"Aug 01, 2018","1,657.00","1,660.50","1,668.00","1,645.50","4.30M","-0.33%"
"Jul 31, 2018","1,662.50","1,670.00","1,672.50","1,645.00","3.87M","-0.54%"
"Jul 30, 2018","1,671.50","1,687.50","1,687.50","1,665.50","2.98M","-1.12%"
"Jul 27, 2018","1,690.50","1,722.00","1,723.00","1,674.50","3.88M","-1.31%"
"Jul 26, 2018","1,713.00","1,714.00","1,745.00","1,702.00","6.88M","2.09%"
"Jul 25, 2018","1,678.00","1,684.00","1,692.38","1,669.62","4.78M","-0.65%"
"Jul 24, 2018","1,689.00","1,708.50","1,721.50","1,689.00","3.26M","-1.03%"
"Jul 23, 2018","1,706.50","1,714.50","1,721.00","1,697.00","3.82M","-0.52%"
"Jul 20, 2018","1,715.50","1,707.50","1,726.00","1,705.00","5.85M","0.03%"
"Jul 19, 2018","1,715.00","1,708.50","1,720.00","1,707.00","3.69M","0.03%"
"Jul 18, 2018","1,714.50","1,713.50","1,731.00","1,713.50","4.23M","0.23%"
"Jul 17, 2018","1,710.50","1,694.50","1,714.50","1,694.50","2.59M","0.71%"
"Jul 16, 2018","1,698.50","1,702.00","1,711.00","1,687.00","2.56M","-0.23%"
"Jul 13, 2018","1,702.50","1,694.50","1,716.00","1,694.00","3.21M","0.89%"
"Jul 12, 2018","1,687.50","1,661.50","1,695.00","1,660.50","4.14M","1.78%"
"Jul 11, 2018","1,658.00","1,644.00","1,664.00","1,640.50","2.39M","0.42%"
"Jul 10, 2018","1,651.00","1,654.50","1,658.82","1,646.50","3.43M","-0.24%"
"Jul 09, 2018","1,655.00","1,660.50","1,660.50","1,646.50","4.70M","-0.03%"
"Jul 06, 2018","1,655.50","1,647.50","1,662.50","1,647.50","3.27M","1.25%"
"Jul 05, 2018","1,635.00","1,622.50","1,637.50","1,617.50","2.47M","1.08%"
"Jul 04, 2018","1,617.50","1,626.50","1,628.50","1,611.50","3.05M","-0.74%"
"Jul 03, 2018","1,629.50","1,619.00","1,633.00","1,617.50","5.72M","1.15%"
"Jul 02, 2018","1,611.00","1,609.00","1,615.50","1,598.50","4.39M","-0.71%"
"Jun 29, 2018","1,622.50","1,623.00","1,631.50","1,618.50","3.35M","0.87%"
"Jun 28, 2018","1,608.50","1,591.50","1,611.00","1,589.00","4.04M","0.88%"
"Jun 27, 2018","1,594.50","1,580.00","1,600.00","1,578.00","5.35M","1.05%"
"Jun 26, 2018","1,578.00","1,607.50","1,608.00","1,578.00","4.62M","-1.47%"
"Jun 25, 2018","1,601.50","1,629.50","1,638.00","1,601.50","3.37M","-1.93%"
"Jun 22, 2018","1,633.00","1,605.50","1,633.00","1,605.50","2.26M","1.59%"
"Jun 21, 2018","1,607.50","1,612.00","1,632.44","1,600.50","4.70M","0.00%"
"Jun 20, 2018","1,607.50","1,614.50","1,620.50","1,601.00","4.87M","0.31%"
"Jun 19, 2018","1,602.50","1,610.50","1,620.00","1,599.00","3.96M","-1.20%"
"Jun 18, 2018","1,622.00","1,625.50","1,628.00","1,608.50","3.24M","-0.22%"
"Jun 15, 2018","1,625.50","1,611.00","1,640.50","1,609.00","10.84M","0.99%"
"Jun 14, 2018","1,609.50","1,642.50","1,645.76","1,586.00","10.02M","-2.75%"
"Jun 13, 2018","1,655.00","1,675.00","1,682.50","1,655.00","4.00M","-1.08%"
"Jun 12, 2018","1,673.00","1,695.00","1,699.50","1,673.00","3.52M","-1.04%"
"Jun 11, 2018","1,690.50","1,682.50","1,691.50","1,677.00","3.08M","1.02%"
