"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","941.60","929.00","949.20","927.00","3.69M","3.06%"
"Feb 12, 2019","913.60","914.60","916.10","902.20","3.07M","-0.09%"
"Feb 11, 2019","914.40","910.00","916.80","902.40","2.18M","1.42%"
"Feb 08, 2019","901.60","899.40","910.20","896.80","2.14M","-0.13%"
"Feb 07, 2019","902.80","903.40","917.20","902.80","2.08M","-0.75%"
"Feb 06, 2019","909.60","910.00","916.00","901.56","2.54M","-0.59%"
"Feb 05, 2019","915.00","899.80","917.80","887.00","3.77M","1.89%"
"Feb 04, 2019","898.00","900.00","906.80","890.41","2.30M","-0.22%"
"Feb 01, 2019","900.00","888.20","906.80","888.20","4.96M","1.76%"
"Jan 31, 2019","884.40","890.00","898.40","878.80","3.51M","-0.20%"
"Jan 30, 2019","886.20","874.00","888.00","870.40","3.08M","1.70%"
"Jan 29, 2019","871.40","862.20","877.40","858.00","2.82M","1.54%"
"Jan 28, 2019","858.20","859.80","870.20","858.20","3.08M","-1.22%"
"Jan 25, 2019","868.80","876.60","880.80","867.80","2.23M","-0.48%"
"Jan 24, 2019","873.00","880.00","880.00","867.00","3.54M","-0.05%"
"Jan 23, 2019","873.40","888.20","888.20","871.20","7.89M","-1.89%"
"Jan 22, 2019","890.20","900.40","900.40","883.20","2.59M","-1.09%"
"Jan 21, 2019","900.00","892.00","901.00","890.00","1.54M","0.54%"
"Jan 18, 2019","895.20","869.20","895.60","869.20","3.65M","3.61%"
"Jan 17, 2019","864.00","876.80","883.40","854.00","4.67M","-2.48%"
"Jan 16, 2019","886.00","889.00","889.00","870.40","3.63M","0.00%"
"Jan 15, 2019","886.00","866.20","887.80","866.20","7.65M","2.62%"
"Jan 14, 2019","863.40","864.00","868.60","859.00","2.47M","-0.87%"
"Jan 11, 2019","871.00","879.60","884.20","866.20","3.72M","1.30%"
"Jan 10, 2019","859.80","859.00","859.80","844.00","3.02M","-0.58%"
"Jan 09, 2019","864.80","862.80","878.20","853.60","3.85M","1.74%"
"Jan 08, 2019","850.00","812.20","862.20","812.20","5.19M","4.99%"
"Jan 07, 2019","809.60","834.40","834.40","802.20","5.20M","-1.96%"
