"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","282.00","285.10","285.90","281.00","7.27M","-0.67%"
"Feb 12, 2019","283.90","291.20","293.70","283.90","7.71M","-3.40%"
"Feb 11, 2019","293.90","295.40","296.10","290.19","6.18M","0.69%"
"Feb 08, 2019","291.90","291.00","293.80","290.00","5.76M","0.34%"
"Feb 07, 2019","290.90","295.70","296.40","290.10","4.69M","-0.58%"
"Feb 06, 2019","292.60","293.70","294.90","290.00","4.06M","-0.10%"
"Feb 05, 2019","292.90","288.40","292.90","286.40","5.73M","1.49%"
"Feb 04, 2019","288.60","288.10","290.00","287.10","8.85M","0.59%"
"Feb 01, 2019","286.90","287.10","288.60","284.10","5.94M","0.60%"
"Jan 31, 2019","285.20","286.60","289.80","284.70","7.50M","-0.80%"
"Jan 30, 2019","287.50","284.80","288.00","283.11","5.06M","1.23%"
"Jan 29, 2019","284.00","283.00","287.60","281.36","6.38M","1.79%"
"Jan 28, 2019","279.00","280.30","282.50","276.20","5.96M","-1.31%"
"Jan 25, 2019","282.70","277.80","283.20","277.70","5.77M","1.47%"
"Jan 24, 2019","278.60","277.90","280.00","276.86","3.14M","0.47%"
"Jan 23, 2019","277.30","276.70","280.50","275.30","4.08M","0.22%"
"Jan 22, 2019","276.70","272.80","281.00","271.50","7.94M","1.36%"
"Jan 21, 2019","273.00","276.10","278.80","271.30","5.97M","-1.76%"
"Jan 18, 2019","277.90","273.00","279.50","272.60","5.83M","2.36%"
"Jan 17, 2019","271.50","272.20","273.30","268.10","3.50M","-0.55%"
"Jan 16, 2019","273.00","273.80","277.20","272.60","6.19M","-0.55%"
"Jan 15, 2019","274.50","274.00","276.20","270.20","5.26M","0.33%"
"Jan 14, 2019","273.60","274.60","277.30","272.60","5.31M","-0.80%"
"Jan 11, 2019","275.80","272.60","281.40","272.60","9.67M","-0.07%"
"Jan 10, 2019","276.00","273.20","279.60","272.60","10.27M","1.25%"
"Jan 09, 2019","272.60","259.00","275.50","259.00","12.02M","2.29%"
"Jan 08, 2019","266.50","266.40","269.00","259.30","9.28M","0.30%"
"Jan 07, 2019","265.70","261.70","268.20","260.80","6.25M","2.19%"
