"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","139.36","140.12","140.26","138.84","53.00M","-0.20%"
"Feb 12, 2019","139.64","141.84","142.26","139.24","51.48M","-1.03%"
"Feb 11, 2019","141.10","140.08","141.42","139.32","56.28M","1.75%"
"Feb 08, 2019","138.68","139.00","139.52","137.44","42.27M","-0.50%"
"Feb 07, 2019","139.38","141.50","141.81","138.84","72.10M","-2.12%"
"Feb 06, 2019","142.40","142.20","143.62","142.00","64.08M","0.95%"
"Feb 05, 2019","141.06","137.84","141.54","137.82","62.86M","2.14%"
"Feb 04, 2019","138.10","139.20","139.80","136.70","63.25M","-0.53%"
"Feb 01, 2019","138.84","138.28","139.42","136.80","70.49M","0.19%"
"Jan 31, 2019","138.58","136.90","141.14","136.28","118.20M","1.38%"
"Jan 30, 2019","136.70","135.08","137.58","133.48","97.41M","1.20%"
"Jan 29, 2019","135.08","135.76","137.54","134.72","95.70M","-0.27%"
"Jan 28, 2019","135.44","137.00","139.40","135.20","102.18M","-1.14%"
"Jan 25, 2019","137.00","144.54","146.00","135.64","165.30M","-4.89%"
"Jan 24, 2019","144.04","148.80","148.90","143.50","102.41M","-3.50%"
"Jan 23, 2019","149.26","148.00","150.74","146.80","61.33M","0.74%"
"Jan 22, 2019","148.16","149.06","150.46","147.82","43.76M","-0.67%"
"Jan 21, 2019","149.16","148.86","149.90","147.24","37.08M","-0.12%"
"Jan 18, 2019","149.34","147.70","149.78","146.84","82.94M","0.69%"
"Jan 17, 2019","148.32","148.02","148.49","146.26","48.46M","0.08%"
"Jan 16, 2019","148.20","148.32","148.64","146.66","63.99M","-0.30%"
"Jan 15, 2019","148.64","152.00","152.00","146.38","70.81M","-0.38%"
"Jan 14, 2019","149.20","152.08","153.16","148.60","56.05M","-2.38%"
"Jan 11, 2019","152.84","153.48","155.38","151.96","47.77M","-0.59%"
"Jan 10, 2019","153.74","153.16","154.86","152.60","52.36M","0.62%"
"Jan 09, 2019","152.80","156.24","156.24","150.96","79.96M","-1.80%"
"Jan 08, 2019","155.60","155.00","156.60","154.34","70.78M","-1.14%"
"Jan 07, 2019","157.40","158.60","158.76","155.78","59.26M","-0.37%"
"Jan 04, 2019","157.98","156.88","158.62","155.46","53.17M","1.23%"
"Jan 03, 2019","156.06","154.98","158.24","154.40","78.21M","0.72%"
"Jan 02, 2019","154.94","151.54","155.55","149.60","54.62M","1.33%"
"Dec 31, 2018","152.90","152.80","154.48","152.54","18.54M","-1.09%"
"Dec 28, 2018","154.58","152.16","155.88","151.56","48.56M","2.02%"
"Dec 27, 2018","151.52","155.64","156.06","149.64","51.70M","-1.93%"
"Dec 24, 2018","154.50","154.52","155.56","153.76","30.26M","-1.43%"
"Dec 21, 2018","156.74","158.08","159.30","155.38","161.18M","-2.01%"
"Dec 20, 2018","159.96","156.44","162.54","156.32","91.37M","0.31%"
"Dec 19, 2018","159.46","157.68","160.98","156.82","89.22M","1.01%"
"Dec 18, 2018","157.86","160.44","162.22","157.52","88.32M","-1.77%"
"Dec 17, 2018","160.70","160.68","162.88","160.36","66.33M","0.01%"
"Dec 14, 2018","160.68","158.64","160.68","157.66","63.37M","0.12%"
"Dec 13, 2018","160.48","165.80","165.80","160.00","55.27M","-1.61%"
"Dec 12, 2018","163.10","162.32","164.22","161.06","84.52M","0.37%"
"Dec 11, 2018","162.50","161.28","164.48","160.62","81.94M","2.00%"
"Dec 10, 2018","159.32","161.40","161.98","159.26","70.99M","-2.13%"
"Dec 07, 2018","162.78","161.60","164.94","161.24","55.11M","1.45%"
"Dec 06, 2018","160.46","162.14","163.36","159.66","81.36M","-1.56%"
"Dec 05, 2018","163.00","164.00","165.40","162.50","44.66M","-1.30%"
"Dec 04, 2018","165.14","167.50","169.00","165.08","82.82M","-1.74%"
"Dec 03, 2018","168.06","170.00","170.20","167.62","87.65M","-0.52%"
"Nov 30, 2018","168.94","167.00","170.94","167.00","131.97M","0.70%"
"Nov 29, 2018","167.76","168.60","170.17","166.90","84.04M","-0.55%"
"Nov 28, 2018","168.68","168.46","171.78","166.41","166.00M","0.52%"
"Nov 27, 2018","167.80","163.52","167.94","162.56","144.71M","1.81%"
"Nov 26, 2018","164.82","157.08","164.98","153.80","151.58M","6.25%"
"Nov 23, 2018","155.12","152.72","156.06","152.48","102.11M","2.05%"
"Nov 22, 2018","152.00","154.02","158.53","152.00","60.01M","-3.82%"
"Nov 21, 2018","158.04","154.30","158.34","153.06","90.47M","2.88%"
"Nov 20, 2018","153.62","154.00","155.94","152.04","99.11M","-1.41%"
"Nov 19, 2018","155.82","152.90","156.46","152.76","69.12M","1.58%"
"Nov 16, 2018","153.40","154.32","156.10","151.16","110.33M","-1.29%"
"Nov 15, 2018","155.40","158.00","158.53","153.72","95.30M","-1.37%"
"Nov 14, 2018","157.56","155.72","162.58","153.52","144.32M","1.26%"
"Nov 13, 2018","155.60","153.90","158.80","152.01","181.40M","7.79%"
"Nov 12, 2018","144.36","145.80","146.50","143.29","66.95M","0.31%"
"Nov 09, 2018","143.92","145.36","146.48","143.40","63.30M","-2.15%"
"Nov 08, 2018","147.08","147.74","148.72","146.02","54.11M","-0.54%"
"Nov 07, 2018","147.88","144.00","148.89","144.00","61.05M","1.09%"
"Nov 06, 2018","146.28","150.72","151.00","146.22","62.31M","-2.74%"
"Nov 05, 2018","150.40","149.20","151.58","148.10","39.96M","-0.08%"
"Nov 02, 2018","150.52","152.92","153.02","150.12","63.08M","-0.65%"
"Nov 01, 2018","151.50","147.00","152.38","146.94","86.81M","2.49%"
"Oct 31, 2018","147.82","148.22","149.53","146.68","84.08M","0.52%"
"Oct 30, 2018","147.06","146.60","147.88","145.90","92.32M","-0.15%"
"Oct 29, 2018","147.28","144.08","148.34","143.02","49.74M","2.25%"
"Oct 26, 2018","144.04","145.72","146.26","142.59","58.00M","-1.75%"
"Oct 25, 2018","146.60","145.20","147.06","143.18","64.84M","0.12%"
"Oct 24, 2018","146.42","147.02","149.13","146.04","55.88M","0.12%"
"Oct 23, 2018","146.24","148.08","148.98","145.24","100.27M","-2.22%"
"Oct 22, 2018","149.56","153.18","153.46","149.32","96.42M","-1.90%"
"Oct 19, 2018","152.46","151.22","154.00","150.24","51.15M","0.63%"
"Oct 18, 2018","151.50","152.74","154.72","151.48","58.47M","-0.36%"
"Oct 17, 2018","152.04","153.40","153.40","150.96","59.98M","-0.89%"
"Oct 16, 2018","153.40","153.68","154.52","152.50","44.97M","-0.13%"
"Oct 15, 2018","153.60","152.82","153.78","150.97","57.11M","1.72%"
"Oct 12, 2018","151.00","152.96","153.50","150.68","63.91M","0.01%"
"Oct 11, 2018","150.98","151.82","154.46","150.50","106.15M","-1.32%"
"Oct 10, 2018","153.00","150.00","155.14","149.30","131.07M","1.51%"
