"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","7,191.75","7,163.11","7,205.25","7,144.25","-","0.82%"
"Feb 12, 2019","7,133.14","7,129.11","7,168.61","7,121.72","542.97M","0.06%"
"Feb 11, 2019","7,129.11","7,071.18","7,149.23","7,071.18","565.26M","0.82%"
"Feb 08, 2019","7,071.18","7,093.58","7,115.83","7,064.90","548.73M","-0.32%"
"Feb 07, 2019","7,093.58","7,173.09","7,187.51","7,093.58","669.72M","-1.11%"
"Feb 06, 2019","7,173.09","7,177.37","7,184.22","7,146.65","618.00M","-0.06%"
"Feb 05, 2019","7,177.37","7,034.13","7,180.71","7,033.57","683.46M","2.04%"
"Feb 04, 2019","7,034.13","7,020.22","7,046.58","7,002.42","630.90M","0.20%"
"Feb 01, 2019","7,020.22","6,968.85","7,024.45","6,968.85","645.35M","0.74%"
"Jan 31, 2019","6,968.85","6,941.63","6,994.88","6,941.09","893.09M","0.39%"
"Jan 30, 2019","6,941.63","6,833.93","6,967.70","6,833.93","771.90M","1.58%"
"Jan 29, 2019","6,833.93","6,747.10","6,860.34","6,747.10","718.59M","1.29%"
"Jan 28, 2019","6,747.10","6,809.22","6,812.53","6,734.00","668.24M","-0.91%"
"Jan 25, 2019","6,809.22","6,818.95","6,858.19","6,806.77","749.99M","-0.14%"
"Jan 24, 2019","6,818.95","6,842.88","6,854.59","6,802.03","618.51M","-0.35%"
"Jan 23, 2019","6,842.88","6,901.39","6,901.63","6,834.30","666.01M","-0.85%"
"Jan 22, 2019","6,901.39","6,970.59","6,970.59","6,880.69","583.46M","-0.99%"
"Jan 21, 2019","6,970.59","6,968.33","6,987.93","6,954.52","488.78M","0.03%"
"Jan 18, 2019","6,968.33","6,834.92","6,984.36","6,834.92","820.33M","1.95%"
"Jan 17, 2019","6,834.92","6,862.68","6,862.68","6,799.03","600.66M","-0.40%"
"Jan 16, 2019","6,862.68","6,895.02","6,912.44","6,848.57","811.96M","-0.47%"
"Jan 15, 2019","6,895.02","6,855.02","6,910.45","6,849.63","708.58M","0.58%"
"Jan 14, 2019","6,855.02","6,918.18","6,918.21","6,841.74","704.57M","-0.91%"
"Jan 11, 2019","6,918.18","6,942.87","7,001.94","6,902.65","701.51M","-0.36%"
"Jan 10, 2019","6,942.87","6,906.63","6,948.18","6,860.82","630.32M","0.52%"
"Jan 09, 2019","6,906.63","6,861.60","6,938.31","6,861.60","887.29M","0.66%"
"Jan 08, 2019","6,861.60","6,810.88","6,901.48","6,804.89","672.10M","0.74%"
"Jan 07, 2019","6,810.88","6,837.42","6,874.11","6,778.01","759.33M","-0.39%"
"Jan 04, 2019","6,837.42","6,692.66","6,850.37","6,692.50","658.88M","2.16%"
"Jan 03, 2019","6,692.66","6,734.23","6,753.14","6,685.09","694.92M","-0.62%"
"Jan 02, 2019","6,734.23","6,728.13","6,753.29","6,599.48","633.24M","0.09%"
"Dec 31, 2018","6,728.13","6,733.97","6,752.54","6,718.32","232.27M","-0.09%"
"Dec 28, 2018","6,733.97","6,584.68","6,742.48","6,584.68","515.16M","2.27%"
"Dec 27, 2018","6,584.68","6,685.99","6,728.49","6,536.53","608.36M","-1.52%"
"Dec 24, 2018","6,685.99","6,721.17","6,721.17","6,661.04","198.77M","-0.52%"
"Dec 21, 2018","6,721.17","6,711.93","6,733.00","6,653.65","1.65B","0.14%"
"Dec 20, 2018","6,711.93","6,765.94","6,765.94","6,646.45","929.57M","-0.80%"
"Dec 19, 2018","6,765.94","6,701.59","6,785.16","6,698.15","777.37M","0.96%"
"Dec 18, 2018","6,701.59","6,773.24","6,773.24","6,701.59","880.78M","-1.06%"
"Dec 17, 2018","6,773.24","6,845.17","6,845.17","6,761.38","734.72M","-1.05%"
"Dec 14, 2018","6,845.17","6,877.50","6,877.50","6,788.65","736.01M","-0.47%"
"Dec 13, 2018","6,877.50","6,880.19","6,908.48","6,848.98","757.82M","-0.04%"
"Dec 12, 2018","6,880.19","6,806.94","6,902.19","6,806.94","1.10B","1.08%"
"Dec 11, 2018","6,806.94","6,721.54","6,857.58","6,721.54","867.26M","1.27%"
"Dec 10, 2018","6,721.54","6,778.11","6,815.84","6,719.17","891.07M","-0.83%"
"Dec 07, 2018","6,778.11","6,704.05","6,868.27","6,704.05","845.32M","1.10%"
"Dec 06, 2018","6,704.05","6,921.84","6,921.84","6,673.57","1.06B","-3.15%"
"Dec 05, 2018","6,921.84","7,022.76","7,028.65","6,921.84","813.44M","-1.44%"
"Dec 04, 2018","7,022.76","7,062.41","7,095.01","7,002.71","844.63M","-0.56%"
"Dec 03, 2018","7,062.41","6,980.24","7,145.49","6,980.24","891.14M","1.18%"
"Nov 30, 2018","6,980.24","7,038.95","7,042.07","6,965.60","1.22B","-0.83%"
"Nov 29, 2018","7,038.95","7,004.52","7,078.37","7,004.52","797.79M","0.49%"
"Nov 28, 2018","7,004.52","7,016.85","7,057.03","6,987.25","825.36M","-0.18%"
"Nov 27, 2018","7,016.85","7,036.00","7,043.70","6,983.98","855.62M","-0.27%"
"Nov 26, 2018","7,036.00","6,952.86","7,050.96","6,952.86","826.83M","1.20%"
"Nov 23, 2018","6,952.86","6,960.32","6,987.53","6,912.30","707.66M","-0.11%"
"Nov 22, 2018","6,960.32","7,050.23","7,050.43","6,944.95","786.80M","-1.28%"
"Nov 21, 2018","7,050.23","6,947.92","7,058.56","6,947.92","864.50M","1.47%"
"Nov 20, 2018","6,947.92","7,000.89","7,010.10","6,904.21","851.71M","-0.76%"
"Nov 19, 2018","7,000.89","7,013.88","7,070.46","6,997.83","800.44M","-0.19%"
"Nov 16, 2018","7,013.88","7,038.01","7,092.44","6,968.99","1.04B","-0.34%"
"Nov 15, 2018","7,038.01","7,033.79","7,081.88","6,979.57","1.29B","0.06%"
"Nov 14, 2018","7,033.79","7,053.76","7,113.59","6,979.68","953.79M","-0.28%"
"Nov 13, 2018","7,053.76","7,053.08","7,103.97","7,016.64","1.08B","0.01%"
"Nov 12, 2018","7,053.08","7,105.34","7,186.31","7,053.08","730.62M","-0.74%"
"Nov 09, 2018","7,105.34","7,140.68","7,140.68","7,070.80","672.89M","-0.49%"
"Nov 08, 2018","7,140.68","7,117.28","7,171.69","7,115.01","697.80M","0.33%"
"Nov 07, 2018","7,117.28","7,040.68","7,136.75","7,040.68","698.98M","1.09%"
"Nov 06, 2018","7,040.68","7,103.84","7,117.50","7,027.45","666.52M","-0.89%"
"Nov 05, 2018","7,103.84","7,094.12","7,140.37","7,077.40","570.49M","0.14%"
"Nov 02, 2018","7,094.12","7,114.66","7,196.39","7,094.12","824.95M","-0.29%"
"Nov 01, 2018","7,114.66","7,128.10","7,165.61","7,085.74","1.06B","-0.19%"
"Oct 31, 2018","7,128.10","7,035.85","7,161.54","7,035.85","923.08M","1.31%"
"Oct 30, 2018","7,035.85","7,026.32","7,060.06","6,983.68","774.72M","0.14%"
"Oct 29, 2018","7,026.32","6,939.56","7,085.88","6,939.56","804.71M","1.25%"
"Oct 26, 2018","6,939.56","7,004.10","7,004.16","6,851.59","803.06M","-0.92%"
"Oct 25, 2018","7,004.10","6,962.98","7,004.10","6,885.99","853.93M","0.59%"
"Oct 24, 2018","6,962.98","6,955.21","7,049.83","6,955.21","797.99M","0.11%"
"Oct 23, 2018","6,955.21","7,042.80","7,042.80","6,928.65","1.01B","-1.24%"
"Oct 22, 2018","7,042.80","7,049.80","7,114.12","7,042.05","806.70M","-0.10%"
"Oct 19, 2018","7,049.80","7,026.99","7,070.38","7,012.56","800.35M","0.32%"
"Oct 18, 2018","7,026.99","7,054.60","7,078.76","7,026.74","692.86M","-0.39%"
"Oct 17, 2018","7,054.60","7,059.40","7,089.03","7,019.41","707.14M","-0.07%"
"Oct 16, 2018","7,059.40","7,029.22","7,062.08","6,998.93","786.10M","0.43%"
"Oct 15, 2018","7,029.22","6,995.91","7,038.23","6,961.28","674.96M","0.48%"
"Oct 12, 2018","6,995.91","7,006.93","7,073.99","6,994.78","903.68M","-0.16%"
"Oct 11, 2018","7,006.93","7,145.74","7,145.74","6,998.02","1.21B","-1.94%"
"Oct 10, 2018","7,145.74","7,237.59","7,242.31","7,145.74","1.06B","-1.27%"
"Oct 09, 2018","7,237.59","7,233.33","7,247.64","7,184.28","789.69M","0.06%"
"Oct 08, 2018","7,233.33","7,318.54","7,319.84","7,233.33","695.80M","-1.16%"
"Oct 05, 2018","7,318.54","7,418.34","7,421.12","7,318.54","758.63M","-1.35%"
"Oct 04, 2018","7,418.34","7,510.28","7,510.28","7,411.31","826.76M","-1.22%"
"Oct 03, 2018","7,510.28","7,474.55","7,524.06","7,474.55","849.12M","0.48%"
"Oct 02, 2018","7,474.55","7,495.67","7,495.67","7,444.80","843.12M","-0.28%"
"Oct 01, 2018","7,495.67","7,510.20","7,526.20","7,466.67","746.18M","-0.19%"
"Sep 28, 2018","7,510.20","7,545.44","7,548.36","7,474.67","943.92M","-0.47%"
"Sep 27, 2018","7,545.44","7,511.49","7,552.02","7,490.94","666.22M","0.45%"
"Sep 26, 2018","7,511.49","7,507.56","7,522.06","7,490.20","693.15M","0.05%"
"Sep 25, 2018","7,507.56","7,458.41","7,515.94","7,455.22","791.70M","0.66%"
"Sep 24, 2018","7,458.41","7,490.23","7,491.25","7,450.53","710.21M","-0.42%"
"Sep 21, 2018","7,490.23","7,367.32","7,495.26","7,367.32","1.55B","1.67%"
"Sep 20, 2018","7,367.32","7,331.12","7,368.43","7,324.01","891.66M","0.49%"
"Sep 19, 2018","7,331.12","7,300.23","7,346.11","7,279.92","785.95M","0.42%"
"Sep 18, 2018","7,300.23","7,302.10","7,320.07","7,281.98","722.03M","-0.03%"
"Sep 17, 2018","7,302.10","7,304.04","7,318.77","7,267.83","640.19M","-0.03%"
"Sep 14, 2018","7,304.04","7,281.57","7,323.83","7,281.57","595.14M","0.31%"
"Sep 13, 2018","7,281.57","7,313.36","7,319.57","7,275.14","681.15M","-0.43%"
"Sep 12, 2018","7,313.36","7,273.54","7,325.25","7,250.84","698.11M","0.55%"
"Sep 11, 2018","7,273.54","7,279.30","7,280.48","7,220.50","664.03M","-0.08%"
"Sep 10, 2018","7,279.30","7,277.70","7,307.85","7,256.51","717.86M","0.02%"
"Sep 07, 2018","7,277.70","7,318.96","7,328.30","7,227.07","889.09M","-0.56%"
"Sep 06, 2018","7,318.96","7,383.28","7,397.74","7,313.12","743.69M","-0.87%"
"Sep 05, 2018","7,383.28","7,457.86","7,457.86","7,357.98","792.99M","-1.00%"
"Sep 04, 2018","7,457.86","7,504.60","7,535.12","7,437.65","672.99M","-0.62%"
"Sep 03, 2018","7,504.60","7,432.42","7,516.06","7,432.18","468.85M","0.97%"
"Aug 31, 2018","7,432.42","7,516.03","7,516.46","7,428.67","838.07M","-1.11%"
"Aug 30, 2018","7,516.03","7,563.21","7,563.21","7,497.54","642.44M","-0.62%"
"Aug 29, 2018","7,563.21","7,617.22","7,635.74","7,545.08","709.98M","-0.71%"
"Aug 28, 2018","7,617.22","7,577.49","7,636.72","7,577.49","603.83M","0.52%"
"Aug 24, 2018","7,577.49","7,563.22","7,587.19","7,557.67","523.57M","0.19%"
"Aug 23, 2018","7,563.22","7,574.24","7,602.10","7,560.85","592.64M","-0.15%"
"Aug 22, 2018","7,574.24","7,565.70","7,607.23","7,531.24","630.16M","0.11%"
"Aug 21, 2018","7,565.70","7,591.26","7,601.65","7,557.34","560.35M","-0.34%"
"Aug 20, 2018","7,591.26","7,558.59","7,616.15","7,558.59","576.84M","0.43%"
"Aug 17, 2018","7,558.59","7,556.38","7,577.68","7,514.26","621.37M","0.03%"
"Aug 16, 2018","7,556.38","7,497.87","7,565.18","7,497.87","795.28M","0.78%"
"Aug 15, 2018","7,497.87","7,611.64","7,632.07","7,477.05","994.26M","-1.49%"
"Aug 14, 2018","7,611.64","7,642.45","7,665.24","7,599.66","787.26M","-0.40%"
"Aug 13, 2018","7,642.45","7,667.01","7,667.33","7,614.48","612.15M","-0.32%"
"Aug 10, 2018","7,667.01","7,741.77","7,741.77","7,657.72","684.69M","-0.97%"
"Aug 09, 2018","7,741.77","7,776.65","7,776.77","7,714.52","582.94M","-0.45%"
"Aug 08, 2018","7,776.65","7,718.48","7,790.17","7,707.30","621.15M","0.75%"
"Aug 07, 2018","7,718.48","7,663.78","7,752.08","7,663.20","696.34M","0.71%"
"Aug 06, 2018","7,663.78","7,659.10","7,681.86","7,636.60","838.43M","0.06%"
"Aug 03, 2018","7,659.10","7,575.93","7,665.16","7,575.93","670.04M","1.10%"
"Aug 02, 2018","7,575.93","7,652.91","7,652.91","7,549.34","1.04B","-1.01%"
"Aug 01, 2018","7,652.91","7,748.76","7,751.10","7,634.66","1.01B","-1.24%"
"Jul 31, 2018","7,748.76","7,700.85","7,782.90","7,695.76","943.37M","0.62%"
"Jul 30, 2018","7,700.85","7,701.31","7,718.06","7,659.91","755.66M","-0.01%"
"Jul 27, 2018","7,701.31","7,663.17","7,717.22","7,663.16","788.38M","0.50%"
"Jul 26, 2018","7,663.17","7,658.26","7,684.72","7,640.94","607.06M","0.06%"
"Jul 25, 2018","7,658.26","7,709.05","7,710.25","7,640.59","698.48M","-0.66%"
"Jul 24, 2018","7,709.05","7,655.79","7,740.64","7,648.59","878.89M","0.70%"
"Jul 23, 2018","7,655.79","7,678.79","7,678.79","7,621.75","591.25M","-0.30%"
"Jul 20, 2018","7,678.79","7,683.97","7,705.80","7,631.66","706.25M","-0.07%"
"Jul 19, 2018","7,683.97","7,676.28","7,702.85","7,660.02","716.90M","0.10%"
"Jul 18, 2018","7,676.28","7,626.33","7,685.68","7,625.75","671.52M","0.65%"
"Jul 17, 2018","7,626.33","7,600.45","7,641.10","7,581.83","746.77M","0.34%"
"Jul 16, 2018","7,600.45","7,661.87","7,667.71","7,564.96","608.96M","-0.80%"
"Jul 13, 2018","7,661.87","7,651.33","7,716.24","7,651.33","592.17M","0.14%"
"Jul 12, 2018","7,651.33","7,591.96","7,662.96","7,591.96","769.26M","0.78%"
"Jul 11, 2018","7,591.96","7,692.04","7,692.04","7,578.18","816.82M","-1.30%"
"Jul 10, 2018","7,692.04","7,687.99","7,715.07","7,677.06","723.21M","0.05%"
"Jul 09, 2018","7,687.99","7,617.70","7,697.46","7,617.70","697.51M","0.92%"
"Jul 06, 2018","7,617.70","7,603.22","7,631.19","7,569.70","684.00M","0.19%"
"Jul 05, 2018","7,603.22","7,573.09","7,624.82","7,572.69","631.12M","0.40%"
"Jul 04, 2018","7,573.09","7,593.29","7,593.29","7,560.81","591.92M","-0.27%"
"Jul 03, 2018","7,593.29","7,547.85","7,632.12","7,544.98","1.05B","0.60%"
"Jul 02, 2018","7,547.85","7,636.93","7,636.93","7,540.71","802.39M","-1.17%"
"Jun 29, 2018","7,636.93","7,615.63","7,706.64","7,615.63","926.73M","0.28%"
"Jun 28, 2018","7,615.63","7,621.69","7,632.17","7,576.01","815.21M","-0.08%"
"Jun 27, 2018","7,621.69","7,537.92","7,633.92","7,512.03","1.69B","1.11%"
"Jun 26, 2018","7,537.92","7,509.84","7,564.05","7,509.84","1.12B","0.37%"
"Jun 25, 2018","7,509.84","7,682.27","7,682.27","7,508.32","815.82M","-2.24%"
"Jun 22, 2018","7,682.27","7,556.44","7,689.44","7,556.20","738.42M","1.67%"
"Jun 21, 2018","7,556.44","7,627.40","7,670.78","7,548.12","801.61M","-0.93%"
"Jun 20, 2018","7,627.40","7,603.85","7,705.20","7,603.85","870.10M","0.31%"
"Jun 19, 2018","7,603.85","7,631.33","7,631.33","7,548.84","921.29M","-0.36%"
"Jun 18, 2018","7,631.33","7,633.91","7,645.47","7,601.60","683.91M","-0.03%"
"Jun 15, 2018","7,633.91","7,765.79","7,781.00","7,633.91","1.76B","-1.70%"
"Jun 14, 2018","7,765.79","7,703.71","7,793.45","7,650.16","1.15B","0.81%"
"Jun 13, 2018","7,703.71","7,703.81","7,746.70","7,677.17","877.98M","-0.00%"
"Jun 12, 2018","7,703.81","7,737.43","7,762.77","7,701.33","797.69M","-0.43%"
